"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"selfcompassionscale_shortform_fuochi_2025","selfcompassionscale_shortform_fuochi_2025_1","oi1","Self-Compassion Scale Short Form (SCS-SF; Raes, Pommier, Neff & Van Gucht, 2011), Italian version (Fuochi, Voci & Moè, 2025; items from Veneziani, Fuochi & Voci, 2017)","Italian","Per ogni domanda indica quanto spesso ti comporti nella maniera indicata. La scala di risposta va da 1 = Quasi mai a 5 = Quasi sempre",NA,"Quando non riesco in qualcosa di importante per me, sono logorato/a da sentimenti di inadeguatezza",NA,"Quasi mai",1,"Please read each statement carefully before answering. Indicate how often you behave in the stated manner, using the following scale:",NA,"When I fail at something important to me I become consumed by feelings of inadequacy.","Almost never"
"selfcompassionscale_shortform_fuochi_2025","selfcompassionscale_shortform_fuochi_2025_1","oi1","Self-Compassion Scale Short Form (SCS-SF; Raes, Pommier, Neff & Van Gucht, 2011), Italian version (Fuochi, Voci & Moè, 2025; items from Veneziani, Fuochi & Voci, 2017)","Italian","Per ogni domanda indica quanto spesso ti comporti nella maniera indicata. La scala di risposta va da 1 = Quasi mai a 5 = Quasi sempre",NA,"Quando non riesco in qualcosa di importante per me, sono logorato/a da sentimenti di inadeguatezza",NA,NA,2,"Please read each statement carefully before answering. Indicate how often you behave in the stated manner, using the following scale:",NA,"When I fail at something important to me I become consumed by feelings of inadequacy.",NA
"selfcompassionscale_shortform_fuochi_2025","selfcompassionscale_shortform_fuochi_2025_1","oi1","Self-Compassion Scale Short Form (SCS-SF; Raes, Pommier, Neff & Van Gucht, 2011), Italian version (Fuochi, Voci & Moè, 2025; items from Veneziani, Fuochi & Voci, 2017)","Italian","Per ogni domanda indica quanto spesso ti comporti nella maniera indicata. La scala di risposta va da 1 = Quasi mai a 5 = Quasi sempre",NA,"Quando non riesco in qualcosa di importante per me, sono logorato/a da sentimenti di inadeguatezza",NA,NA,3,"Please read each statement carefully before answering. Indicate how often you behave in the stated manner, using the following scale:",NA,"When I fail at something important to me I become consumed by feelings of inadequacy.",NA
"selfcompassionscale_shortform_fuochi_2025","selfcompassionscale_shortform_fuochi_2025_1","oi1","Self-Compassion Scale Short Form (SCS-SF; Raes, Pommier, Neff & Van Gucht, 2011), Italian version (Fuochi, Voci & Moè, 2025; items from Veneziani, Fuochi & Voci, 2017)","Italian","Per ogni domanda indica quanto spesso ti comporti nella maniera indicata. La scala di risposta va da 1 = Quasi mai a 5 = Quasi sempre",NA,"Quando non riesco in qualcosa di importante per me, sono logorato/a da sentimenti di inadeguatezza",NA,NA,4,"Please read each statement carefully before answering. Indicate how often you behave in the stated manner, using the following scale:",NA,"When I fail at something important to me I become consumed by feelings of inadequacy.",NA
"selfcompassionscale_shortform_fuochi_2025","selfcompassionscale_shortform_fuochi_2025_1","oi1","Self-Compassion Scale Short Form (SCS-SF; Raes, Pommier, Neff & Van Gucht, 2011), Italian version (Fuochi, Voci & Moè, 2025; items from Veneziani, Fuochi & Voci, 2017)","Italian","Per ogni domanda indica quanto spesso ti comporti nella maniera indicata. La scala di risposta va da 1 = Quasi mai a 5 = Quasi sempre",NA,"Quando non riesco in qualcosa di importante per me, sono logorato/a da sentimenti di inadeguatezza",NA,"Quasi sempre",5,"Please read each statement carefully before answering. Indicate how often you behave in the stated manner, using the following scale:",NA,"When I fail at something important to me I become consumed by feelings of inadequacy.","Almost always"
"selfcompassionscale_shortform_fuochi_2025","selfcompassionscale_shortform_fuochi_2025_1","sk1","Self-Compassion Scale Short Form (SCS-SF; Raes, Pommier, Neff & Van Gucht, 2011), Italian version (Fuochi, Voci & Moè, 2025; items from Veneziani, Fuochi & Voci, 2017)","Italian","Per ogni domanda indica quanto spesso ti comporti nella maniera indicata. La scala di risposta va da 1 = Quasi mai a 5 = Quasi sempre",NA,"Cerco di essere comprensivo/a e paziente verso quegli aspetti della mia personalità che non mi piacciono",NA,"Quasi mai",1,"Please read each statement carefully before answering. Indicate how often you behave in the stated manner, using the following scale:",NA,"I try to be understanding and patient towards those aspects of my personality I don’t like.","Almost never"
"selfcompassionscale_shortform_fuochi_2025","selfcompassionscale_shortform_fuochi_2025_1","sk1","Self-Compassion Scale Short Form (SCS-SF; Raes, Pommier, Neff & Van Gucht, 2011), Italian version (Fuochi, Voci & Moè, 2025; items from Veneziani, Fuochi & Voci, 2017)","Italian","Per ogni domanda indica quanto spesso ti comporti nella maniera indicata. La scala di risposta va da 1 = Quasi mai a 5 = Quasi sempre",NA,"Cerco di essere comprensivo/a e paziente verso quegli aspetti della mia personalità che non mi piacciono",NA,NA,2,"Please read each statement carefully before answering. Indicate how often you behave in the stated manner, using the following scale:",NA,"I try to be understanding and patient towards those aspects of my personality I don’t like.",NA
"selfcompassionscale_shortform_fuochi_2025","selfcompassionscale_shortform_fuochi_2025_1","sk1","Self-Compassion Scale Short Form (SCS-SF; Raes, Pommier, Neff & Van Gucht, 2011), Italian version (Fuochi, Voci & Moè, 2025; items from Veneziani, Fuochi & Voci, 2017)","Italian","Per ogni domanda indica quanto spesso ti comporti nella maniera indicata. La scala di risposta va da 1 = Quasi mai a 5 = Quasi sempre",NA,"Cerco di essere comprensivo/a e paziente verso quegli aspetti della mia personalità che non mi piacciono",NA,NA,3,"Please read each statement carefully before answering. Indicate how often you behave in the stated manner, using the following scale:",NA,"I try to be understanding and patient towards those aspects of my personality I don’t like.",NA
"selfcompassionscale_shortform_fuochi_2025","selfcompassionscale_shortform_fuochi_2025_1","sk1","Self-Compassion Scale Short Form (SCS-SF; Raes, Pommier, Neff & Van Gucht, 2011), Italian version (Fuochi, Voci & Moè, 2025; items from Veneziani, Fuochi & Voci, 2017)","Italian","Per ogni domanda indica quanto spesso ti comporti nella maniera indicata. La scala di risposta va da 1 = Quasi mai a 5 = Quasi sempre",NA,"Cerco di essere comprensivo/a e paziente verso quegli aspetti della mia personalità che non mi piacciono",NA,NA,4,"Please read each statement carefully before answering. Indicate how often you behave in the stated manner, using the following scale:",NA,"I try to be understanding and patient towards those aspects of my personality I don’t like.",NA
"selfcompassionscale_shortform_fuochi_2025","selfcompassionscale_shortform_fuochi_2025_1","sk1","Self-Compassion Scale Short Form (SCS-SF; Raes, Pommier, Neff & Van Gucht, 2011), Italian version (Fuochi, Voci & Moè, 2025; items from Veneziani, Fuochi & Voci, 2017)","Italian","Per ogni domanda indica quanto spesso ti comporti nella maniera indicata. La scala di risposta va da 1 = Quasi mai a 5 = Quasi sempre",NA,"Cerco di essere comprensivo/a e paziente verso quegli aspetti della mia personalità che non mi piacciono",NA,"Quasi sempre",5,"Please read each statement carefully before answering. Indicate how often you behave in the stated manner, using the following scale:",NA,"I try to be understanding and patient towards those aspects of my personality I don’t like.","Almost always"
