"table","instrument","language","instructions","section_id","section_prompt","item","item_text","correct_response","resp","option_text"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS1","Because having children increases your sense of responsibility and helps you to develop.",NA,1,"Not important at all"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS1","Because having children increases your sense of responsibility and helps you to develop.",NA,2,"Not very important"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS1","Because having children increases your sense of responsibility and helps you to develop.",NA,3,"Moderately important"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS1","Because having children increases your sense of responsibility and helps you to develop.",NA,4,"Important"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS1","Because having children increases your sense of responsibility and helps you to develop.",NA,5,"Very important"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS2","Because it is fun to have young children around the house.",NA,1,"Not important at all"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS2","Because it is fun to have young children around the house.",NA,2,"Not very important"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS2","Because it is fun to have young children around the house.",NA,3,"Moderately important"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS2","Because it is fun to have young children around the house.",NA,4,"Important"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS2","Because it is fun to have young children around the house.",NA,5,"Very important"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS3","Because of the pleasure you get from watching your children grow.",NA,1,"Not important at all"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS3","Because of the pleasure you get from watching your children grow.",NA,2,"Not very important"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS3","Because of the pleasure you get from watching your children grow.",NA,3,"Moderately important"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS3","Because of the pleasure you get from watching your children grow.",NA,4,"Important"
"hoorani_2022_epreas","Young Lives caregiver questionnaire (India, older cohort, round two), Caregiver Perceptions and Attitudes: reasons for wanting children","Telugu",NA,"hoorani_2022_epreas_1",NA,"EPREAS3","Because of the pleasure you get from watching your children grow.",NA,5,"Very important"
