"table","status","n_items_live","n_items_candidate","item_set_match","resp_set_match","uses_raw_resp","canonical_nulls","pct_item_text_missing","pct_option_text_missing","note"
"conspiracy_asd__cognitive_flexibility","PASS",20,20,TRUE,TRUE,FALSE,TRUE,0,0,""
"conspiracy_asd__conspiracy_gcbs","PASS",15,15,TRUE,TRUE,FALSE,TRUE,0,60,"60% of rows have blank option_text"
"conspiracy_asd__schizotypy","PASS",37,37,TRUE,TRUE,FALSE,TRUE,0,0,""
"conspiracy_asd__thinking_styles","PASS",10,10,TRUE,TRUE,FALSE,TRUE,0,60,"60% of rows have blank option_text"
"cooper_2018_funny_topics","PASS",34,34,TRUE,TRUE,FALSE,TRUE,0,0,""
"cooper_2018_offensive_topics","PASS",34,34,TRUE,TRUE,FALSE,TRUE,0,0,""
"cormier_2024_cognitive_decline","PASS",6,6,TRUE,TRUE,FALSE,TRUE,0,0,""
"cormier_2024_personality","PASS",16,16,TRUE,TRUE,FALSE,TRUE,0,0,""
"cormier_2024_phq4","PASS",4,4,TRUE,TRUE,FALSE,TRUE,0,0,""
"cormier_2024_pss4","PASS",4,4,TRUE,TRUE,FALSE,TRUE,0,0,""
