table,note
conspiracy_asd__cognitive_flexibility,"Clean pass, one caveat: the deposit's processed Qualtrics xlsx (the file data/conspiracy_belief_schizotypy_asd.py downloads) has a corrupted label row -- a global 'no'->'2' find/replace ('I feel I have 2 power', 'I just don''t k2w what to do'). Item text was therefore taken from the deposit's 'Plain text version of survey.docx', which agrees word for word with the uncorrupted labels in the deposit's RAW DATA xlsx. Retry test: NO -- a determinate verdict was reached, the table passed the gate and shipped."
conspiracy_asd__conspiracy_gcbs,"Clean pass with caveats. (1) Item text taken verbatim from the source Excel's own question-text header row (row 2 of the Figshare Qualtrics export, columns 65-79), reversing a mechanical corruption in that file where the substring 'no' had been replaced by the digit '2' (in2cent, well-k2wn, tech2logy/tech2logies, unk2wn, k2wledge, Tech2logy); no other change to the wording. (2) The study's survey document (survey .docx, Table 6) reproduces the same 15 items in the same order and agrees word for word except item 1, where the .docx reads 'to hides its involvement' and the administered Qualtrics text and the canonical GCBS read 'to hide its involvement'; the administered form was shipped. (3) The instrument's response scale labels only its endpoints (1 = Definitely not true, 5 = Definitely true), so option_text is blank for resp 2, 3 and 4 rather than padded. (4) instructions come from the survey .docx (the Excel export carries no instruction text). RETRY TEST: n/a -- not blocked."
conspiracy_asd__schizotypy,"Clean pass with caveats. (1) The instrument is the 38-item Multidimensional Schizotypy Scale-Brief (MSS-B); the administered survey (Figshare 'Plain text version of survey.docx') lists 38 items but both data files omit item 11 ('I believe that dreams have magical properties.'), so the IRW codes schizotypy_1..37 are a 37-item sequence and schizotypy_N does NOT equal MSS-B item N for N>=11. Verified by aligning the 37 spreadsheet column headers against the 38 docx items: exact 1:1 after dropping that one item, zero other differences. (2) The survey docx instructions say 'from 1 to 4' while the anchor table printed directly beneath them, and the live data, are 1-5 (1 Definitely disagree .. 5 Definitely agree). Instructions transcribed verbatim including the '1 to 4'; anchors taken from the anchor table. (3) The coded workbook the IRW script reads (Questionnaire 1 (Conspiracy Beliefs)_July 16, 2024) has a global find-and-replace defect in its header row that turned every 'no' into '2' ('2ticed', '2 one', 'a2ther', '2t', 'k2w'). Shipped wording is from the uncorrupted RAW Qualtrics export headers and the plain-text survey docx, which agree with each other character for character apart from commas/periods. RETRY TEST: n/a, not blocked."
conspiracy_asd__thinking_styles,"Clean pass. Instrument is the 10-item Rational-Experiential Inventory short form (REI-10; 5 rational/need-for-cognition items 1,2,6,7,10 and 5 experiential/faith-in-intuition items 3,4,5,8,9), administered under the survey's own heading 'Thinking Styles'; Step 3b instrument check confirms the live 10 items x 1-5 scale matches this block and not any other scale in the same battery. Wording transcribed verbatim from the deposit's 'Plain text version of survey.docx' (Figshare 10.6084/m9.figshare.30903575.v2, CC BY 4.0), with the leading '1. '..'10. ' numbering stripped; item 2 genuinely carries no trailing period in the source and is shipped that way. The coded workbook's row-1 labels carry the same wording but are corrupted by a find/replace artifact ('k2w' for 'know' in item 9), so the docx was used for the words and the workbook only for the column positions. Only the 1 and 5 anchors are labelled ('completely false' / 'completely true'); resp 2,3,4 are unlabelled scale points and option_text is left blank rather than padded with their own numbers. No wording_rights flag: no quotable non-commercial statement was found for the REI, and the source IRW copied from is CC BY 4.0. RETRY TEST: NO - a determinate verdict was reached (extraction complete, gated, and mapping VERIFIED); an unchanged retry would produce the same 50 rows. [ORCHESTRATOR NOTE -- lint_verification WARN, pre-adjudicated]: lint flags 'VERIFIED but its evidence hedges (does not establish)'. Kept as VERIFIED. The hedge sentence is the SKILL-mandated statement of scope, and it says the route establishes nothing further only because there is nothing further on the item axis to establish: all 10 (mean, floor%, ceiling%) signatures reproduce exactly and are mutually distinct (0 duplicates, closest pair distance 0.8349), so every item is separated from every other -- the VERIFIED bar. The option axis is stated outright by the source, not inferred. Same phrasing/adjudication as the sibling conspiracy_asd__asd_aq10 in batch_021."
contreras_valdez_2022_bsq,"BLOCKED on the item-text rights rule (irw#1891; references/itemtext_standard.md, 'Rights: when item wording may not be shipped'). NO __items.csv written. INSTRUMENT AND GROUND TRUTH: live items bsq_i01..bsq_i16, resp 1-6, Study 1 only (N=1117); the instrument is the 16-item Body Shape Questionnaire, Mexican Spanish adaptation ('Cuestionario de Imagen Corporal-16'), which the Step 3b check confirms is what the table holds -- the PLOS paper's Methods says 'The 16-item version adapted to adolescents and adults from the Mexican population [60] was administered', and the S1 spreadsheet's own Keys sheet labels the block 'Body Shape Questionnaire (BSQ)' with 16 bsq_i* columns. THE WORDING IS FULLY RECOVERABLE, AND WAS RECOVERED: reference [60] is Amaya Hernandez A (2013), UNAM doctoral thesis, TESIUNAM 0704071, whose Apendice A prints all 16 Spanish items numbered 1-16 (e.g. item 7 '?Te has imaginado cortando partes gruesas de tu cuerpo?', item 13 'Verte reflejado(a) en un espejo o en un aparador ?te ha hecho sentirte mal con tu figura?'). The response anchors are in the CC BY S1 file itself (1 Nunca [never], 2 Casi nunca [almost never], 3 Algunas veces [sometimes], 4 Bastantes veces [many times], 5 Casi siempre [almost always], 6 Siempre [always]). WHY IT IS STILL BLOCKED: the only publication of that Spanish wording is the thesis, and the source IRW would be copying from states its own restriction on its front matter -- 'UNAM - Direccion General de Bibliotecas / Tesis Digitales / Restricciones de uso / DERECHOS RESERVADOS (c) / PROHIBIDA SU REPRODUCCION TOTAL O PARCIAL ... El uso de imagenes, fragmentos de videos, y demas material que sea objeto de proteccion de los derechos de autor, sera exclusivamente para fines educativos e informativos y debera citar la fuente donde la obtuvo mencionando el autor o autores. Cualquier uso distinto como el lucro, reproduccion, edicion o modificacion, sera perseguido y sancionado por el respectivo titular de los Derechos de Autor.' That is a quoted, source-level non-commercial restriction plus an explicit bar on partial reproduction, which is the same shape as TIMSS 2003 and chinvararak_2021_ecr, and under the 2026-09-04 ruling the licence of the source actually copied from governs. The PLOS article (CC BY) does not reproduce any BSQ item wording and its S1 xlsx carries no item labels, so there is no open alternative within the deposit or the paper's supplements; third-party Spanish reproductions found (uv.es, scribd, Caballo handout) are neither the administered Mexican wording nor openly licensed. OPTION TEXT ALONE NOT SHIPPED: the six anchors are shippable on their own but carry no item referent and are already inferable from resp in 1..6, so per the #1770 option-only rule there is nothing worth parking under itemtext/fixes/. RETRY TEST: NO -- this is a determinate verdict (licence bars reuse), not an access failure. Nothing an unchanged retry does can change it. It would flip only if the thesis author or UNAM relicensed the appendix, or if the same Mexican BSQ-16 wording turned up in a CC BY publication."
contreras_valdez_2022_rses,"BLOCKED on the item-text rights rule (irw#1891; references/itemtext_standard.md, 'Rights: when item wording may not be shipped'). NO __items.csv written. INSTRUMENT AND GROUND TRUTH: live items rses_i01..rses_i10, resp 1-4, Study 2 only (N=973, per-item n=973 for all ten via irw_table_sets(); no full export taken). Step 3b check passes -- the table really is the Rosenberg Self-Esteem Scale and not a neighbouring instrument from the same battery: the S1 spreadsheet's Keys sheet heads the ten rses_i* columns ""Rosenberg's Self-Esteem Scale (RSES)"" with a 4-point agree/disagree scale, and the PLOS paper's Study 2 Instruments section says the RSES ""adapted to the Mexican population [60,72]"" was administered alongside the EDE-Q. THE WORDING IS FULLY RECOVERABLE, AND WAS RECOVERED: reference [60] is Amaya Hernandez A (2013), UNAM doctoral thesis, TESIUNAM 0704071, whose Apendice B prints all ten administered Spanish items explicitly numbered 1-10 (e.g. 3 'Creo que tengo algunas buenas cualidades.', 6 'Me siento inutil.', 8 'Desearia respetarme mas a mi mismo(a).', 9 'Pienso que soy un(a) fracasado(a).'). The four response anchors are in the CC BY S1 file itself (1 Totalmente de acuerdo [completely agree] .. 4 Totalmente en desacuerdo [completely disagree]). WHY IT IS STILL BLOCKED: the only publication of that Spanish wording is the thesis, and the source IRW would be copying from states its own restriction on its front matter -- 'UNAM - Direccion General de Bibliotecas / Tesis Digitales / Restricciones de uso / DERECHOS RESERVADOS (c) / PROHIBIDA SU REPRODUCCION TOTAL O PARCIAL ... El uso de imagenes, fragmentos de videos, y demas material que sea objeto de proteccion de los derechos de autor, sera exclusivamente para fines educativos e informativos y debera citar la fuente donde la obtuvo mencionando el autor o autores. Cualquier uso distinto como el lucro, reproduccion, edicion o modificacion, sera perseguido y sancionado por el respectivo titular de los Derechos de Autor.' That is a quoted, source-level non-commercial restriction plus an explicit bar on partial reproduction; under the 2026-09-04 ruling the licence of the source actually copied from governs, which is the same call the sibling table contreras_valdez_2022_bsq reached on the same thesis (Apendice A) in this batch. No open alternative exists: the PLOS article (CC BY) never reproduces an RSES item, its S1 xlsx carries no item labels (column names only), reference [72] (Jurado Cardenas et al., Rev Latinoam Med Conductual 5(1):18-22, open on redalyc) prints only R1..R10 with statistics and no wording, and the open Mexican RSES papers checked (Ciencias Psicologicas 10(2), CC BY; Rev Mex Psicol / SciELO Mexico S0188-62662022000100147, CC BY-NC-ND) reproduce no item text either. A SECOND FINDING, RECORDED FOR WHOEVER REVISITS THIS: the deposit's stated anchor direction is almost certainly reversed relative to the stored data. The Keys sheet and the paper both say 1 = totalmente de acuerdo .. 4 = totalmente en desacuerdo, but the file's own rses_pse column ('Positive Self-Esteem factor score') is the raw sum of exactly {rses_i01,i03,i04,i07,i10} -- the five items Amaya numbers as the positively worded ones -- and correlates -0.395 with edeq14_overall while rses_nse (raw sum of {i02,i06,i09}, the negatively worded items) correlates +0.287, matching the paper's stated convergent-validity result. Read with the printed anchors that would make a general-population sample agree that they are useless and a failure (means 1.43-1.54) and disagree that they have good qualities (means 3.28-3.58). So the stored coding runs 1 = totalmente en desacuerdo .. 4 = totalmente de acuerdo, and an extraction that shipped the Keys anchors verbatim would ship them backwards. See verify_contreras_valdez_2022_rses.R. OPTION TEXT ALONE NOT SHIPPED: the four anchors are CC BY and shippable on their own, but they carry no item referent and (once corrected for direction) are inferable from resp in 1..4, so per the #1770 option-only rule there is nothing worth parking under itemtext/fixes/. RETRY TEST: NO -- determinate verdict (licence bars reuse), not an access failure. An unchanged retry cannot change it. It would flip only if the thesis author or UNAM relicensed Apendice B, or if the same Mexican Spanish RSES wording with the same 1-10 numbering turned up in a CC BY publication."
cooper_2018_funny_topics,"Clean pass with one caveat: option_text ('Selected' / 'Not selected') is a description of the check-all-that-apply 0/1 coding, not transcribed source wording -- the S3 File survey publishes no response labels for this battery, only the stem 'Please select all that you might find funny.' Item text and instructions are verbatim from the S3 File. RETRY TEST: not blocked, no retry needed."
cooper_2018_offensive_topics,"Clean pass with one caveat: the source is a select-all-that-apply checklist, so the 0/1 response coding carries no printed option labels and the shipped option_text ('Selected' / 'Not selected') describes the checkbox state rather than transcribing survey wording. Everything else is verbatim from PLOS S3 File. Mapping is data_labels (the IRW item codes are the raw xlsx column headers and are self-describing), so Step 5b verification is exempt and no verification/verify files are written. Retry test: N/A -- not blocked."
cormier_2024_personality,"Clean pass. Instrument is the BFI-2-XS (Soto & John 2017) extra-short form: 15 of the 16 live items are its canonical 15, and Q20_8 is an embedded attention-check row ('For this question... please select Agree Strongly') that is not a personality item -- all 898 respondents answered it 5. Item text taken verbatim from the PLOS S2 Qualtrics export's own question-label header row, which carries the text per column; the shared matrix prompt was split off into `instructions` and the per-row remainder kept as `item_text`, with the label's internal newlines collapsed to single spaces. RETRY TEST: not blocked."
cormier_2024_phq4,Clean pass. Minor caveat: the Qualtrics header concatenates a shared block stem with each item stem via ' - '; the stem was split off into instructions and item_text holds only the per-item sentence. Retry test: N/A (not blocked).
