"field","value","meaning"
"translation_source","official_instrument_english","The instrument publisher's own English for the same numbered items. A parallel version rather than a translation of the administered string -- so where a local adaptation diverges from the original, this column stops corresponding word-for-word to the base field. Better wording, different provenance claim; that is why it is not merged with study_supplied."
"translation_source","study_supplied","This study's own deposit, supplement or paper carried an English rendering, and that is what ships."
"translation_source","machine_translation","No published English existed, so it was translated from the administered text by this project rather than by the authors. Requires an entry on the public issues page (ratified 2026-09-02)."
"translation_source","mixed","Different fields came from different sources -- say which in the note."
"translation_source","third_party_english","A published English rendering that is neither this study's nor the instrument publisher's -- another study's printed table, typically chosen because it is the only open-access source carrying every item in one register. Published wording, so nothing is disclosed, but it is not the instrument original and may drift from it; name the paper in the note and say where it diverges. Added 2026-09-06 for gerber_2022_eas_temperament (irw#1970)."
"translation_source","","No _translated columns: the study was administered in English, so there is nothing to translate. NOT allowed on a text_source=translated_substitute row -- there English sits in the BASE fields, so where that English came from is exactly the question, and check_provenance.R fails a blank there (irw#1970, 2026-09-06)."
"key_source","source_published","The source states which response is correct -- an answer key in the codebook, deposit or paper. correct_response transcribes it."
"key_source","derived_from_responses","No published key existed, so the correct answers were solved from the response data by this project rather than stated by the authors. Same class as machine_translation: it is IRW-generated content sitting in a content field, so it requires an entry on the public issues page (ratified 2026-09-03). Record in the note HOW it was derived and how well it reproduces, so a reader can judge it."
"key_source","","No correct_response, or the column is blank: the instrument has no correct answer (an attitude or frequency scale), so there is no key to source."
"description_source","source_published","Every description of non-text content in item_text (a figure, graph, table, equation or diagram) was written by the source itself -- e.g. INEP's accessibility booklet for ENEM. Nothing to disclose."
"description_source","partly_generated","At least one description of non-text content in item_text was written by this project, because the source described none. Allowed in item_text / item_text_translated only, always marked inline ('(AI-generated)' in English, the source-language equivalent in the base field), and NEVER in option_text: a generated label on a response category gets joined to responses and read as printed. Same class as machine_translation, so it requires an entry on the public issues page (ratified 2026-09-11, #1848). check_provenance.R enforces the marker rules against the __items.csv files beside it."
"description_source","","item_text carries no description of non-text content, or the column predates 2026-09-11."
