"table","section_id","item","instrument","instructions","section_prompt","item_text","item_text_translated","option_text","resp","option_text_translated"
"namprb_siwiak_2024_aot","main","AOT_1","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Ważne jest, aby wytrwać w swoich przekonaniach, na-wet jeśli przedstawiane są dowody przeciwko nim.","It is important to persevere in one's beliefs, even if evidence is presented against them.","zdecydowanie nie zgadzam się",1,"Strongly disagree"
"namprb_siwiak_2024_aot","main","AOT_1","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Ważne jest, aby wytrwać w swoich przekonaniach, na-wet jeśli przedstawiane są dowody przeciwko nim.","It is important to persevere in one's beliefs, even if evidence is presented against them.","całkowi-cie zgadzam się",6,"Strongly agree"
"namprb_siwiak_2024_aot","main","AOT_1","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Ważne jest, aby wytrwać w swoich przekonaniach, na-wet jeśli przedstawiane są dowody przeciwko nim.","It is important to persevere in one's beliefs, even if evidence is presented against them.",NA,5,NA
"namprb_siwiak_2024_aot","main","AOT_1","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Ważne jest, aby wytrwać w swoich przekonaniach, na-wet jeśli przedstawiane są dowody przeciwko nim.","It is important to persevere in one's beliefs, even if evidence is presented against them.",NA,3,NA
"namprb_siwiak_2024_aot","main","AOT_1","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Ważne jest, aby wytrwać w swoich przekonaniach, na-wet jeśli przedstawiane są dowody przeciwko nim.","It is important to persevere in one's beliefs, even if evidence is presented against them.",NA,2,NA
"namprb_siwiak_2024_aot","main","AOT_1","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Ważne jest, aby wytrwać w swoich przekonaniach, na-wet jeśli przedstawiane są dowody przeciwko nim.","It is important to persevere in one's beliefs, even if evidence is presented against them.",NA,4,NA
"namprb_siwiak_2024_aot","main","AOT_2","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Ze wszystkich filozofii, które istnieją na świecie, praw-dopodobnie tylko jedna jest właściwa","Of all the philosophies that exist in the world, probably only one is correct.",NA,2,NA
"namprb_siwiak_2024_aot","main","AOT_2","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Ze wszystkich filozofii, które istnieją na świecie, praw-dopodobnie tylko jedna jest właściwa","Of all the philosophies that exist in the world, probably only one is correct.","całkowi-cie zgadzam się",6,"Strongly agree"
"namprb_siwiak_2024_aot","main","AOT_2","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Ze wszystkich filozofii, które istnieją na świecie, praw-dopodobnie tylko jedna jest właściwa","Of all the philosophies that exist in the world, probably only one is correct.",NA,3,NA
"namprb_siwiak_2024_aot","main","AOT_2","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Ze wszystkich filozofii, które istnieją na świecie, praw-dopodobnie tylko jedna jest właściwa","Of all the philosophies that exist in the world, probably only one is correct.","zdecydowanie nie zgadzam się",1,"Strongly disagree"
"namprb_siwiak_2024_aot","main","AOT_2","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Ze wszystkich filozofii, które istnieją na świecie, praw-dopodobnie tylko jedna jest właściwa","Of all the philosophies that exist in the world, probably only one is correct.",NA,5,NA
"namprb_siwiak_2024_aot","main","AOT_2","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Ze wszystkich filozofii, które istnieją na świecie, praw-dopodobnie tylko jedna jest właściwa","Of all the philosophies that exist in the world, probably only one is correct.",NA,4,NA
"namprb_siwiak_2024_aot","main","AOT_3","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Należy lekceważyć dowody, które są sprzeczne z naszy-mi przekonaniami.","Evidence that contradicts our beliefs should be disregarded.",NA,3,NA
"namprb_siwiak_2024_aot","main","AOT_3","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Należy lekceważyć dowody, które są sprzeczne z naszy-mi przekonaniami.","Evidence that contradicts our beliefs should be disregarded.",NA,4,NA
"namprb_siwiak_2024_aot","main","AOT_3","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Należy lekceważyć dowody, które są sprzeczne z naszy-mi przekonaniami.","Evidence that contradicts our beliefs should be disregarded.",NA,2,NA
"namprb_siwiak_2024_aot","main","AOT_3","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Należy lekceważyć dowody, które są sprzeczne z naszy-mi przekonaniami.","Evidence that contradicts our beliefs should be disregarded.","zdecydowanie nie zgadzam się",1,"Strongly disagree"
"namprb_siwiak_2024_aot","main","AOT_3","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Należy lekceważyć dowody, które są sprzeczne z naszy-mi przekonaniami.","Evidence that contradicts our beliefs should be disregarded.","całkowi-cie zgadzam się",6,"Strongly agree"
"namprb_siwiak_2024_aot","main","AOT_3","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Należy lekceważyć dowody, które są sprzeczne z naszy-mi przekonaniami.","Evidence that contradicts our beliefs should be disregarded.",NA,5,NA
"namprb_siwiak_2024_aot","main","AOT_4","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Pewne przekonania są zbyt ważne, by je porzucić bez względu na to, jak dobre argumenty przeciwko nim można przedstawić.","Some beliefs are too important to abandon, no matter how good the arguments against them may be.",NA,5,NA
"namprb_siwiak_2024_aot","main","AOT_4","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Pewne przekonania są zbyt ważne, by je porzucić bez względu na to, jak dobre argumenty przeciwko nim można przedstawić.","Some beliefs are too important to abandon, no matter how good the arguments against them may be.",NA,3,NA
"namprb_siwiak_2024_aot","main","AOT_4","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Pewne przekonania są zbyt ważne, by je porzucić bez względu na to, jak dobre argumenty przeciwko nim można przedstawić.","Some beliefs are too important to abandon, no matter how good the arguments against them may be.",NA,2,NA
"namprb_siwiak_2024_aot","main","AOT_4","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Pewne przekonania są zbyt ważne, by je porzucić bez względu na to, jak dobre argumenty przeciwko nim można przedstawić.","Some beliefs are too important to abandon, no matter how good the arguments against them may be.","całkowi-cie zgadzam się",6,"Strongly agree"
"namprb_siwiak_2024_aot","main","AOT_4","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Pewne przekonania są zbyt ważne, by je porzucić bez względu na to, jak dobre argumenty przeciwko nim można przedstawić.","Some beliefs are too important to abandon, no matter how good the arguments against them may be.",NA,4,NA
"namprb_siwiak_2024_aot","main","AOT_4","Actively Open-minded Thinking Scale(AOT)",NA,NA,"Pewne przekonania są zbyt ważne, by je porzucić bez względu na to, jak dobre argumenty przeciwko nim można przedstawić.","Some beliefs are too important to abandon, no matter how good the arguments against them may be.","zdecydowanie nie zgadzam się",1,"Strongly disagree"
