"table","section_id","item","instrument","instructions","section_prompt","item_text","item_text_translated","option_text","resp"
"namprb_siwiak_2024_gcbs","main","GCBS_1","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Rząd w sekrecie jest zamieszany w morderstwa niewinnych obywateli lub znanych osób publicznych.","The government is involved in the murder of innocent citizens and/or well-known public figures, and keeps this a secret","Zdecydowanie nieprawdziwe",1
"namprb_siwiak_2024_gcbs","main","GCBS_1","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Rząd w sekrecie jest zamieszany w morderstwa niewinnych obywateli lub znanych osób publicznych.","The government is involved in the murder of innocent citizens and/or well-known public figures, and keeps this a secret","Prawdopodobnie nieprawdziwe",2
"namprb_siwiak_2024_gcbs","main","GCBS_1","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Rząd w sekrecie jest zamieszany w morderstwa niewinnych obywateli lub znanych osób publicznych.","The government is involved in the murder of innocent citizens and/or well-known public figures, and keeps this a secret","Nie mam pewności / nie mogę zdecydować",3
"namprb_siwiak_2024_gcbs","main","GCBS_1","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Rząd w sekrecie jest zamieszany w morderstwa niewinnych obywateli lub znanych osób publicznych.","The government is involved in the murder of innocent citizens and/or well-known public figures, and keeps this a secret","Prawdopodobnie prawdziwe",4
"namprb_siwiak_2024_gcbs","main","GCBS_1","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Rząd w sekrecie jest zamieszany w morderstwa niewinnych obywateli lub znanych osób publicznych.","The government is involved in the murder of innocent citizens and/or well-known public figures, and keeps this a secret","Zdecydowanie prawdziwe",5
"namprb_siwiak_2024_gcbs","main","GCBS_10","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Nowe, zaawansowane technologie są blokowane, żeby nie zaszkodzić istniejącemu przemysłowi.","New and advanced technology which would harm current industry is being suppressed","Nie mam pewności / nie mogę zdecydować",3
"namprb_siwiak_2024_gcbs","main","GCBS_10","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Nowe, zaawansowane technologie są blokowane, żeby nie zaszkodzić istniejącemu przemysłowi.","New and advanced technology which would harm current industry is being suppressed","Prawdopodobnie nieprawdziwe",2
"namprb_siwiak_2024_gcbs","main","GCBS_10","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Nowe, zaawansowane technologie są blokowane, żeby nie zaszkodzić istniejącemu przemysłowi.","New and advanced technology which would harm current industry is being suppressed","Zdecydowanie prawdziwe",5
"namprb_siwiak_2024_gcbs","main","GCBS_10","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Nowe, zaawansowane technologie są blokowane, żeby nie zaszkodzić istniejącemu przemysłowi.","New and advanced technology which would harm current industry is being suppressed","Prawdopodobnie prawdziwe",4
"namprb_siwiak_2024_gcbs","main","GCBS_10","Generic Conspiracist Beliefs Scale(GCBS)","Przekonania na temat świata. Często rozważa się czy opinia publiczna jest poinformowana o całej prawdzie na temat różnych istotnych problemów. Ta krótka ankieta została zaprojektowana w celu oszacowania Pana/i przekonań na temat niektórych z tych problemów.","Proszę aby Pan/i określił/a prawdziwość poniższych stwierdzeń za pomocą następującej skali: 1. Zdecydowanie nieprawdziwe. 2. Prawdopodobnie nieprawdziwe. 3. Nie mam pewności/nie mogę zdecydować. 4. Prawdopodobnie prawdziwe. 5. Zdecydowanie prawdziwe.","Nowe, zaawansowane technologie są blokowane, żeby nie zaszkodzić istniejącemu przemysłowi.","New and advanced technology which would harm current industry is being suppressed","Zdecydowanie nieprawdziwe",1
