"table","section_id","item","instrument","instructions","section_prompt","item_text","item_text_translated","option_text","resp","option_text_translated"
"namprb_siwiak_2024_kon2066","main","KON-2006_FANTAZJA_1","Kon-2066","Kwestionariusz ten składa się z szeregu pytań, dotyczących różnych cech, upodobań, skłonności, postaw, poglądów itp. Nie ma tu odpowiedzi dobrych lub złych, każdy człowiek jest przecież inny. Proszę odpowiadać szczerze i bez dłuższego zastanawiania się, zwłaszcza nie rozważać tego „jak powinno się na to pytanie odpowiedzieć” – prawidłowe rozeznanie stanu zdrowia wymaga pokazania się takim, jakim się jest. Na każde pytanie można dać tylko jedną odpowiedź: „tak” lub „nie”. Proszę wybrać i zaznaczyć tę, która wydaje się właściwa. Jeśli sformułowanie jest niejasne i trudno się zdecydować, bo np. prawdziwe wydają się obie możliwości – proszę zwrócić się do osoby przeprowadzającej badanie. Przed zakończeniem wypełniania kwestionariusza proszę sprawdzić, czy przy każdym pytaniu jest zanotowana odpowiedź.",NA,"Zależy mi na tym, by wszyscy mnie lubili","It's important to me that everyone likes me.","TAK",1,"yes"
"namprb_siwiak_2024_kon2066","main","KON-2006_FANTAZJA_1","Kon-2066","Kwestionariusz ten składa się z szeregu pytań, dotyczących różnych cech, upodobań, skłonności, postaw, poglądów itp. Nie ma tu odpowiedzi dobrych lub złych, każdy człowiek jest przecież inny. Proszę odpowiadać szczerze i bez dłuższego zastanawiania się, zwłaszcza nie rozważać tego „jak powinno się na to pytanie odpowiedzieć” – prawidłowe rozeznanie stanu zdrowia wymaga pokazania się takim, jakim się jest. Na każde pytanie można dać tylko jedną odpowiedź: „tak” lub „nie”. Proszę wybrać i zaznaczyć tę, która wydaje się właściwa. Jeśli sformułowanie jest niejasne i trudno się zdecydować, bo np. prawdziwe wydają się obie możliwości – proszę zwrócić się do osoby przeprowadzającej badanie. Przed zakończeniem wypełniania kwestionariusza proszę sprawdzić, czy przy każdym pytaniu jest zanotowana odpowiedź.",NA,"Zależy mi na tym, by wszyscy mnie lubili","It's important to me that everyone likes me.","NIE",0,"no"
"namprb_siwiak_2024_kon2066","main","KON-2006_FANTAZJA_103","Kon-2066","Kwestionariusz ten składa się z szeregu pytań, dotyczących różnych cech, upodobań, skłonności, postaw, poglądów itp. Nie ma tu odpowiedzi dobrych lub złych, każdy człowiek jest przecież inny. Proszę odpowiadać szczerze i bez dłuższego zastanawiania się, zwłaszcza nie rozważać tego „jak powinno się na to pytanie odpowiedzieć” – prawidłowe rozeznanie stanu zdrowia wymaga pokazania się takim, jakim się jest. Na każde pytanie można dać tylko jedną odpowiedź: „tak” lub „nie”. Proszę wybrać i zaznaczyć tę, która wydaje się właściwa. Jeśli sformułowanie jest niejasne i trudno się zdecydować, bo np. prawdziwe wydają się obie możliwości – proszę zwrócić się do osoby przeprowadzającej badanie. Przed zakończeniem wypełniania kwestionariusza proszę sprawdzić, czy przy każdym pytaniu jest zanotowana odpowiedź.",NA,"Gdy jest ciężko, fantazjuję o tym, że jest całkiem inaczej","When things are tough, I fantasize about things being completely different.","TAK",1,"yes"
"namprb_siwiak_2024_kon2066","main","KON-2006_FANTAZJA_103","Kon-2066","Kwestionariusz ten składa się z szeregu pytań, dotyczących różnych cech, upodobań, skłonności, postaw, poglądów itp. Nie ma tu odpowiedzi dobrych lub złych, każdy człowiek jest przecież inny. Proszę odpowiadać szczerze i bez dłuższego zastanawiania się, zwłaszcza nie rozważać tego „jak powinno się na to pytanie odpowiedzieć” – prawidłowe rozeznanie stanu zdrowia wymaga pokazania się takim, jakim się jest. Na każde pytanie można dać tylko jedną odpowiedź: „tak” lub „nie”. Proszę wybrać i zaznaczyć tę, która wydaje się właściwa. Jeśli sformułowanie jest niejasne i trudno się zdecydować, bo np. prawdziwe wydają się obie możliwości – proszę zwrócić się do osoby przeprowadzającej badanie. Przed zakończeniem wypełniania kwestionariusza proszę sprawdzić, czy przy każdym pytaniu jest zanotowana odpowiedź.",NA,"Gdy jest ciężko, fantazjuję o tym, że jest całkiem inaczej","When things are tough, I fantasize about things being completely different.","NIE",0,"no"
"namprb_siwiak_2024_kon2066","main","KON-2006_FANTAZJA_127","Kon-2066","Kwestionariusz ten składa się z szeregu pytań, dotyczących różnych cech, upodobań, skłonności, postaw, poglądów itp. Nie ma tu odpowiedzi dobrych lub złych, każdy człowiek jest przecież inny. Proszę odpowiadać szczerze i bez dłuższego zastanawiania się, zwłaszcza nie rozważać tego „jak powinno się na to pytanie odpowiedzieć” – prawidłowe rozeznanie stanu zdrowia wymaga pokazania się takim, jakim się jest. Na każde pytanie można dać tylko jedną odpowiedź: „tak” lub „nie”. Proszę wybrać i zaznaczyć tę, która wydaje się właściwa. Jeśli sformułowanie jest niejasne i trudno się zdecydować, bo np. prawdziwe wydają się obie możliwości – proszę zwrócić się do osoby przeprowadzającej badanie. Przed zakończeniem wypełniania kwestionariusza proszę sprawdzić, czy przy każdym pytaniu jest zanotowana odpowiedź.",NA,"Chcę działać tak, by wszyscy byli zadowoleni","I want to act in a way that makes everyone happy.","TAK",1,"yes"
"namprb_siwiak_2024_kon2066","main","KON-2006_FANTAZJA_127","Kon-2066","Kwestionariusz ten składa się z szeregu pytań, dotyczących różnych cech, upodobań, skłonności, postaw, poglądów itp. Nie ma tu odpowiedzi dobrych lub złych, każdy człowiek jest przecież inny. Proszę odpowiadać szczerze i bez dłuższego zastanawiania się, zwłaszcza nie rozważać tego „jak powinno się na to pytanie odpowiedzieć” – prawidłowe rozeznanie stanu zdrowia wymaga pokazania się takim, jakim się jest. Na każde pytanie można dać tylko jedną odpowiedź: „tak” lub „nie”. Proszę wybrać i zaznaczyć tę, która wydaje się właściwa. Jeśli sformułowanie jest niejasne i trudno się zdecydować, bo np. prawdziwe wydają się obie możliwości – proszę zwrócić się do osoby przeprowadzającej badanie. Przed zakończeniem wypełniania kwestionariusza proszę sprawdzić, czy przy każdym pytaniu jest zanotowana odpowiedź.",NA,"Chcę działać tak, by wszyscy byli zadowoleni","I want to act in a way that makes everyone happy.","NIE",0,"no"
"namprb_siwiak_2024_kon2066","main","KON-2006_FANTAZJA_172","Kon-2066","Kwestionariusz ten składa się z szeregu pytań, dotyczących różnych cech, upodobań, skłonności, postaw, poglądów itp. Nie ma tu odpowiedzi dobrych lub złych, każdy człowiek jest przecież inny. Proszę odpowiadać szczerze i bez dłuższego zastanawiania się, zwłaszcza nie rozważać tego „jak powinno się na to pytanie odpowiedzieć” – prawidłowe rozeznanie stanu zdrowia wymaga pokazania się takim, jakim się jest. Na każde pytanie można dać tylko jedną odpowiedź: „tak” lub „nie”. Proszę wybrać i zaznaczyć tę, która wydaje się właściwa. Jeśli sformułowanie jest niejasne i trudno się zdecydować, bo np. prawdziwe wydają się obie możliwości – proszę zwrócić się do osoby przeprowadzającej badanie. Przed zakończeniem wypełniania kwestionariusza proszę sprawdzić, czy przy każdym pytaniu jest zanotowana odpowiedź.",NA,"Często marzę, że jestem milionerem","I often dream of being a millionaire.","TAK",1,"yes"
"namprb_siwiak_2024_kon2066","main","KON-2006_FANTAZJA_172","Kon-2066","Kwestionariusz ten składa się z szeregu pytań, dotyczących różnych cech, upodobań, skłonności, postaw, poglądów itp. Nie ma tu odpowiedzi dobrych lub złych, każdy człowiek jest przecież inny. Proszę odpowiadać szczerze i bez dłuższego zastanawiania się, zwłaszcza nie rozważać tego „jak powinno się na to pytanie odpowiedzieć” – prawidłowe rozeznanie stanu zdrowia wymaga pokazania się takim, jakim się jest. Na każde pytanie można dać tylko jedną odpowiedź: „tak” lub „nie”. Proszę wybrać i zaznaczyć tę, która wydaje się właściwa. Jeśli sformułowanie jest niejasne i trudno się zdecydować, bo np. prawdziwe wydają się obie możliwości – proszę zwrócić się do osoby przeprowadzającej badanie. Przed zakończeniem wypełniania kwestionariusza proszę sprawdzić, czy przy każdym pytaniu jest zanotowana odpowiedź.",NA,"Często marzę, że jestem milionerem","I often dream of being a millionaire.","NIE",0,"no"
"namprb_siwiak_2024_kon2066","main","KON-2006_FANTAZJA_174","Kon-2066","Kwestionariusz ten składa się z szeregu pytań, dotyczących różnych cech, upodobań, skłonności, postaw, poglądów itp. Nie ma tu odpowiedzi dobrych lub złych, każdy człowiek jest przecież inny. Proszę odpowiadać szczerze i bez dłuższego zastanawiania się, zwłaszcza nie rozważać tego „jak powinno się na to pytanie odpowiedzieć” – prawidłowe rozeznanie stanu zdrowia wymaga pokazania się takim, jakim się jest. Na każde pytanie można dać tylko jedną odpowiedź: „tak” lub „nie”. Proszę wybrać i zaznaczyć tę, która wydaje się właściwa. Jeśli sformułowanie jest niejasne i trudno się zdecydować, bo np. prawdziwe wydają się obie możliwości – proszę zwrócić się do osoby przeprowadzającej badanie. Przed zakończeniem wypełniania kwestionariusza proszę sprawdzić, czy przy każdym pytaniu jest zanotowana odpowiedź.",NA,"Jestem gotów poświęcać swoje sprawy, byle mnie lubiano","I am willing to sacrifice my own interests to be liked.","TAK",1,"yes"
"namprb_siwiak_2024_kon2066","main","KON-2006_FANTAZJA_174","Kon-2066","Kwestionariusz ten składa się z szeregu pytań, dotyczących różnych cech, upodobań, skłonności, postaw, poglądów itp. Nie ma tu odpowiedzi dobrych lub złych, każdy człowiek jest przecież inny. Proszę odpowiadać szczerze i bez dłuższego zastanawiania się, zwłaszcza nie rozważać tego „jak powinno się na to pytanie odpowiedzieć” – prawidłowe rozeznanie stanu zdrowia wymaga pokazania się takim, jakim się jest. Na każde pytanie można dać tylko jedną odpowiedź: „tak” lub „nie”. Proszę wybrać i zaznaczyć tę, która wydaje się właściwa. Jeśli sformułowanie jest niejasne i trudno się zdecydować, bo np. prawdziwe wydają się obie możliwości – proszę zwrócić się do osoby przeprowadzającej badanie. Przed zakończeniem wypełniania kwestionariusza proszę sprawdzić, czy przy każdym pytaniu jest zanotowana odpowiedź.",NA,"Jestem gotów poświęcać swoje sprawy, byle mnie lubiano","I am willing to sacrifice my own interests to be liked.","NIE",0,"no"
