# item-text tables in the Redivis shards as of 2026-09-26
# status=published: a reader can fetch it. status=draft: uploaded, not released yet.
# generated -- do not hand-edit; rerun itemtext/refresh_live_tables.py (irw#1828)
# draft not listable by this token (needs data.edit) for irw_text_2, irw_text_3; its draft rows carried forward from the snapshot taken 2026-09-25
table,shard,status
16_personalityfactors,irw_text,published
360emergencymed_azami_2024,irw_text,published
ALSECYPIAMH_WU_2022_PHQ,irw_text,published
AMI_CV_Hewitt2024,irw_text_2,published
AOMT_BR_SF_EDPANAB_Geiger_2021_AOT,irw_text,published
AOMT_BR_SF_EDPANAB_Geiger_2021_BRS,irw_text,published
AOMT_BR_SF_EDPANAB_Geiger_2021_RF,irw_text_2,published
APFCompact_Ptacek_2024_DASS-21,irw_text,published
Adherence_Zissette_2018_SDB,irw_text,published
BPAQ_Christopher_2024_PCL5,irw_text_2,published
BPAQ_Christopher_2024_SCSS,irw_text,published
COACH_Chen_2022_ADL,irw_text,published
COACH_Chen_2022_CSQ,irw_text,published
COACH_Chen_2022_IADL,irw_text,published
COACH_Chen_2022_MOS_SSS_C,irw_text,published
COACH_Chen_2022_treatmentStigma,irw_text_3,published
CPDMMC_Kunnari_2020_HCD,irw_text,published
CPDMMC_Kunnari_2020_PDP,irw_text,published
CQTMS_Hur_2023,irw_text,published
CSE_Bayazit_2022,irw_text_3,published
CV_OASIS_ODSIS_PPE_Novak_2020_PANAS,irw_text_2,published
CV_OASIS_ODSIS_PPE_Novak_2020_RSES,irw_text,published
DMCT_Addis_2020_PSIQ,irw_text,published
EEN_Lacey_2024_Children,irw_text,published
EEN_Lacey_2024_Parent,irw_text,published
EWAS_Sanford_2024,irw_text_2,published
FACIT_YOUNT_2021_clinic10,irw_text_2,published
FAD_fadplus_goto2021,irw_text_2,published
FEDSP_Trzcinska_2023_MonKnow,irw_text_2,published
FGSIS_Berzeviczy_2018,irw_text_2,published
FIVPEI_Perrig_2023_AttDiff,irw_text_2,published
FPAS_Silva_2022,irw_text_3,published
FomoNegativeAffect_cremer_2026_panas,irw_text_3,published
FomoNegativeAffect_cremer_2026_phq,irw_text_2,published
IJLS_Eersel_2024_DenialAcceptance,irw_text_2,published
IJLS_Eersel_2024_IJLSreaction,irw_text_2,published
IJLS_Eersel_2024_IUS,irw_text_2,published
IJLS_Eersel_2024_Optimism,irw_text_2,published
IJLS_Eersel_2024_Work,irw_text_2,published
K-PCQ_Huh_2022,irw_text_2,published
KoreanNursing_Park_2017,irw_text_2,published
MGSISGCLQ_Hollyhead_2018,irw_text_2,published
NAMPRB_Siwiak_2024_SSUB,irw_text_2,published
NSR-FC_Youhasan_2021,irw_text_2,published
PEMAIW_Qiu_2020_DASS,irw_text_2,published
PEMAIW_Qiu_2020_FFMQ,irw_text_2,published
PEMAIW_Qiu_2020_PANAS,irw_text_2,published
PMT_Trzcinska_2023_PMT,irw_text_2,published
PPSRS_Caliciuri_2024,irw_text_2,published
QADT_Kleka_2023,irw_text_2,published
QCDQES_Oliveira_2022,irw_text_2,published
Resistance,irw_text_2,published
RvKDCS_Romiacg_Miroshnik_2020_CBI,irw_text_2,published
SABFI2_Gallardo_Pujol_2018_Constru,irw_text,published
SABFI2_Gallardo_Pujol_2018_LOT,irw_text_2,published
SABFI2_Gallardo_Pujol_2018_Micro,irw_text,published
SABFI2_Gallardo_Pujol_2018_Tight,irw_text,published
SABFI2_Gallardo_Pujol_2018_Trust,irw_text,published
SBD_Smith_2020,irw_text,published
SPQVS_Barnby_2017_OEQ,irw_text_3,published
SPQVS_Barnby_2017_SENPQ,irw_text_3,published
VSOCFP_Sebo_2024,irw_text_2,published
Veterans_Affairs_SSVF_Survey_2016-17,irw_text_2,published
WMD_bartczuk_2023,irw_text,published
abdulkader_mohamed_2022_exer_attitude,irw_text_2,published
abdulkader_mohamed_2022_exer_knowledge,irw_text_2,published
abdulkader_mohamed_2022_exergame_exp,irw_text_2,published
abdullah_2024_blqol,irw_text,published
abdullah_2024_bsq_sev24,irw_text,published
abdullah_2024_bsq_sevgen,irw_text,published
abdullah_2024_hpbbloat_stress,irw_text,published
abortion,irw_text_2,published
abouhashish_2025_chatgpt_attitudes,irw_text,published
abramson_2026_israel_attachment,irw_text_3,published
abramson_2026_israel_policy,irw_text_3,published
abramson_2026_mobilization,irw_text_3,published
abukhalaf_2025_disaster_prep,irw_text,published
