"table","section_id","item","instrument","language","instructions","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"pedroso_2021_ifsq_restriction","pedroso_2021_ifsq_restriction_amount","RS1","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), restrictive style","Portuguese",NA,"Quantidade","Amount","Eu controlo com cuidado a quantidade de comida que o/a (nome da criança) come","I control carefully the amount of food (the child) eats",NA,"never",NA,1
"pedroso_2021_ifsq_restriction","pedroso_2021_ifsq_restriction_amount","RS1","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), restrictive style","Portuguese",NA,"Quantidade","Amount","Eu controlo com cuidado a quantidade de comida que o/a (nome da criança) come","I control carefully the amount of food (the child) eats",NA,"seldom",NA,2
"pedroso_2021_ifsq_restriction","pedroso_2021_ifsq_restriction_amount","RS1","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), restrictive style","Portuguese",NA,"Quantidade","Amount","Eu controlo com cuidado a quantidade de comida que o/a (nome da criança) come","I control carefully the amount of food (the child) eats",NA,"half of the time",NA,3
"pedroso_2021_ifsq_restriction","pedroso_2021_ifsq_restriction_amount","RS1","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), restrictive style","Portuguese",NA,"Quantidade","Amount","Eu controlo com cuidado a quantidade de comida que o/a (nome da criança) come","I control carefully the amount of food (the child) eats",NA,"most of the time",NA,4
"pedroso_2021_ifsq_restriction","pedroso_2021_ifsq_restriction_amount","RS1","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), restrictive style","Portuguese",NA,"Quantidade","Amount","Eu controlo com cuidado a quantidade de comida que o/a (nome da criança) come","I control carefully the amount of food (the child) eats",NA,"always",NA,5
"pedroso_2021_ifsq_restriction","pedroso_2021_ifsq_restriction_amount","RS2","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), restrictive style","Portuguese",NA,"Quantidade","Amount","Eu tomo bastante cuidado para não alimentar o/a (nome da criança) demais/em excesso","I am very careful not to overfeed (the child)",NA,"never",NA,1
"pedroso_2021_ifsq_restriction","pedroso_2021_ifsq_restriction_amount","RS2","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), restrictive style","Portuguese",NA,"Quantidade","Amount","Eu tomo bastante cuidado para não alimentar o/a (nome da criança) demais/em excesso","I am very careful not to overfeed (the child)",NA,"seldom",NA,2
"pedroso_2021_ifsq_restriction","pedroso_2021_ifsq_restriction_amount","RS2","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), restrictive style","Portuguese",NA,"Quantidade","Amount","Eu tomo bastante cuidado para não alimentar o/a (nome da criança) demais/em excesso","I am very careful not to overfeed (the child)",NA,"half of the time",NA,3
"pedroso_2021_ifsq_restriction","pedroso_2021_ifsq_restriction_amount","RS2","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), restrictive style","Portuguese",NA,"Quantidade","Amount","Eu tomo bastante cuidado para não alimentar o/a (nome da criança) demais/em excesso","I am very careful not to overfeed (the child)",NA,"most of the time",NA,4
"pedroso_2021_ifsq_restriction","pedroso_2021_ifsq_restriction_amount","RS2","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), restrictive style","Portuguese",NA,"Quantidade","Amount","Eu tomo bastante cuidado para não alimentar o/a (nome da criança) demais/em excesso","I am very careful not to overfeed (the child)",NA,"always",NA,5
"pedroso_2021_ifsq_restriction","pedroso_2021_ifsq_restriction_amount","RS3","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), restrictive style","Portuguese",NA,"Quantidade","Amount","É importante que os pais tenham regras sobre a quantidade de comida que as crianças pequenas devem comer","It is important that parents have rules regarding the amount of food toddlers eat",NA,"disagree",NA,1
"pedroso_2021_ifsq_restriction","pedroso_2021_ifsq_restriction_amount","RS3","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), restrictive style","Portuguese",NA,"Quantidade","Amount","É importante que os pais tenham regras sobre a quantidade de comida que as crianças pequenas devem comer","It is important that parents have rules regarding the amount of food toddlers eat",NA,"slightly disagree",NA,2
"pedroso_2021_ifsq_restriction","pedroso_2021_ifsq_restriction_amount","RS3","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), restrictive style","Portuguese",NA,"Quantidade","Amount","É importante que os pais tenham regras sobre a quantidade de comida que as crianças pequenas devem comer","It is important that parents have rules regarding the amount of food toddlers eat",NA,"neutral",NA,3
"pedroso_2021_ifsq_restriction","pedroso_2021_ifsq_restriction_amount","RS3","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), restrictive style","Portuguese",NA,"Quantidade","Amount","É importante que os pais tenham regras sobre a quantidade de comida que as crianças pequenas devem comer","It is important that parents have rules regarding the amount of food toddlers eat",NA,"slightly agree",NA,4
"pedroso_2021_ifsq_restriction","pedroso_2021_ifsq_restriction_amount","RS3","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), restrictive style","Portuguese",NA,"Quantidade","Amount","É importante que os pais tenham regras sobre a quantidade de comida que as crianças pequenas devem comer","It is important that parents have rules regarding the amount of food toddlers eat",NA,"agree",NA,5
"pedroso_2021_ifsq_restriction","pedroso_2021_ifsq_restriction_amount","RS4","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), restrictive style","Portuguese",NA,"Quantidade","Amount","É importante que os pais decidam a quantidade de comida que os bebês devem comer","It is important that parents decide the amount of food babies should eat",NA,"disagree",NA,1
"pedroso_2021_ifsq_restriction","pedroso_2021_ifsq_restriction_amount","RS4","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), restrictive style","Portuguese",NA,"Quantidade","Amount","É importante que os pais decidam a quantidade de comida que os bebês devem comer","It is important that parents decide the amount of food babies should eat",NA,"slightly disagree",NA,2
"pedroso_2021_ifsq_restriction","pedroso_2021_ifsq_restriction_amount","RS4","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), restrictive style","Portuguese",NA,"Quantidade","Amount","É importante que os pais decidam a quantidade de comida que os bebês devem comer","It is important that parents decide the amount of food babies should eat",NA,"neutral",NA,3
