"table","section_id","item","instrument","language","instructions","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP1","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","O/A (nome da criança) me mostra quando ele/ela está cheio (a)","My child lets me know when he/she is full",NA,"never",NA,1
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP1","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","O/A (nome da criança) me mostra quando ele/ela está cheio (a)","My child lets me know when he/she is full",NA,"seldom",NA,2
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP1","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","O/A (nome da criança) me mostra quando ele/ela está cheio (a)","My child lets me know when he/she is full",NA,"half of the time",NA,3
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP1","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","O/A (nome da criança) me mostra quando ele/ela está cheio (a)","My child lets me know when he/she is full",NA,"most of the time",NA,4
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP1","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","O/A (nome da criança) me mostra quando ele/ela está cheio (a)","My child lets me know when he/she is full",NA,"always",NA,5
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP2","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","O/A (nome da criança) me mostra quando ela/ele está com fome","My child lets me know when he/she is hungry",NA,"never",NA,1
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP2","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","O/A (nome da criança) me mostra quando ela/ele está com fome","My child lets me know when he/she is hungry",NA,"seldom",NA,2
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP2","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","O/A (nome da criança) me mostra quando ela/ele está com fome","My child lets me know when he/she is hungry",NA,"half of the time",NA,3
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP2","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","O/A (nome da criança) me mostra quando ela/ele está com fome","My child lets me know when he/she is hungry",NA,"most of the time",NA,4
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP2","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","O/A (nome da criança) me mostra quando ela/ele está com fome","My child lets me know when he/she is hungry",NA,"always",NA,5
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP3","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","Eu deixo o/a (nome da criança) decidir o quanto vai comer","I let (the child) decide the amount of food he/she is eating",NA,"never",NA,1
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP3","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","Eu deixo o/a (nome da criança) decidir o quanto vai comer","I let (the child) decide the amount of food he/she is eating",NA,"seldom",NA,2
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP3","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","Eu deixo o/a (nome da criança) decidir o quanto vai comer","I let (the child) decide the amount of food he/she is eating",NA,"half of the time",NA,3
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP3","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","Eu deixo o/a (nome da criança) decidir o quanto vai comer","I let (the child) decide the amount of food he/she is eating",NA,"most of the time",NA,4
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP3","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","Eu deixo o/a (nome da criança) decidir o quanto vai comer","I let (the child) decide the amount of food he/she is eating",NA,"always",NA,5
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP4","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","Eu presto atenção quando o/a (nome da criança) parece me dizer que ele/ela está cheio (a) ou com fome","I pay attention when (the child) seems to tell me that he/she is full or hungry",NA,"never",NA,1
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP4","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","Eu presto atenção quando o/a (nome da criança) parece me dizer que ele/ela está cheio (a) ou com fome","I pay attention when (the child) seems to tell me that he/she is full or hungry",NA,"seldom",NA,2
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP4","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","Eu presto atenção quando o/a (nome da criança) parece me dizer que ele/ela está cheio (a) ou com fome","I pay attention when (the child) seems to tell me that he/she is full or hungry",NA,"half of the time",NA,3
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP4","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","Eu presto atenção quando o/a (nome da criança) parece me dizer que ele/ela está cheio (a) ou com fome","I pay attention when (the child) seems to tell me that he/she is full or hungry",NA,"most of the time",NA,4
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP4","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","Eu presto atenção quando o/a (nome da criança) parece me dizer que ele/ela está cheio (a) ou com fome","I pay attention when (the child) seems to tell me that he/she is full or hungry",NA,"always",NA,5
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP5","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","Eu permito que o/a (nome da criança) coma quando ele/ela está com fome","I let (the child) eat when he/she is hungry",NA,"never",NA,1
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP5","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","Eu permito que o/a (nome da criança) coma quando ele/ela está com fome","I let (the child) eat when he/she is hungry",NA,"seldom",NA,2
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP5","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","Eu permito que o/a (nome da criança) coma quando ele/ela está com fome","I let (the child) eat when he/she is hungry",NA,"half of the time",NA,3
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP5","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","Eu permito que o/a (nome da criança) coma quando ele/ela está com fome","I let (the child) eat when he/she is hungry",NA,"most of the time",NA,4
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP5","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","Eu permito que o/a (nome da criança) coma quando ele/ela está com fome","I let (the child) eat when he/she is hungry",NA,"always",NA,5
"pedroso_2021_ifsq_responsiveness","pedroso_2021_ifsq_responsiveness_satiety","RP6","Infant Feeding Style Questionnaire - Brazilian Portuguese version (IFSQ-Br), responsive style","Portuguese",NA,"Saciedade","Satiety","As crianças sabem quando elas estão cheias","Children know when they are full",NA,"disagree",NA,1
