"table","status","n_items_live","n_items_candidate","item_set_match","resp_set_match","uses_raw_resp","canonical_nulls","pct_item_text_missing","pct_option_text_missing","note"
"algner2022_uwes","PASS",9,9,TRUE,TRUE,FALSE,TRUE,0,0,""
"ali_2021_gad7","PASS",7,7,TRUE,TRUE,FALSE,TRUE,0,0,""
"ali_2021_iesr","PASS",22,22,TRUE,TRUE,FALSE,TRUE,0,0,""
"ali_2021_isi","WARN",7,7,TRUE,TRUE,FALSE,TRUE,0,0,"row-count anomaly (possible item-code conflation or missingness skew), median=167: isi_1, isi_2, isi_3"
"ali_2021_spfi","PASS",16,16,TRUE,TRUE,FALSE,TRUE,0,0,""
"alkouri_2025_coping","PASS",19,19,TRUE,TRUE,FALSE,TRUE,0,78.3,"78.3% of rows have blank option_text"
"alkouri_2025_icu_stressors","PASS",29,29,TRUE,TRUE,FALSE,TRUE,0,84.8,"84.8% of rows have blank option_text"
"allen_2025_delaydiscount","PASS",27,27,TRUE,TRUE,FALSE,TRUE,0,0,""
"almuqbil_2022_epds","PASS",10,10,TRUE,TRUE,FALSE,TRUE,0,0,""
"alomari_2025_student_questionnaire","PASS",15,15,TRUE,TRUE,FALSE,TRUE,0,0,""
