"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"spain_2018_housing_problems","spain_2018_housing_problems_1","P4_1","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.4: importancia de problemas en la zona de la vivienda","Spanish","Quisiera que me dijera si Ud. considera que en esta zona en la que está ubicada su vivienda es un problema muy importante, bastante importante, poco o nada importante…","I would like you to tell me whether you consider that, in this area where your dwelling is located, it is a very important, quite important, not very important or not at all important problem…",NA,"Los precios de venta de las viviendas","House sale prices",NA,"Muy importante","Very important",1
"spain_2018_housing_problems","spain_2018_housing_problems_1","P4_1","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.4: importancia de problemas en la zona de la vivienda","Spanish","Quisiera que me dijera si Ud. considera que en esta zona en la que está ubicada su vivienda es un problema muy importante, bastante importante, poco o nada importante…","I would like you to tell me whether you consider that, in this area where your dwelling is located, it is a very important, quite important, not very important or not at all important problem…",NA,"Los precios de venta de las viviendas","House sale prices",NA,"Bastante importante","Quite important",2
"spain_2018_housing_problems","spain_2018_housing_problems_1","P4_1","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.4: importancia de problemas en la zona de la vivienda","Spanish","Quisiera que me dijera si Ud. considera que en esta zona en la que está ubicada su vivienda es un problema muy importante, bastante importante, poco o nada importante…","I would like you to tell me whether you consider that, in this area where your dwelling is located, it is a very important, quite important, not very important or not at all important problem…",NA,"Los precios de venta de las viviendas","House sale prices",NA,"Poco importante","Not very important",3
"spain_2018_housing_problems","spain_2018_housing_problems_1","P4_1","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.4: importancia de problemas en la zona de la vivienda","Spanish","Quisiera que me dijera si Ud. considera que en esta zona en la que está ubicada su vivienda es un problema muy importante, bastante importante, poco o nada importante…","I would like you to tell me whether you consider that, in this area where your dwelling is located, it is a very important, quite important, not very important or not at all important problem…",NA,"Los precios de venta de las viviendas","House sale prices",NA,"Nada importante","Not at all important",4
"spain_2018_housing_problems","spain_2018_housing_problems_1","P4_2","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.4: importancia de problemas en la zona de la vivienda","Spanish","Quisiera que me dijera si Ud. considera que en esta zona en la que está ubicada su vivienda es un problema muy importante, bastante importante, poco o nada importante…","I would like you to tell me whether you consider that, in this area where your dwelling is located, it is a very important, quite important, not very important or not at all important problem…",NA,"Los precios de los alquileres de las viviendas","Housing rental prices",NA,"Muy importante","Very important",1
"spain_2018_housing_problems","spain_2018_housing_problems_1","P4_2","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.4: importancia de problemas en la zona de la vivienda","Spanish","Quisiera que me dijera si Ud. considera que en esta zona en la que está ubicada su vivienda es un problema muy importante, bastante importante, poco o nada importante…","I would like you to tell me whether you consider that, in this area where your dwelling is located, it is a very important, quite important, not very important or not at all important problem…",NA,"Los precios de los alquileres de las viviendas","Housing rental prices",NA,"Bastante importante","Quite important",2
"spain_2018_housing_problems","spain_2018_housing_problems_1","P4_2","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.4: importancia de problemas en la zona de la vivienda","Spanish","Quisiera que me dijera si Ud. considera que en esta zona en la que está ubicada su vivienda es un problema muy importante, bastante importante, poco o nada importante…","I would like you to tell me whether you consider that, in this area where your dwelling is located, it is a very important, quite important, not very important or not at all important problem…",NA,"Los precios de los alquileres de las viviendas","Housing rental prices",NA,"Poco importante","Not very important",3
"spain_2018_housing_problems","spain_2018_housing_problems_1","P4_2","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.4: importancia de problemas en la zona de la vivienda","Spanish","Quisiera que me dijera si Ud. considera que en esta zona en la que está ubicada su vivienda es un problema muy importante, bastante importante, poco o nada importante…","I would like you to tell me whether you consider that, in this area where your dwelling is located, it is a very important, quite important, not very important or not at all important problem…",NA,"Los precios de los alquileres de las viviendas","Housing rental prices",NA,"Nada importante","Not at all important",4
"spain_2018_housing_problems","spain_2018_housing_problems_1","P4_3","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.4: importancia de problemas en la zona de la vivienda","Spanish","Quisiera que me dijera si Ud. considera que en esta zona en la que está ubicada su vivienda es un problema muy importante, bastante importante, poco o nada importante…","I would like you to tell me whether you consider that, in this area where your dwelling is located, it is a very important, quite important, not very important or not at all important problem…",NA,"La seguridad de la zona","The safety of the area",NA,"Muy importante","Very important",1
"spain_2018_housing_problems","spain_2018_housing_problems_1","P4_3","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.4: importancia de problemas en la zona de la vivienda","Spanish","Quisiera que me dijera si Ud. considera que en esta zona en la que está ubicada su vivienda es un problema muy importante, bastante importante, poco o nada importante…","I would like you to tell me whether you consider that, in this area where your dwelling is located, it is a very important, quite important, not very important or not at all important problem…",NA,"La seguridad de la zona","The safety of the area",NA,"Bastante importante","Quite important",2
