"table","instrument","language","instructions","instructions_translated","section_id","section_prompt","section_prompt_translated","item","item_text","item_text_translated","correct_response","resp","option_text"
"lee_2025_nursing_exam","2023 Women's Health Nursing final examination, 4th-year first semester, Korean baccalaureate nursing programme","Korean","반드시, 시험지에 학번과 이름 기록해서 답지와 함께 제출해주세요. 시험 배점: 객관식 50문항 50점 = 총 50점 만점","Be sure to write your student number and name on the examination paper and hand it in together with the answer sheet. Scoring: 50 objective items, 50 points = 50 points in total.","lee_2025_nursing_exam_mcq","다음에 답은 OMR 카드에 적어주세요(1~39번, 각 1점씩).","Write the answers to the following on the OMR card (nos. 1-39, 1 point each).","item_01","규칙적 월경을 하던 18세 여자가 3개월 동안 무월경일 때 우선적으로 시행할 검사는?
① 황체호르몬 검사
② 난포자극호르몬 검사
③ 에스트로겐 부하 검사
④ 프로게스테론 부하 검사
⑤ 융모생식샘자극호르몬 검사","For an 18-year-old woman with previously regular menstruation who has had amenorrhea for 3 months, which test should be performed first?
① Progesterone test
② Follicle-stimulating hormone test
③ Estrogen challenge test
④ Progesterone challenge test
⑤ Human chorionic gonadotropin test",5,0,"Incorrect"
"lee_2025_nursing_exam","2023 Women's Health Nursing final examination, 4th-year first semester, Korean baccalaureate nursing programme","Korean","반드시, 시험지에 학번과 이름 기록해서 답지와 함께 제출해주세요. 시험 배점: 객관식 50문항 50점 = 총 50점 만점","Be sure to write your student number and name on the examination paper and hand it in together with the answer sheet. Scoring: 50 objective items, 50 points = 50 points in total.","lee_2025_nursing_exam_mcq","다음에 답은 OMR 카드에 적어주세요(1~39번, 각 1점씩).","Write the answers to the following on the OMR card (nos. 1-39, 1 point each).","item_01","규칙적 월경을 하던 18세 여자가 3개월 동안 무월경일 때 우선적으로 시행할 검사는?
① 황체호르몬 검사
② 난포자극호르몬 검사
③ 에스트로겐 부하 검사
④ 프로게스테론 부하 검사
⑤ 융모생식샘자극호르몬 검사","For an 18-year-old woman with previously regular menstruation who has had amenorrhea for 3 months, which test should be performed first?
① Progesterone test
② Follicle-stimulating hormone test
③ Estrogen challenge test
④ Progesterone challenge test
⑤ Human chorionic gonadotropin test",5,1,"Correct"
"lee_2025_nursing_exam","2023 Women's Health Nursing final examination, 4th-year first semester, Korean baccalaureate nursing programme","Korean","반드시, 시험지에 학번과 이름 기록해서 답지와 함께 제출해주세요. 시험 배점: 객관식 50문항 50점 = 총 50점 만점","Be sure to write your student number and name on the examination paper and hand it in together with the answer sheet. Scoring: 50 objective items, 50 points = 50 points in total.","lee_2025_nursing_exam_mcq","다음에 답은 OMR 카드에 적어주세요(1~39번, 각 1점씩).","Write the answers to the following on the OMR card (nos. 1-39, 1 point each).","item_02","8개월 전에 초경을 시작한 14세 여자가 월경 시작 후 1~2일 동안 심한 월경통으로 일상생활이 힘들다고 한다. 검진결과에서 특이한 병리 소견이 없을 때 월경통의 주요 원인은?
① 무배란월경주기
② 티록신 과다 분비
③ 프로게스테론 과다 분비
④ 옥시토신 과다 분비
⑤ 자궁내막의 프로스타글란딘 과다 생성","A 14-year-old girl who had menarche 8 months ago says that severe dysmenorrhea for 1-2 days after the onset of menstruation makes daily life difficult. When the examination shows no specific pathological findings, what is the main cause of the dysmenorrhea?
① Anovulatory menstrual cycle
② Excessive thyroxine secretion
③ Excessive progesterone secretion
④ Excessive oxytocin secretion
⑤ Excessive prostaglandin production in the endometrium",5,0,"Incorrect"
"lee_2025_nursing_exam","2023 Women's Health Nursing final examination, 4th-year first semester, Korean baccalaureate nursing programme","Korean","반드시, 시험지에 학번과 이름 기록해서 답지와 함께 제출해주세요. 시험 배점: 객관식 50문항 50점 = 총 50점 만점","Be sure to write your student number and name on the examination paper and hand it in together with the answer sheet. Scoring: 50 objective items, 50 points = 50 points in total.","lee_2025_nursing_exam_mcq","다음에 답은 OMR 카드에 적어주세요(1~39번, 각 1점씩).","Write the answers to the following on the OMR card (nos. 1-39, 1 point each).","item_02","8개월 전에 초경을 시작한 14세 여자가 월경 시작 후 1~2일 동안 심한 월경통으로 일상생활이 힘들다고 한다. 검진결과에서 특이한 병리 소견이 없을 때 월경통의 주요 원인은?
① 무배란월경주기
② 티록신 과다 분비
③ 프로게스테론 과다 분비
④ 옥시토신 과다 분비
⑤ 자궁내막의 프로스타글란딘 과다 생성","A 14-year-old girl who had menarche 8 months ago says that severe dysmenorrhea for 1-2 days after the onset of menstruation makes daily life difficult. When the examination shows no specific pathological findings, what is the main cause of the dysmenorrhea?
① Anovulatory menstrual cycle
② Excessive thyroxine secretion
③ Excessive progesterone secretion
④ Excessive oxytocin secretion
⑤ Excessive prostaglandin production in the endometrium",5,1,"Correct"
"lee_2025_nursing_exam","2023 Women's Health Nursing final examination, 4th-year first semester, Korean baccalaureate nursing programme","Korean","반드시, 시험지에 학번과 이름 기록해서 답지와 함께 제출해주세요. 시험 배점: 객관식 50문항 50점 = 총 50점 만점","Be sure to write your student number and name on the examination paper and hand it in together with the answer sheet. Scoring: 50 objective items, 50 points = 50 points in total.","lee_2025_nursing_exam_mcq","다음에 답은 OMR 카드에 적어주세요(1~39번, 각 1점씩).","Write the answers to the following on the OMR card (nos. 1-39, 1 point each).","item_03","여고생이 월경전증후군증상을 호소하며 보건실에 왔을 때 완화를 위한 적절한 교육은?
① “비타민 B 복합제를 복용하도록 한다.”
② “증상이 심하면 호르몬 요법이 필요할 수 있습니다.”
③ “복숭아와 수박 같은 수분이 많은 과일 섭취를 줄이세요.”
④ “월경이 끝나면 바로 증상이 없어지니 걱정하지 마세요.”
⑤ “병원을 방문해서 정확한 원인을 확인하는 것이 필요합니다.”","A high-school girl comes to the health room complaining of premenstrual syndrome symptoms. What is appropriate teaching to relieve them?
① “Take a vitamin B complex supplement.”
② “If the symptoms are severe, hormone therapy may be needed.”
③ “Reduce your intake of watery fruits such as peaches and watermelon.”
④ “Don’t worry, the symptoms disappear as soon as menstruation ends.”
⑤ “You need to visit a hospital to confirm the exact cause.”",1,0,"Incorrect"
"lee_2025_nursing_exam","2023 Women's Health Nursing final examination, 4th-year first semester, Korean baccalaureate nursing programme","Korean","반드시, 시험지에 학번과 이름 기록해서 답지와 함께 제출해주세요. 시험 배점: 객관식 50문항 50점 = 총 50점 만점","Be sure to write your student number and name on the examination paper and hand it in together with the answer sheet. Scoring: 50 objective items, 50 points = 50 points in total.","lee_2025_nursing_exam_mcq","다음에 답은 OMR 카드에 적어주세요(1~39번, 각 1점씩).","Write the answers to the following on the OMR card (nos. 1-39, 1 point each).","item_03","여고생이 월경전증후군증상을 호소하며 보건실에 왔을 때 완화를 위한 적절한 교육은?
① “비타민 B 복합제를 복용하도록 한다.”
② “증상이 심하면 호르몬 요법이 필요할 수 있습니다.”
③ “복숭아와 수박 같은 수분이 많은 과일 섭취를 줄이세요.”
④ “월경이 끝나면 바로 증상이 없어지니 걱정하지 마세요.”
⑤ “병원을 방문해서 정확한 원인을 확인하는 것이 필요합니다.”","A high-school girl comes to the health room complaining of premenstrual syndrome symptoms. What is appropriate teaching to relieve them?
① “Take a vitamin B complex supplement.”
② “If the symptoms are severe, hormone therapy may be needed.”
③ “Reduce your intake of watery fruits such as peaches and watermelon.”
④ “Don’t worry, the symptoms disappear as soon as menstruation ends.”
⑤ “You need to visit a hospital to confirm the exact cause.”",1,1,"Correct"
"lee_2025_nursing_exam","2023 Women's Health Nursing final examination, 4th-year first semester, Korean baccalaureate nursing programme","Korean","반드시, 시험지에 학번과 이름 기록해서 답지와 함께 제출해주세요. 시험 배점: 객관식 50문항 50점 = 총 50점 만점","Be sure to write your student number and name on the examination paper and hand it in together with the answer sheet. Scoring: 50 objective items, 50 points = 50 points in total.","lee_2025_nursing_exam_mcq","다음에 답은 OMR 카드에 적어주세요(1~39번, 각 1점씩).","Write the answers to the following on the OMR card (nos. 1-39, 1 point each).","item_04","기능(부전)성 자궁출혈의 가장 흔한 원인은?
① 임신관련 질환
② 갑상선 기능장애
③ 무배란성 자궁출혈
④ 황체화호르몬의 상승
⑤ 자궁의 기질적 병변","What is the most common cause of dysfunctional uterine bleeding?
① Pregnancy-related disorders
② Thyroid dysfunction
③ Anovulatory uterine bleeding
④ Elevated luteinizing hormone
⑤ Organic lesions of the uterus",3,0,"Incorrect"
"lee_2025_nursing_exam","2023 Women's Health Nursing final examination, 4th-year first semester, Korean baccalaureate nursing programme","Korean","반드시, 시험지에 학번과 이름 기록해서 답지와 함께 제출해주세요. 시험 배점: 객관식 50문항 50점 = 총 50점 만점","Be sure to write your student number and name on the examination paper and hand it in together with the answer sheet. Scoring: 50 objective items, 50 points = 50 points in total.","lee_2025_nursing_exam_mcq","다음에 답은 OMR 카드에 적어주세요(1~39번, 각 1점씩).","Write the answers to the following on the OMR card (nos. 1-39, 1 point each).","item_04","기능(부전)성 자궁출혈의 가장 흔한 원인은?
① 임신관련 질환
② 갑상선 기능장애
③ 무배란성 자궁출혈
④ 황체화호르몬의 상승
⑤ 자궁의 기질적 병변","What is the most common cause of dysfunctional uterine bleeding?
① Pregnancy-related disorders
② Thyroid dysfunction
③ Anovulatory uterine bleeding
④ Elevated luteinizing hormone
⑤ Organic lesions of the uterus",3,1,"Correct"
"lee_2025_nursing_exam","2023 Women's Health Nursing final examination, 4th-year first semester, Korean baccalaureate nursing programme","Korean","반드시, 시험지에 학번과 이름 기록해서 답지와 함께 제출해주세요. 시험 배점: 객관식 50문항 50점 = 총 50점 만점","Be sure to write your student number and name on the examination paper and hand it in together with the answer sheet. Scoring: 50 objective items, 50 points = 50 points in total.","lee_2025_nursing_exam_mcq","다음에 답은 OMR 카드에 적어주세요(1~39번, 각 1점씩).","Write the answers to the following on the OMR card (nos. 1-39, 1 point each).","item_05","53세 여성이 갱년기로 불규칙한 월경주기와 심한 열감과 홍조등 신체 변화들을 걱정할 때 간호사의 적절한 설명은?
① 에스트론 수치가 급상승하면서 월경 주기가 짧아질 수 있습니다.
② 이런 증상은 황체화호르몬 소실의 가속화로 나타납니다.
③ 배란이 안 되므로 피임 없이 성생활을 할 수 있습니다.
④ 난포자극호르몬의 혈중 농도가 높아진 상태입니다.
⑤ 고밀도지질단백질이 증가될 수 있습니다.","A 53-year-old woman is worried about bodily changes such as an irregular menstrual cycle and severe hot flashes and flushing during the menopausal transition. What is an appropriate explanation by the nurse?
① Estrone levels rise sharply and the menstrual cycle may shorten.
② These symptoms appear because of accelerated loss of luteinizing hormone.
③ Because ovulation does not occur, you can have sexual relations without contraception.
④ The blood concentration of follicle-stimulating hormone is elevated.
⑤ High-density lipoprotein may increase.",4,0,"Incorrect"
"lee_2025_nursing_exam","2023 Women's Health Nursing final examination, 4th-year first semester, Korean baccalaureate nursing programme","Korean","반드시, 시험지에 학번과 이름 기록해서 답지와 함께 제출해주세요. 시험 배점: 객관식 50문항 50점 = 총 50점 만점","Be sure to write your student number and name on the examination paper and hand it in together with the answer sheet. Scoring: 50 objective items, 50 points = 50 points in total.","lee_2025_nursing_exam_mcq","다음에 답은 OMR 카드에 적어주세요(1~39번, 각 1점씩).","Write the answers to the following on the OMR card (nos. 1-39, 1 point each).","item_05","53세 여성이 갱년기로 불규칙한 월경주기와 심한 열감과 홍조등 신체 변화들을 걱정할 때 간호사의 적절한 설명은?
① 에스트론 수치가 급상승하면서 월경 주기가 짧아질 수 있습니다.
② 이런 증상은 황체화호르몬 소실의 가속화로 나타납니다.
③ 배란이 안 되므로 피임 없이 성생활을 할 수 있습니다.
④ 난포자극호르몬의 혈중 농도가 높아진 상태입니다.
⑤ 고밀도지질단백질이 증가될 수 있습니다.","A 53-year-old woman is worried about bodily changes such as an irregular menstrual cycle and severe hot flashes and flushing during the menopausal transition. What is an appropriate explanation by the nurse?
① Estrone levels rise sharply and the menstrual cycle may shorten.
② These symptoms appear because of accelerated loss of luteinizing hormone.
③ Because ovulation does not occur, you can have sexual relations without contraception.
④ The blood concentration of follicle-stimulating hormone is elevated.
⑤ High-density lipoprotein may increase.",4,1,"Correct"
