"table","instrument","language","instructions","instructions_translated","section_id","section_prompt","section_prompt_translated","item","item_text","item_text_translated","correct_response","resp","option_text","option_text_translated"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ1","Porque los demás me dicen que debo hacerlo","I exercise because other people say I should",NA,1,"Nada verdadero","Not true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ1","Porque los demás me dicen que debo hacerlo","I exercise because other people say I should",NA,2,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ1","Porque los demás me dicen que debo hacerlo","I exercise because other people say I should",NA,3,NA,"Sometimes true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ1","Porque los demás me dicen que debo hacerlo","I exercise because other people say I should",NA,4,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ1","Porque los demás me dicen que debo hacerlo","I exercise because other people say I should",NA,5,"Totalmente verdadero","Very true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ2","Porque me siento culpable cuando no lo practico","I feel guilty when I don’t exercise",NA,1,"Nada verdadero","Not true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ2","Porque me siento culpable cuando no lo practico","I feel guilty when I don’t exercise",NA,2,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ2","Porque me siento culpable cuando no lo practico","I feel guilty when I don’t exercise",NA,3,NA,"Sometimes true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ2","Porque me siento culpable cuando no lo practico","I feel guilty when I don’t exercise",NA,4,NA,NA
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ2","Porque me siento culpable cuando no lo practico","I feel guilty when I don’t exercise",NA,5,"Totalmente verdadero","Very true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ3","Porque valoro los beneficios que tiene el ejercicio físico","I value the benefits of exercise",NA,1,"Nada verdadero","Not true for me"
"leon_guereno_2020_breq","Cuestionario de Regulación de la Conducta en el Ejercicio (BREQ-3), Spanish 23-item version (González-Cutre, Sicilia y Fernández, 2010)","Spanish","Yo hago ejercicio físico...","I exercise...","leon_guereno_2020_breq_1",NA,NA,"BREQ3","Porque valoro los beneficios que tiene el ejercicio físico","I value the benefits of exercise",NA,2,NA,NA
