"table","section_id","item","instrument","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp","language"
"dalichaouche_2026_covid_practices","dalichaouche_2026_covid_practices_1","P1","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: IV - Practices",NA,NA,"What would you do if you had fever and a dry cough?",NA,NA,"Je continue mes activités le plus normalement","Continue daily activities as usual",0,"French"
"dalichaouche_2026_covid_practices","dalichaouche_2026_covid_practices_1","P1","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: IV - Practices",NA,NA,"What would you do if you had fever and a dry cough?",NA,NA,"Je panique et je ne sais pas quoi faire","Panic and not know what to do",1,"French"
"dalichaouche_2026_covid_practices","dalichaouche_2026_covid_practices_1","P1","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: IV - Practices",NA,NA,"What would you do if you had fever and a dry cough?",NA,NA,"Restez à la maison et porter un masque ou allez à l' hôpital pour un traitement","Stay home, wear a mask, or go to hospital for treatment",2,"French"
"dalichaouche_2026_covid_practices","dalichaouche_2026_covid_practices_1","P2","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: IV - Practices",NA,NA,"What would you do if you had close contact with confirmed cases?",NA,NA,"Je continue mes activités le plus normalement","Continue daily activities as usual",0,"French"
"dalichaouche_2026_covid_practices","dalichaouche_2026_covid_practices_1","P2","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: IV - Practices",NA,NA,"What would you do if you had close contact with confirmed cases?",NA,NA,"Je panique et je ne sais pas quoi faire","Panic and not know what to do",1,"French"
"dalichaouche_2026_covid_practices","dalichaouche_2026_covid_practices_1","P2","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: IV - Practices",NA,NA,"What would you do if you had close contact with confirmed cases?",NA,NA,"Avertir mon entourage et rester à la maison en quarantaine au besoin","Inform people around me and stay at home in quarantine if necessary",2,"French"
"dalichaouche_2026_covid_practices","dalichaouche_2026_covid_practices_1","P3","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: IV - Practices",NA,NA,"As a student, did you participate in informing and educating your surroundings on COVID-19 prevention measures?",NA,NA,"Non, pas du tout","Not at all",0,"French"
"dalichaouche_2026_covid_practices","dalichaouche_2026_covid_practices_1","P3","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: IV - Practices",NA,NA,"As a student, did you participate in informing and educating your surroundings on COVID-19 prevention measures?",NA,NA,"Rarement","Rarely",1,"French"
"dalichaouche_2026_covid_practices","dalichaouche_2026_covid_practices_1","P3","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: IV - Practices",NA,NA,"As a student, did you participate in informing and educating your surroundings on COVID-19 prevention measures?",NA,NA,"Oui très souvent","Very often",2,"French"
"dalichaouche_2026_covid_practices","dalichaouche_2026_covid_practices_1","P4","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: IV - Practices",NA,NA,"Do you wear a mask when going outside your home?",NA,NA,"Non, pas du tout","Not at all",0,"French"
"dalichaouche_2026_covid_practices","dalichaouche_2026_covid_practices_1","P4","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: IV - Practices",NA,NA,"Do you wear a mask when going outside your home?",NA,NA,"Rarement , s'il est exigé","Rarely, only when required",1,"French"
"dalichaouche_2026_covid_practices","dalichaouche_2026_covid_practices_1","P4","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: IV - Practices",NA,NA,"Do you wear a mask when going outside your home?",NA,NA,"Oui très souvent","Very often",2,"French"
"dalichaouche_2026_covid_practices","dalichaouche_2026_covid_practices_1","P5","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: IV - Practices",NA,NA,"Do you wash your hands with soap outside your home?",NA,NA,"Non, pas du tout","Not at all",0,"French"
"dalichaouche_2026_covid_practices","dalichaouche_2026_covid_practices_1","P5","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: IV - Practices",NA,NA,"Do you wash your hands with soap outside your home?",NA,NA,"Rarement","Rarely",1,"French"
"dalichaouche_2026_covid_practices","dalichaouche_2026_covid_practices_1","P5","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: IV - Practices",NA,NA,"Do you wash your hands with soap outside your home?",NA,NA,"Oui très souvent","Very often",2,"French"
"dalichaouche_2026_covid_practices","dalichaouche_2026_covid_practices_1","P6","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: IV - Practices",NA,NA,"Do you respect social distancing?",NA,NA,"Non , pas du tout","Not at all",0,"French"
"dalichaouche_2026_covid_practices","dalichaouche_2026_covid_practices_1","P6","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: IV - Practices",NA,NA,"Do you respect social distancing?",NA,NA,"Rarement","Rarely",1,"French"
"dalichaouche_2026_covid_practices","dalichaouche_2026_covid_practices_1","P6","KAP Survey (Knowledge-Attitudes-Practices) regarding COVID-19 among Students: IV - Practices",NA,NA,"Do you respect social distancing?",NA,NA,"Oui très souvent","Very often",2,"French"
