"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"li_2025_socmedia_revisit","li_2025_socmedia_revisit_1","RV1","Revisit intention scale (Nazarian et al., 2024)","Chinese",NA,NA,"我认为，社交媒体是我进行体育旅行的首选","I believe that social media is my first choice for sports tourism.",NA,"非常不赞同","Strongly disagree",1
"li_2025_socmedia_revisit","li_2025_socmedia_revisit_1","RV1","Revisit intention scale (Nazarian et al., 2024)","Chinese",NA,NA,"我认为，社交媒体是我进行体育旅行的首选","I believe that social media is my first choice for sports tourism.",NA,"不赞同","Disagree",2
"li_2025_socmedia_revisit","li_2025_socmedia_revisit_1","RV1","Revisit intention scale (Nazarian et al., 2024)","Chinese",NA,NA,"我认为，社交媒体是我进行体育旅行的首选","I believe that social media is my first choice for sports tourism.",NA,"中立","Neutral",3
"li_2025_socmedia_revisit","li_2025_socmedia_revisit_1","RV1","Revisit intention scale (Nazarian et al., 2024)","Chinese",NA,NA,"我认为，社交媒体是我进行体育旅行的首选","I believe that social media is my first choice for sports tourism.",NA,"赞同","Agree",4
"li_2025_socmedia_revisit","li_2025_socmedia_revisit_1","RV1","Revisit intention scale (Nazarian et al., 2024)","Chinese",NA,NA,"我认为，社交媒体是我进行体育旅行的首选","I believe that social media is my first choice for sports tourism.",NA,"非常赞同","Strongly agree",5
"li_2025_socmedia_revisit","li_2025_socmedia_revisit_1","RV2","Revisit intention scale (Nazarian et al., 2024)","Chinese",NA,NA,"下次体育旅行时，我还会使用社交媒体","I will use social media again on my next sports tourism trip.",NA,"非常不赞同","Strongly disagree",1
"li_2025_socmedia_revisit","li_2025_socmedia_revisit_1","RV2","Revisit intention scale (Nazarian et al., 2024)","Chinese",NA,NA,"下次体育旅行时，我还会使用社交媒体","I will use social media again on my next sports tourism trip.",NA,"不赞同","Disagree",2
"li_2025_socmedia_revisit","li_2025_socmedia_revisit_1","RV2","Revisit intention scale (Nazarian et al., 2024)","Chinese",NA,NA,"下次体育旅行时，我还会使用社交媒体","I will use social media again on my next sports tourism trip.",NA,"中立","Neutral",3
"li_2025_socmedia_revisit","li_2025_socmedia_revisit_1","RV2","Revisit intention scale (Nazarian et al., 2024)","Chinese",NA,NA,"下次体育旅行时，我还会使用社交媒体","I will use social media again on my next sports tourism trip.",NA,"赞同","Agree",4
"li_2025_socmedia_revisit","li_2025_socmedia_revisit_1","RV2","Revisit intention scale (Nazarian et al., 2024)","Chinese",NA,NA,"下次体育旅行时，我还会使用社交媒体","I will use social media again on my next sports tourism trip.",NA,"非常赞同","Strongly agree",5
"li_2025_socmedia_revisit","li_2025_socmedia_revisit_1","RV3","Revisit intention scale (Nazarian et al., 2024)","Chinese",NA,NA,"在将来一段时间内，我将持续使用社交媒体进行体育旅游","I will continue to use social media for sports tourism in the foreseeable future.",NA,"非常不赞同","Strongly disagree",1
"li_2025_socmedia_revisit","li_2025_socmedia_revisit_1","RV3","Revisit intention scale (Nazarian et al., 2024)","Chinese",NA,NA,"在将来一段时间内，我将持续使用社交媒体进行体育旅游","I will continue to use social media for sports tourism in the foreseeable future.",NA,"不赞同","Disagree",2
"li_2025_socmedia_revisit","li_2025_socmedia_revisit_1","RV3","Revisit intention scale (Nazarian et al., 2024)","Chinese",NA,NA,"在将来一段时间内，我将持续使用社交媒体进行体育旅游","I will continue to use social media for sports tourism in the foreseeable future.",NA,"中立","Neutral",3
"li_2025_socmedia_revisit","li_2025_socmedia_revisit_1","RV3","Revisit intention scale (Nazarian et al., 2024)","Chinese",NA,NA,"在将来一段时间内，我将持续使用社交媒体进行体育旅游","I will continue to use social media for sports tourism in the foreseeable future.",NA,"赞同","Agree",4
"li_2025_socmedia_revisit","li_2025_socmedia_revisit_1","RV3","Revisit intention scale (Nazarian et al., 2024)","Chinese",NA,NA,"在将来一段时间内，我将持续使用社交媒体进行体育旅游","I will continue to use social media for sports tourism in the foreseeable future.",NA,"非常赞同","Strongly agree",5
