"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","resp","option_text"
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD1","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"Siempre quiero más","I always want more",NA,1,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD1","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"Siempre quiero más","I always want more",NA,2,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD1","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"Siempre quiero más","I always want more",NA,3,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD1","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"Siempre quiero más","I always want more",NA,4,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD1","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"Siempre quiero más","I always want more",NA,5,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD2","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"En realidad, soy un poco codicioso/a","Actually, I’m kind of greedy",NA,1,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD2","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"En realidad, soy un poco codicioso/a","Actually, I’m kind of greedy",NA,2,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD2","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"En realidad, soy un poco codicioso/a","Actually, I’m kind of greedy",NA,3,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD2","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"En realidad, soy un poco codicioso/a","Actually, I’m kind of greedy",NA,4,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD2","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"En realidad, soy un poco codicioso/a","Actually, I’m kind of greedy",NA,5,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD3","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"Uno siempre quiere más dinero","One always wants more money",NA,1,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD3","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"Uno siempre quiere más dinero","One always wants more money",NA,2,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD3","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"Uno siempre quiere más dinero","One always wants more money",NA,3,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD3","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"Uno siempre quiere más dinero","One always wants more money",NA,4,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD3","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"Uno siempre quiere más dinero","One always wants more money",NA,5,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD4","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"Tan pronto haya adquirido algo, empiezo a pensar en lo siguiente que quiero","As soon as I have acquired something. I start to think about the next thing I want",NA,1,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD4","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"Tan pronto haya adquirido algo, empiezo a pensar en lo siguiente que quiero","As soon as I have acquired something. I start to think about the next thing I want",NA,2,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD4","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"Tan pronto haya adquirido algo, empiezo a pensar en lo siguiente que quiero","As soon as I have acquired something. I start to think about the next thing I want",NA,3,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD4","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"Tan pronto haya adquirido algo, empiezo a pensar en lo siguiente que quiero","As soon as I have acquired something. I start to think about the next thing I want",NA,4,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD4","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"Tan pronto haya adquirido algo, empiezo a pensar en lo siguiente que quiero","As soon as I have acquired something. I start to think about the next thing I want",NA,5,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD5","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"No importa cuánto tengo, nunca estoy completamente satisfecho/a","It doesn’t matter how much I have. I’m never completely satisfied",NA,1,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD5","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"No importa cuánto tengo, nunca estoy completamente satisfecho/a","It doesn’t matter how much I have. I’m never completely satisfied",NA,2,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD5","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"No importa cuánto tengo, nunca estoy completamente satisfecho/a","It doesn’t matter how much I have. I’m never completely satisfied",NA,3,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD5","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"No importa cuánto tengo, nunca estoy completamente satisfecho/a","It doesn’t matter how much I have. I’m never completely satisfied",NA,4,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD5","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"No importa cuánto tengo, nunca estoy completamente satisfecho/a","It doesn’t matter how much I have. I’m never completely satisfied",NA,5,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD6","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"Mi lema de vida es “más es mejor”","My life motto is “more is better”",NA,1,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD6","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"Mi lema de vida es “más es mejor”","My life motto is “more is better”",NA,2,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD6","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"Mi lema de vida es “más es mejor”","My life motto is “more is better”",NA,3,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD6","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"Mi lema de vida es “más es mejor”","My life motto is “more is better”",NA,4,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD6","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"Mi lema de vida es “más es mejor”","My life motto is “more is better”",NA,5,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD7","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"No me puedo imaginar tener pocas cosas","I can’t imagine having few things",NA,1,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD7","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"No me puedo imaginar tener pocas cosas","I can’t imagine having few things",NA,2,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD7","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"No me puedo imaginar tener pocas cosas","I can’t imagine having few things",NA,3,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD7","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"No me puedo imaginar tener pocas cosas","I can’t imagine having few things",NA,4,NA
"aiquipa_2026_dgs","aiquipa_2026_dgs_1","COD7","Dispositional Greed Scale (DGS), Peruvian adapted version","Spanish",NA,NA,"No me puedo imaginar tener pocas cosas","I can’t imagine having few things",NA,5,NA
