"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","item_text_translated","option_text_translated","instructions_translated","section_prompt_translated","language"
"karajko2025_ai_governance","karajko2025_ai_governance_1","p12_1","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P12, koraci za povećanje povjerenja u VI",NA,"P12. Koliko su Vam važni sljedeći koraci za povećanje povjerenja u VI? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Skup zakona koje provodi nacionalna vlast i garantuje etičke standarde i društvenu odgovornost u primjeni VI.",NA,"Uopšte nije važno",1,NA,NA,NA,NA,"Bosnian/Croatian"
"karajko2025_ai_governance","karajko2025_ai_governance_1","p12_1","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P12, koraci za povećanje povjerenja u VI",NA,"P12. Koliko su Vam važni sljedeći koraci za povećanje povjerenja u VI? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Skup zakona koje provodi nacionalna vlast i garantuje etičke standarde i društvenu odgovornost u primjeni VI.",NA,"Malo važno",2,NA,NA,NA,NA,"Bosnian/Croatian"
"karajko2025_ai_governance","karajko2025_ai_governance_1","p12_1","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P12, koraci za povećanje povjerenja u VI",NA,"P12. Koliko su Vam važni sljedeći koraci za povećanje povjerenja u VI? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Skup zakona koje provodi nacionalna vlast i garantuje etičke standarde i društvenu odgovornost u primjeni VI.",NA,"Umjereno važno",3,NA,NA,NA,NA,"Bosnian/Croatian"
"karajko2025_ai_governance","karajko2025_ai_governance_1","p12_1","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P12, koraci za povećanje povjerenja u VI",NA,"P12. Koliko su Vam važni sljedeći koraci za povećanje povjerenja u VI? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Skup zakona koje provodi nacionalna vlast i garantuje etičke standarde i društvenu odgovornost u primjeni VI.",NA,"Važno",4,NA,NA,NA,NA,"Bosnian/Croatian"
"karajko2025_ai_governance","karajko2025_ai_governance_1","p12_1","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P12, koraci za povećanje povjerenja u VI",NA,"P12. Koliko su Vam važni sljedeći koraci za povećanje povjerenja u VI? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Skup zakona koje provodi nacionalna vlast i garantuje etičke standarde i društvenu odgovornost u primjeni VI.",NA,"Vrlo važno",5,NA,NA,NA,NA,"Bosnian/Croatian"
"karajko2025_ai_governance","karajko2025_ai_governance_1","p12_2","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P12, koraci za povećanje povjerenja u VI",NA,"P12. Koliko su Vam važni sljedeći koraci za povećanje povjerenja u VI? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Dobrovoljne certifikacije koje izdaju pouzdane i kompetentne agencije koje garantuju etičke standarde i društvenu odgovornost u primjeni VI.",NA,"Uopšte nije važno",1,NA,NA,NA,NA,"Bosnian/Croatian"
"karajko2025_ai_governance","karajko2025_ai_governance_1","p12_2","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P12, koraci za povećanje povjerenja u VI",NA,"P12. Koliko su Vam važni sljedeći koraci za povećanje povjerenja u VI? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Dobrovoljne certifikacije koje izdaju pouzdane i kompetentne agencije koje garantuju etičke standarde i društvenu odgovornost u primjeni VI.",NA,"Malo važno",2,NA,NA,NA,NA,"Bosnian/Croatian"
"karajko2025_ai_governance","karajko2025_ai_governance_1","p12_2","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P12, koraci za povećanje povjerenja u VI",NA,"P12. Koliko su Vam važni sljedeći koraci za povećanje povjerenja u VI? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Dobrovoljne certifikacije koje izdaju pouzdane i kompetentne agencije koje garantuju etičke standarde i društvenu odgovornost u primjeni VI.",NA,"Umjereno važno",3,NA,NA,NA,NA,"Bosnian/Croatian"
"karajko2025_ai_governance","karajko2025_ai_governance_1","p12_2","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P12, koraci za povećanje povjerenja u VI",NA,"P12. Koliko su Vam važni sljedeći koraci za povećanje povjerenja u VI? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Dobrovoljne certifikacije koje izdaju pouzdane i kompetentne agencije koje garantuju etičke standarde i društvenu odgovornost u primjeni VI.",NA,"Važno",4,NA,NA,NA,NA,"Bosnian/Croatian"
"karajko2025_ai_governance","karajko2025_ai_governance_1","p12_2","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P12, koraci za povećanje povjerenja u VI",NA,"P12. Koliko su Vam važni sljedeći koraci za povećanje povjerenja u VI? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Dobrovoljne certifikacije koje izdaju pouzdane i kompetentne agencije koje garantuju etičke standarde i društvenu odgovornost u primjeni VI.",NA,"Vrlo važno",5,NA,NA,NA,NA,"Bosnian/Croatian"
