"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","item_text_translated","option_text_translated","instructions_translated","section_prompt_translated","language"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_1","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Nacionalne vlade i javne vlasti.",NA,"Uopšte ne",1,"National governments and public authorities.","Not at all",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_1","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Nacionalne vlade i javne vlasti.",NA,"Ne previše",2,"National governments and public authorities.","Not very much",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_1","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Nacionalne vlade i javne vlasti.",NA,"Onako",3,"National governments and public authorities.","So-so",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_1","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Nacionalne vlade i javne vlasti.",NA,"Donekle",4,"National governments and public authorities.","Somewhat",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_1","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Nacionalne vlade i javne vlasti.",NA,"Mnogo",5,"National governments and public authorities.","A lot",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_2","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Evropska unija (uključujući Evropsku komisiju/Parlament).",NA,"Uopšte ne",1,"The European Union (including the European Commission/Parliament).","Not at all",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_2","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Evropska unija (uključujući Evropsku komisiju/Parlament).",NA,"Ne previše",2,"The European Union (including the European Commission/Parliament).","Not very much",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_2","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Evropska unija (uključujući Evropsku komisiju/Parlament).",NA,"Onako",3,"The European Union (including the European Commission/Parliament).","So-so",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_2","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Evropska unija (uključujući Evropsku komisiju/Parlament).",NA,"Donekle",4,"The European Union (including the European Commission/Parliament).","Somewhat",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_2","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Evropska unija (uključujući Evropsku komisiju/Parlament).",NA,"Mnogo",5,"The European Union (including the European Commission/Parliament).","A lot",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_3","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Univerziteti i istraživački centri.",NA,"Uopšte ne",1,"Universities and research centres.","Not at all",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_3","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Univerziteti i istraživački centri.",NA,"Ne previše",2,"Universities and research centres.","Not very much",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_3","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Univerziteti i istraživački centri.",NA,"Onako",3,"Universities and research centres.","So-so",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_3","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Univerziteti i istraživački centri.",NA,"Donekle",4,"Universities and research centres.","Somewhat",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_3","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Univerziteti i istraživački centri.",NA,"Mnogo",5,"Universities and research centres.","A lot",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_4","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Udruženja potrošača, sindikati i društvene organizacije.",NA,"Uopšte ne",1,"Consumer associations, trade unions and civil-society organisations.","Not at all",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_4","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Udruženja potrošača, sindikati i društvene organizacije.",NA,"Ne previše",2,"Consumer associations, trade unions and civil-society organisations.","Not very much",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_4","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Udruženja potrošača, sindikati i društvene organizacije.",NA,"Onako",3,"Consumer associations, trade unions and civil-society organisations.","So-so",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_4","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Udruženja potrošača, sindikati i društvene organizacije.",NA,"Donekle",4,"Consumer associations, trade unions and civil-society organisations.","Somewhat",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_4","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Udruženja potrošača, sindikati i društvene organizacije.",NA,"Mnogo",5,"Consumer associations, trade unions and civil-society organisations.","A lot",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_5","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Tehnološke kompanije koje razvijaju VI proizvode.",NA,"Uopšte ne",1,"Technology companies that develop AI products.","Not at all",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_5","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Tehnološke kompanije koje razvijaju VI proizvode.",NA,"Ne previše",2,"Technology companies that develop AI products.","Not very much",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_5","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Tehnološke kompanije koje razvijaju VI proizvode.",NA,"Onako",3,"Technology companies that develop AI products.","So-so",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_5","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Tehnološke kompanije koje razvijaju VI proizvode.",NA,"Donekle",4,"Technology companies that develop AI products.","Somewhat",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_5","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Tehnološke kompanije koje razvijaju VI proizvode.",NA,"Mnogo",5,"Technology companies that develop AI products.","A lot",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_6","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Kompanije društvenih mreža.",NA,"Uopšte ne",1,"Social-media companies.","Not at all",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_6","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Kompanije društvenih mreža.",NA,"Ne previše",2,"Social-media companies.","Not very much",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_trust","karajko2025_ai_trust_1","p14_6","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P14, povjerenje u subjekte",NA,"P14. Koliko vjerujete sljedećim subjektima da osiguraju da je VI u najboljem interesu javnosti? Molimo vas da koristite skalu od 1 do 5 za svoj odgovor.","Kompanije društvenih mreža.",NA,"Onako",3,"Social-media companies.","So-so",NA,"P14. How much do you trust the following bodies to ensure that AI is in the best interest of the public? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
