"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp","item_text_translated","option_text_translated","instructions_translated","section_prompt_translated","language"
"karajko2025_ai_risk","karajko2025_ai_risk_1","p8_1","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P8, stav prema korištenju VI po sektorima",NA,"P8. Kako biste opisali svoj stav prema korištenju VI u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Zdravstvo (npr. podrška u dijagnostici, personalizovana medicina).",NA,"Snažno ne odobravam",1,"Healthcare (e.g. diagnostic support, personalised medicine).","Strongly disapprove",NA,"P8. How would you describe your attitude towards the use of AI in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_risk","karajko2025_ai_risk_1","p8_1","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P8, stav prema korištenju VI po sektorima",NA,"P8. Kako biste opisali svoj stav prema korištenju VI u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Zdravstvo (npr. podrška u dijagnostici, personalizovana medicina).",NA,"Ne odobravam",2,"Healthcare (e.g. diagnostic support, personalised medicine).","Disapprove",NA,"P8. How would you describe your attitude towards the use of AI in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_risk","karajko2025_ai_risk_1","p8_1","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P8, stav prema korištenju VI po sektorima",NA,"P8. Kako biste opisali svoj stav prema korištenju VI u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Zdravstvo (npr. podrška u dijagnostici, personalizovana medicina).",NA,"Neutralan",3,"Healthcare (e.g. diagnostic support, personalised medicine).","Neutral",NA,"P8. How would you describe your attitude towards the use of AI in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_risk","karajko2025_ai_risk_1","p8_1","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P8, stav prema korištenju VI po sektorima",NA,"P8. Kako biste opisali svoj stav prema korištenju VI u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Zdravstvo (npr. podrška u dijagnostici, personalizovana medicina).",NA,"Odobravam",4,"Healthcare (e.g. diagnostic support, personalised medicine).","Approve",NA,"P8. How would you describe your attitude towards the use of AI in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_risk","karajko2025_ai_risk_1","p8_1","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P8, stav prema korištenju VI po sektorima",NA,"P8. Kako biste opisali svoj stav prema korištenju VI u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Zdravstvo (npr. podrška u dijagnostici, personalizovana medicina).",NA,"Snažno odobravam",5,"Healthcare (e.g. diagnostic support, personalised medicine).","Strongly approve",NA,"P8. How would you describe your attitude towards the use of AI in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_risk","karajko2025_ai_risk_1","p8_2","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P8, stav prema korištenju VI po sektorima",NA,"P8. Kako biste opisali svoj stav prema korištenju VI u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Osiguranje (npr. otkrivanje prevara, personalizovana procjena rizika).",NA,"Snažno ne odobravam",1,"Insurance (e.g. fraud detection, personalised risk assessment).","Strongly disapprove",NA,"P8. How would you describe your attitude towards the use of AI in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_risk","karajko2025_ai_risk_1","p8_2","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P8, stav prema korištenju VI po sektorima",NA,"P8. Kako biste opisali svoj stav prema korištenju VI u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Osiguranje (npr. otkrivanje prevara, personalizovana procjena rizika).",NA,"Ne odobravam",2,"Insurance (e.g. fraud detection, personalised risk assessment).","Disapprove",NA,"P8. How would you describe your attitude towards the use of AI in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_risk","karajko2025_ai_risk_1","p8_2","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P8, stav prema korištenju VI po sektorima",NA,"P8. Kako biste opisali svoj stav prema korištenju VI u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Osiguranje (npr. otkrivanje prevara, personalizovana procjena rizika).",NA,"Neutralan",3,"Insurance (e.g. fraud detection, personalised risk assessment).","Neutral",NA,"P8. How would you describe your attitude towards the use of AI in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_risk","karajko2025_ai_risk_1","p8_2","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P8, stav prema korištenju VI po sektorima",NA,"P8. Kako biste opisali svoj stav prema korištenju VI u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Osiguranje (npr. otkrivanje prevara, personalizovana procjena rizika).",NA,"Odobravam",4,"Insurance (e.g. fraud detection, personalised risk assessment).","Approve",NA,"P8. How would you describe your attitude towards the use of AI in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_risk","karajko2025_ai_risk_1","p8_2","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P8, stav prema korištenju VI po sektorima",NA,"P8. Kako biste opisali svoj stav prema korištenju VI u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Osiguranje (npr. otkrivanje prevara, personalizovana procjena rizika).",NA,"Snažno odobravam",5,"Insurance (e.g. fraud detection, personalised risk assessment).","Strongly approve",NA,"P8. How would you describe your attitude towards the use of AI in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_risk","karajko2025_ai_risk_1","p8_3","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P8, stav prema korištenju VI po sektorima",NA,"P8. Kako biste opisali svoj stav prema korištenju VI u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Poljoprivreda (npr. robotska žetva, optimizacija usjeva).",NA,"Snažno ne odobravam",1,"Agriculture (e.g. robotic harvesting, crop optimisation).","Strongly disapprove",NA,"P8. How would you describe your attitude towards the use of AI in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_risk","karajko2025_ai_risk_1","p8_3","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P8, stav prema korištenju VI po sektorima",NA,"P8. Kako biste opisali svoj stav prema korištenju VI u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Poljoprivreda (npr. robotska žetva, optimizacija usjeva).",NA,"Ne odobravam",2,"Agriculture (e.g. robotic harvesting, crop optimisation).","Disapprove",NA,"P8. How would you describe your attitude towards the use of AI in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_risk","karajko2025_ai_risk_1","p8_3","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P8, stav prema korištenju VI po sektorima",NA,"P8. Kako biste opisali svoj stav prema korištenju VI u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Poljoprivreda (npr. robotska žetva, optimizacija usjeva).",NA,"Neutralan",3,"Agriculture (e.g. robotic harvesting, crop optimisation).","Neutral",NA,"P8. How would you describe your attitude towards the use of AI in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_risk","karajko2025_ai_risk_1","p8_3","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P8, stav prema korištenju VI po sektorima",NA,"P8. Kako biste opisali svoj stav prema korištenju VI u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Poljoprivreda (npr. robotska žetva, optimizacija usjeva).",NA,"Odobravam",4,"Agriculture (e.g. robotic harvesting, crop optimisation).","Approve",NA,"P8. How would you describe your attitude towards the use of AI in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_risk","karajko2025_ai_risk_1","p8_3","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P8, stav prema korištenju VI po sektorima",NA,"P8. Kako biste opisali svoj stav prema korištenju VI u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Poljoprivreda (npr. robotska žetva, optimizacija usjeva).",NA,"Snažno odobravam",5,"Agriculture (e.g. robotic harvesting, crop optimisation).","Strongly approve",NA,"P8. How would you describe your attitude towards the use of AI in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_risk","karajko2025_ai_risk_1","p8_4","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P8, stav prema korištenju VI po sektorima",NA,"P8. Kako biste opisali svoj stav prema korištenju VI u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Finansije (npr. otkrivanje prevara, podrška u donošenju odluka o kreditima).",NA,"Snažno ne odobravam",1,"Finance (e.g. fraud detection, support in making credit decisions).","Strongly disapprove",NA,"P8. How would you describe your attitude towards the use of AI in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_risk","karajko2025_ai_risk_1","p8_4","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P8, stav prema korištenju VI po sektorima",NA,"P8. Kako biste opisali svoj stav prema korištenju VI u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Finansije (npr. otkrivanje prevara, podrška u donošenju odluka o kreditima).",NA,"Ne odobravam",2,"Finance (e.g. fraud detection, support in making credit decisions).","Disapprove",NA,"P8. How would you describe your attitude towards the use of AI in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_risk","karajko2025_ai_risk_1","p8_4","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P8, stav prema korištenju VI po sektorima",NA,"P8. Kako biste opisali svoj stav prema korištenju VI u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Finansije (npr. otkrivanje prevara, podrška u donošenju odluka o kreditima).",NA,"Neutralan",3,"Finance (e.g. fraud detection, support in making credit decisions).","Neutral",NA,"P8. How would you describe your attitude towards the use of AI in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_risk","karajko2025_ai_risk_1","p8_4","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P8, stav prema korištenju VI po sektorima",NA,"P8. Kako biste opisali svoj stav prema korištenju VI u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Finansije (npr. otkrivanje prevara, podrška u donošenju odluka o kreditima).",NA,"Odobravam",4,"Finance (e.g. fraud detection, support in making credit decisions).","Approve",NA,"P8. How would you describe your attitude towards the use of AI in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_risk","karajko2025_ai_risk_1","p8_4","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P8, stav prema korištenju VI po sektorima",NA,"P8. Kako biste opisali svoj stav prema korištenju VI u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Finansije (npr. otkrivanje prevara, podrška u donošenju odluka o kreditima).",NA,"Snažno odobravam",5,"Finance (e.g. fraud detection, support in making credit decisions).","Strongly approve",NA,"P8. How would you describe your attitude towards the use of AI in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
"karajko2025_ai_risk","karajko2025_ai_risk_1","p8_5","Percepcije o vještačkoj inteligenciji (VI) građana BiH -- P8, stav prema korištenju VI po sektorima",NA,"P8. Kako biste opisali svoj stav prema korištenju VI u sljedećim sektorima u Bosni i Hercegovini? Molimo Vas da koristite skalu od 1 do 5 za svoj odgovor.","Vojni sektor (npr. automatizovano oružje, sajber sigurnost za zaštitu podataka).",NA,"Snažno ne odobravam",1,"The military sector (e.g. automated weapons, cyber security to protect data).","Strongly disapprove",NA,"P8. How would you describe your attitude towards the use of AI in the following sectors in Bosnia and Herzegovina? Please use a scale from 1 to 5 for your answer.","Bosnian/Croatian"
