"table","status","n_items_live","n_items_candidate","item_set_match","resp_set_match","uses_raw_resp","canonical_nulls","pct_item_text_missing","pct_option_text_missing","note"
"Adherence_Zissette_2018_SDB","PASS",26,26,TRUE,TRUE,FALSE,TRUE,0,0,""
"balmas2018_leader_attitudes","PASS",3,3,TRUE,TRUE,FALSE,TRUE,0,60,"60% of rows have blank option_text"
"balmas2018_leader_personality","PASS",14,14,TRUE,TRUE,FALSE,TRUE,0,60,"60% of rows have blank option_text"
"boudreau_2022_police_reform","PASS",4,4,TRUE,TRUE,FALSE,TRUE,0,0,""
"karajko2025_ai_benefit","PASS",10,10,TRUE,TRUE,FALSE,TRUE,0,0,""
"karajko2025_ai_governance","PASS",6,6,TRUE,TRUE,FALSE,TRUE,0,0,""
"karajko2025_ai_risk","PASS",10,10,TRUE,TRUE,FALSE,TRUE,0,0,""
"karajko2025_ai_trust","PASS",6,6,TRUE,TRUE,FALSE,TRUE,0,0,""
"kushnir2017_anrt","PASS",12,12,TRUE,TRUE,FALSE,TRUE,0,0,""
"lee2024_relative_clause","PASS",18,18,TRUE,TRUE,FALSE,TRUE,0,100,"100% of rows have blank option_text"
"weber2026_name_knowledge","PASS",59,59,TRUE,TRUE,FALSE,TRUE,0,0,""
