wave,deposit,table,verdict,instrument,wording_source,evidence,rights,rights_sha256,old_agrees,old_disagree_reason,effort,slice,retry,redo_note
1,10.1371/journal.pone.0321066,jiang_2025_teaching_motivation,UNREACHABLE,"Revised Motivation for Teacher Education Questionnaire (Schepens, Aelterman & Vlerick 2009), Chinese version, 4 items",,"PLOS paper describes the 4 items (PL1-2, EI1-2) in prose only; S1 xlsx has codes only. Origin Schepens et al. 2009 Educational Studies 35(4) is closed (OpenAlex); the Ghent repository copy biblio.ugent.be/publication/765565 is restrictedAccess.",n/a (wording not reached; origin is a closed T&F article),,yes,,low,1,,
1,10.17632/kmkhx3tzjx,figalova_2021_bdi,RIGHTS_BLOCK,"Beck Depression Inventory-II (BDI-II), Czech version, 21 items",,"Deposit description names the BDI-II; the deposit ships DATA.csv (codes BDI_1..21) and PSS PDFs only, with no BDI wording. The BDI-II is a Pearson commercial test with no public wording source.","quote:""Permission granting requests, such as: Reproduction of materials - request to reproduce a test form ... Research license requests (non-pharmaceutical companies), including the right to translate if needed"" https://www.pearsonassessments.com/footer/permissions---licensing.html (publisher-wide page; BDI-II is a Pearson product; Czech BDI-II distributed by Hogrefe-Testcentrum)",71575b71e81815ee364e9fa3b9e6740f8a8db1e6e49b2a66981793bdb8fcc12d,na,,medium,1,,
1,10.17632/kmkhx3tzjx,figalova_2021_pss,RIGHTS_BLOCK,"Perceived Stress Scale PSS-14, Czech translation",,"Czech PSS-14 wording is in the deposit (PSS_14_czech.pdf, Mendeley kmkhx3tzjx); items PSS_1..14 map directly. Blocked by the register PSS row.",register:Perceived Stress Scale (PSS-4/10/14),,na,,low,1,,
1,10.17632/kmkhx3tzjx,figalova_2021_stai_state,RIGHTS_BLOCK,"State-Trait Anxiety Inventory form X (X1 state / X2 trait), Czech version, 20 items",,"Deposit has STAI_X1_/X2_ codes only, no wording file. The STAI (Spielberger) is covered by the register block; form X is the original form of the same instrument.",register:State-Trait Anxiety Inventory (STAI / STAI-6),,na,,medium,1,,
1,10.17632/kmkhx3tzjx,figalova_2021_stai_trait,RIGHTS_BLOCK,"State-Trait Anxiety Inventory form X (X1 state / X2 trait), Czech version, 20 items",,"Deposit has STAI_X1_/X2_ codes only, no wording file. The STAI (Spielberger) is covered by the register block; form X is the original form of the same instrument.",register:State-Trait Anxiety Inventory (STAI / STAI-6),,na,,medium,1,,
1,10.1371/journal.pone.0207706,kumlander_2018_bdi,NEEDS_HUMAN,"Raitasalo's revised BDI (RBDI / Mielialakysely), Finnish, 13 items; a modification of Beck's 13-item BDI short form",,"SAV labels read only ""Beck Depression Inventory, revised, N""; the paper gives no items. Wording is in the Raitasalo (2007) Kela report, which was not fetched. Question: does the Beck/Pearson reservation on the BDI reach a Finnish modification of the BDI short form published by Kela, i.e. is this a RIGHTS_BLOCK by inheritance?","lead: quote:""Permission granting requests, such as: Reproduction of materials - request to reproduce a test form ... Research license requests (non-pharmaceutical companies), including the right to translate if needed"" https://www.pearsonassessments.com/footer/permissions---licensing.html (publisher-wide page; BDI-II is a Pearson product; Czech BDI-II distributed by Hogrefe-Testcentrum)",71575b71e81815ee364e9fa3b9e6740f8a8db1e6e49b2a66981793bdb8fcc12d,na,,medium,1,,
1,10.1371/journal.pone.0207706,kumlander_2018_scs,OBTAINABLE,"Self-Compassion Scale (Neff 2003), 26 items, Finnish translation","https://journals.plos.org/plosone/article/file?type=supplementary&id=10.1371/journal.pone.0207706.s001 (S1 Table: all 26 items, English + administered Finnish, numbered 1-26)",S1 Table lists all 26 items with the Finnish wording; SAV labels number scomp1..26 identically. Neff's information sheet reproduces the items under a positive grant.,"quote:""Dr. Kristin Neff grants permission to use the Self-Compassion Scale (Neff, 2003) for any purpose whatsoever, including research, clinical work, teaching, etc."" https://self-compassion.org/wp-content/uploads/2021/03/SCS-information.pdf (positive grant; the separate permission to translate is conditioned on a validation approach, which governs making translations, not redistribution)",be9f7f479d236a92e361835348e2f653a11920570c9796511e718acdaabc752a,na,,low,1,,
1,https://osf.io/wp3z4,PTAM_Kretzschmar_2017_MicroFIN,NOT_ITEM_TEXT,MicroFIN complex problem solving microworlds,,"OSF Codebook.xlsx: items are identification, initial-state, knowledge and control tasks in six interactive simulations (Green-o-maton etc.), scored 0/1; no worded questions.",n/a,,yes,,high,1,,
1,https://osf.io/wp3z4,PTAM_Kretzschmar_2017_Reasoning,UNREACHABLE,"Verbal analogies (verb1-20) + number series (qr1-16) reasoning tasks, Latvian sample",,"36 items = codebook verb1-20 + qr1-16, labelled only ""Reasoning: Analogies/Number Task"". The paper PDF on ZORA (uzh-185323) returns an Anubis bot wall; no publisher PDF found. The repo script PTAM_Kretzschmar_2017.R writes MicroFIN and Raven tables, not this one.",n/a (test source not identified),,yes,,high,1,,
1,10.1007/s10775-024-09704-4,tang_2024_entrepreneurial_intention,UNREACHABLE,"Five study scales (TL, ET, AT, EI, PC), 28 items",,"figshare 24081459 has Data.csv with codes TL1..PC6 only; the paper (IJEVG 10.1007/s10775-024-09704-4) is closed per OpenAlex with no repository copy. The figshare title names a different paper (""Igniting Entrepreneurial Intention..."").",n/a,,yes,,medium,1,,
1,10.1037/edu0000969,teacherjudgements_lohmann_2026_conscientiousness,RIGHTS_BLOCK,"BFI-K conscientiousness items (Rammstedt & John 2005), derived from the BFI-44",,"OSF eu2zb Codebook.xlsx gives wording for consc_1-4 (""I do tasks thoroughly"", ""I am sluggish, I tend to be lazy"", ...), which are the BFI-44 conscientiousness items by way of the German BFI-K. The upstream check changed this from own items to the BFI-44 block.",register:Big Five Inventory (BFI-44) incl. subscales and translations,,na,,low,1,,
1,10.1037/edu0000969,teacherjudgements_lohmann_2026_essayratings,NOT_ITEM_TEXT,"Essay ratings on 4 rubric dimensions (language quality, structure, content, holistic)",,"id is the student essay, item is the rubric dimension and rater is the preservice teacher (plus an expert benchmark): ratings of essay stimuli with no worded items.",n/a,,na,,low,1,,
1,10.1037/edu0000969,teacherjudgements_lohmann_2026_motivation,NEEDS_HUMAN,"Essay grading motivation, 3 items","https://osf.io/download/gnmjv/ (OSF eu2zb Codebook.xlsx, column ""Item Wording"", rows mot_1-3 / sc_1-3)","All items are worded in the codebook (e.g. ""I enjoy evaluating student essays.""). The paper (J Educ Psychol, 10.1037/edu0000969) returns 403, so whether the items are the authors' own or adapted cannot be checked. Question: ship as own items without reading the paper's measures section?","silence? (checked: distributor none; originating paper page 403, so the adaptation source is unknown)",,na,,low,1,,
1,10.1037/edu0000969,teacherjudgements_lohmann_2026_selfconcept,NEEDS_HUMAN,"Essay grading self-concept, 3 items (t1/t2)","https://osf.io/download/gnmjv/ (OSF eu2zb Codebook.xlsx, column ""Item Wording"", rows mot_1-3 / sc_1-3)","All items are worded in the codebook (e.g. ""I can evaluate student essays well.""). The paper (J Educ Psychol, 10.1037/edu0000969) returns 403, so whether the items are the authors' own or adapted cannot be checked. Question: ship as own items without reading the paper's measures section?","silence? (checked: distributor none; originating paper page 403, so the adaptation source is unknown)",,na,,low,1,,
1,10.1080/00223891.2025.2531187,bfi2_zhang_2025,RIGHTS_BLOCK,"Big Five Inventory-2 (BFI-2), 60 items, alternative response formats",,"The script melts self_BFI_1..60 (60 = the BFI-2 length); the paper studies alternative formats of the BFI-2, i.e. derivatives. OSF d79c3 file listing did not return.",register:Big Five Inventory-2 (BFI-2),,na,,low,1,,
1,https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_aggression,NEEDS_HUMAN,ENUSC 2024 (INE Chile) questionnaire items,https://www.ine.gob.cl/docs/default-source/seguridad-ciudadana/manuales/2024/diccionario-de-variables---enusc-2024e7482a2568a84bbbba377cfddc160293.pdf (Diccionario de Variables: question text per variable),"All 3 variables this table takes in chile_2024_safety.do appear in the INE variable dictionary with Spanish question wording (the layout truncates some names, e.g. *_DENUNCIA_FIRM). Question: does CC BY-SA 4.0 (ShareAlike) on INE content count as reserving a right, or does it ship with attribution?","quote:""El contenido de este sitio Web se rige bajo una licencia de Creative Commons Reconocimiento-CompartirIgual 4.0 Internacional ... CompartirIgual: si remezcla, transforma o crea a partir del material, debera difundir sus contribuciones bajo la misma licencia que el original"" https://www.ine.gob.cl/terminos-de-uso-y-licencia-de-datos-abiertos (own items of INE; commercial use and adaptation allowed; ShareAlike condition)",0654d134c56332b5fc538b98a85b01fcb8df9847c3610619d25f4a12b4679a96,na,,medium,1,,
