deposit,stratum,n_tables,slice
10.34894/fddftj,UNAVAILABLE_copyright,2,1
10.1371/journal.pone.0164630,UNAVAILABLE_copyright,1,2
10.17632/6n78w5pz74,never_assessed,1,3
10.1371/journal.pone.0143612,UNAVAILABLE_copyright,1,4
10.3758/s13428-022-01944-y,BLOCKED,1,5
table:robison_2026_retesting_stroop,never_assessed,1,1
10.7910/dvn/lxkjiv,never_assessed,5,2
10.7910/dvn/3sf36j,UNAVAILABLE_copyright,1,3
10.3389/fpsyg.2019.01507,UNAVAILABLE,1,4
10.3389/fpsyg.2021.708342.s001,UNAVAILABLE,2,5
10.6084/m9.figshare.29378996,BLOCKED,1,1
10.1080/13674676.2020.1850666,never_assessed,2,2
10.1371/journal.pone.0284366,UNAVAILABLE,3,3
10.1371/journal.pone.0351162,UNAVAILABLE,1,4
10.1371/journal.pone.0331067,UNAVAILABLE,2,5
10.1007/s11136-023-03348-7,never_assessed,7,1
10.1016/j.crbeha.2021.100039,never_assessed,1,2
10.7910/dvn/id7pmc,never_assessed,1,3
10.1371/journal.pone.0157238,UNAVAILABLE_copyright,2,4
table:robison_2026_retesting_color,never_assessed,1,5
10.1037/pspp0000547,never_assessed,1,1
10.1371/journal.pone.0170225,UNAVAILABLE_copyright,4,2
10.7910/dvn/xueu90,BLOCKED,1,3
10.1371/journal.pone.0161272,UNAVAILABLE,2,4
10.3758/s13428-020-01462-9,never_assessed,2,5
10.1037/1040-3590.4.1.26,never_assessed,5,1
10.6084/m9.figshare.31387864,BLOCKED,4,2
https://osf.io/gver2,never_assessed,1,3
10.7910/dvn/olomai,UNAVAILABLE,1,4
10.1037/per0000565,never_assessed,1,5
10.1371/journal.pone.0310351,UNAVAILABLE,6,1
10.1207/s15327906347-387,BLOCKED,1,2
10.1371/journal.pone.0194569,UNAVAILABLE,1,3
10.6084/m9.figshare.32668833,BLOCKED,1,4
10.33009/ldbase.1680213217.8ed0,BLOCKED,1,5
table:Karim2022_tmoca_subscales_longitudinal,never_assessed,1,1
10.7910/dvn/zdnsfj,UNAVAILABLE,7,2
10.1371/journal.pone.0240914,UNAVAILABLE,1,3
table:Zanesco_2023_Kaneetal2016,never_assessed,1,4
10.1027/1614-,never_assessed,3,5
10.1037/xge0000698,BLOCKED,1,1
10.5281/zenodo.15116678,UNAVAILABLE,1,2
10.1371/journal.pone.0278165,UNAVAILABLE_copyright,3,3
10.7910/dvn/wv5byc,never_assessed,1,4
10.1371/journal.pone.0203435,UNAVAILABLE_copyright,4,5
10.3389/fpsyg.2022.1014794.s001,never_assessed,1,1
10.7910/dvn/iek9pw,UNAVAILABLE,5,2
10.6084/m9.figshare.32114668,BLOCKED,2,3
10.7910/dvn/dup1tt,never_assessed,1,4
10.6084/m9.figshare.29488523,BLOCKED,1,5
table:Zanesco_2023_Golleretal2020,never_assessed,1,1
https://osf.io/58xb9,UNAVAILABLE,2,2
10.5281/zenodo.10546410,never_assessed,1,3
10.6084/m9.figshare.5924647,never_assessed,1,4
10.1371/journal.pone.0279701,UNAVAILABLE,1,5
10.3389/fpsyg.2020.590276,UNAVAILABLE,5,1
10.1371/journal.pone.0326853,never_assessed,1,2
10.1038/s41597-025-06035-z,BLOCKED,2,3
10.17632/tdsspksw83,never_assessed,7,4
10.1371/journal.pone.0284340,UNAVAILABLE_copyright,4,5
10.31234/osf.io/jfgvr,never_assessed,3,1
10.1371/journal.pone.0323811,UNAVAILABLE,11,2
10.1371/journal.pone.0280313,UNAVAILABLE_copyright,1,3
table:robison_2026_retesting_antisaccade,never_assessed,1,4
10.1371/journal.pone.0255995,UNAVAILABLE,3,5
10.1371/journal.pone.0208438,BLOCKED,4,1
https://osf.io/djcex/overview,never_assessed,4,2
10.1371/journal.pone.0193357,UNAVAILABLE,3,3
10.17632/fzw7dthwh6,never_assessed,1,4
10.1371/journal.pone.0269201,BLOCKED,1,5
10.1111/j.1471-6402.1998.tb00158.x,UNAVAILABLE,1,1
10.1007/s10926-024-10174-2,never_assessed,1,2
