deposit,table,stratum,wave,slice
10.1371/journal.pone.0321066,jiang_2025_teaching_motivation,BLOCKED,1,1
10.17632/kmkhx3tzjx,figalova_2021_bdi,never_assessed,1,1
10.17632/kmkhx3tzjx,figalova_2021_pss,never_assessed,1,1
10.17632/kmkhx3tzjx,figalova_2021_stai_state,never_assessed,1,1
10.17632/kmkhx3tzjx,figalova_2021_stai_trait,never_assessed,1,1
10.1371/journal.pone.0207706,kumlander_2018_bdi,never_assessed,1,1
10.1371/journal.pone.0207706,kumlander_2018_scs,never_assessed,1,1
https://osf.io/wp3z4,PTAM_Kretzschmar_2017_MicroFIN,UNAVAILABLE,1,1
https://osf.io/wp3z4,PTAM_Kretzschmar_2017_Reasoning,UNAVAILABLE,1,1
10.1007/s10775-024-09704-4,tang_2024_entrepreneurial_intention,UNAVAILABLE,1,1
10.1037/edu0000969,teacherjudgements_lohmann_2026_conscientiousness,never_assessed,1,1
10.1037/edu0000969,teacherjudgements_lohmann_2026_essayratings,never_assessed,1,1
10.1037/edu0000969,teacherjudgements_lohmann_2026_motivation,never_assessed,1,1
10.1037/edu0000969,teacherjudgements_lohmann_2026_selfconcept,never_assessed,1,1
10.1080/00223891.2025.2531187,bfi2_zhang_2025,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_aggression,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_assault,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_bankfraud,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_banking,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_bribes,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_carabineros,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_context,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_cyberbullying,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_cyberbullyingcharacterization,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_disturbances,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_dwelling,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_dwellingburglary,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_dwellingvandalism,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_extortion,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_extortioncharacterization,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_fear,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_hacking,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_hackingcharacterization,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_harassmentcharacterization,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_identity,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_identitytheftcharacterization,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_knowledge,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_malicious,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_municipal,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_programs,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_safety,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_scam,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_scamcharacterization,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_surprise,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_surpriserobbery,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_theft,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_theftcharacterization,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_threats,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_threatscharacterization,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_trust,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_vehicle,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_vehiclecharacterization,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_vehicletheft,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_vehiclevandalism,never_assessed,1,1
https://www.ine.gob.cl/estadisticas-por-tema/sociedad-y-condiciones-de-vida/seguridad-ciudadana,chile_2024_safety_victimization_malwarecharacterization,never_assessed,1,1
