deposit,table,verdict,instrument,wording_source,evidence,rights,old_agrees,old_disagree_reason,effort,slice
10.34894/fddftj,IJLS_Eersel_2024_Anxiety,RIGHTS_BLOCK,"Hospital Anxiety and Depression Scale (HADS), Dutch admin., English rendering",,"Wording IS published: DataverseNL IJLS_readme.txt (file 378452) lists the HADS anxiety A1-A7 items in English. Blocked on the originator terms (GL Assessment / Mapi), which require prior written permission to reproduce.","quote:""you are not authorized to modify, retype, translate, copy or otherwise duplicate the Questionnaire except with the further and prior written permission of Mapi Research Trust / the developers / copyright holders"" (HADS, all rights reserved to GL Assessment) https://eprovide.mapi-trust.org/instruments/hospital-anxiety-and-depression-scale",yes,,low,1
10.34894/fddftj,IJLS_Eersel_2024_Depression,RIGHTS_BLOCK,"Hospital Anxiety and Depression Scale (HADS), Dutch admin., English rendering",,"Wording IS published: DataverseNL IJLS_readme.txt (file 378452) lists the HADS depression D1-D7 items in English. Blocked on the originator terms (GL Assessment / Mapi), which require prior written permission to reproduce.","quote:""you are not authorized to modify, retype, translate, copy or otherwise duplicate the Questionnaire except with the further and prior written permission of Mapi Research Trust / the developers / copyright holders"" (HADS, all rights reserved to GL Assessment) https://eprovide.mapi-trust.org/instruments/hospital-anxiety-and-depression-scale",yes,,low,1
table:robison_2026_retesting_stroop,robison_2026_retesting_stroop,NOT_ITEM_TEXT,Stroop task,,Items are Stroop stimulus conditions (e.g. BlueinBlueInk) with trial-level accuracy/RT and itemcov_conflict; no biblio or processing script in IRW. The item name already says what the stimulus is; there is no question wording to add.,n/a,na,,low,1
10.6084/m9.figshare.29378996,divia_2025_tiktok_fomo_shopping,NOT_PUBLISHED,unnamed 21-item shopping/FoMO survey (UP/KI/LP/R/T/PP/PM/EP/MP),,"figshare API works (CC BY 4.0). The only file is data - Divia.xlsx, which has codes UP1..MP2 and no wording. The description names no instrument or paper, and a web search found no linked article. Also: the deposit holds respondents' TikTok usernames (column 1).",n/a,no,"The old audit said BLOCKED because of a figshare 403. The API is reachable, and it shows a codes-only file.",high,1
10.1007/s11136-023-03348-7,uti_newlands_2023_rutiiq,OBTAINABLE,"Recurrent UTI Impact Questionnaire (RUTIIQ), authors' own","https://osf.io/download/c2984/ (Pilot Data Codebook.xlsx, rutiiq1_* rows) + paper Table 3 https://link.springer.com/content/pdf/10.1007/s11136-023-03348-7.pdf","The OSF codebook gives the full wording of the rutiiq1_a1.. items (44 codebook rows, 0-10 agreement). The CC BY paper prints the final items in Table 3. IRW has 42 items because the script drops columns matching check/other, so the mapping needs a check against those drops.",silence,na,,low,1
10.1007/s11136-023-03348-7,uti_newlands_2023_phq,OBTAINABLE,PHQ-9,https://www.phqscreeners.com/select-screener (PHQ-9 English form),"The deposit codebook names the PHQ-9 but gives no wording. The instrument's own public form has all 9 items, which map 1:1 to phq_1..9.",register:PHQ and GAD screener family (ship),na,,low,1
10.1007/s11136-023-03348-7,uti_newlands_2023_gad,OBTAINABLE,GAD-7,https://www.phqscreeners.com/select-screener (GAD-7 English form),The deposit codebook names the GAD-7 but gives no wording. The public form has all 7 items.,register:PHQ and GAD screener family (ship),na,,low,1
10.1007/s11136-023-03348-7,uti_newlands_2023_wpai,OBTAINABLE,WPAI:SHP (Reilly),http://www.reillyassociates.net/wpai_general.html (WPAI:SHP form),"The paper uses the WPAI:SHP (6 questions, matching IRW's 6 items). The deposit has no wording, but Reilly Associates publishes the forms. Its work/activity items are numeric (hours/0-10), not agreement items.","quote:""The instrument is not copyrighted... written permission is neither required nor provided... no fees"" (plus the condition that the questionnaire cannot be called the WPAI if questions or responses are changed) http://www.reillyassociates.net/wpai_general.html",na,,low,1
10.1007/s11136-023-03348-7,uti_newlands_2023_uclals,NEEDS_HUMAN,UCLA Loneliness Scale Version 3 (Russell 1996),,The deposit has no wording. The 20 items are public (e.g. the Fetzer self-measures PDF). No originator terms were found (Russell has no terms page). The distributor page on Mapi ePROVIDE is a JS shell and could not be read. Decision: confirm there is no Mapi/Russell restriction before treating this as silence.,silence (distributor page unread),na,,low,1
10.1007/s11136-023-03348-7,uti_newlands_2023_fsdsr,NEEDS_HUMAN,"Female Sexual Distress Scale-Revised (FSDS-R), (c) American Foundation for Urological Disease",,"The deposit has no wording. The 13 items circulate in clinic PDFs (copyright AFUD 2000). Mapi ePROVIDE distributes it, and its terms page was unreadable (JS shell). Decision: read the holder's terms. A permission clause, which is likely, would make this RIGHTS_BLOCK.",unknown: (c) AFUD; ePROVIDE terms unread,na,,low,1
