"instrument","family","verdict","rule","clause","source_url","source_sha256","fetched","match_item_text","match_item_code","notes"
"DANE Encuesta de Cultura Politica (ECP) 2023 questionnaire block","","block","2026-09-25 irw#2382 re-audit triage (waves 2); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","Queda en cambio prohibida la copia o reproduccion de los datos en cualquier medio electronico (redes, bases de datos, cd rom, diskettes) que permita la disponibilidad de esta informacion a multiples usuarios sin el previo visto bueno del DANE por medio escrito.","https://microdatos.dane.gov.co/index.php/metadata/export/822/ddi","55346ace09571c91a10afd4699b6a2138ffbdf8708a3402395fe1636397fecbf","2026-09-25","","","33 table(s): colombia_2023_politics_anticorruption colombia_2023_politics_attitudes colombia_2023_politics_belonging colombia_2023_politics_bribery colombia_2023_politics_candidates colombia_2023_politics_channels colombia_2023_politics_confidence colombia_2023_politics_corruption colombia_2023_politics_difficulties colombia_2023_politics_discrimination colombia_2023_politics_guarantees colombia_2023_politics_hurdles colombia_2023_politics_importance colombia_2023_politics_meaning colombia_2023_politics_mechanisms colombia_2023_politics_media colombia_2023_politics_neighbors colombia_2023_politics_organizations colombia_2023_politics_party colombia_2023_politics_prevention colombia_2023_politics_problems colombia_2023_politics_procedures colombia_2023_politics_protection colombia_2023_politics_reasons colombia_2023_politics_registration colombia_2023_politics_requisites colombia_2023_politics_rights colombia_2023_politics_risks colombia_2023_politics_spaces colombia_2023_politics_transparency colombia_2023_politics_trust colombia_2023_politics_voting colombia_2023_politics_wellbeing"
"INE Uruguay Encuesta de Usos de TIC (EUTIC) 2022","","block","2026-09-25 irw#2382 re-audit triage (waves 1); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","Los datos y otros materiales proporcionados por el Instituto Nacional de Estadística (INE) no serán redistribuidos o vendidos a otras personas, instituciones u organizaciones sin el consentimiento escrito del Instituto Nacional de Estadística. Los datos serán utilizados para fines de investigación científica y estadística solamente.","https://www4.ine.gub.uy/Anda5/index.php/catalog/736/get-microdata","fdcb800bb84702cc03afdc022a6761a012e807290837fcdf018aad6ee4ac87ba","2026-09-25","","","16 table(s): uruguay_2022_technology_access uruguay_2022_technology_barriers uruguay_2022_technology_communication uruguay_2022_technology_devices uruguay_2022_technology_entertainment uruguay_2022_technology_govperception uruguay_2022_technology_govservices uruguay_2022_technology_information uruguay_2022_technology_ownership uruguay_2022_technology_places uruguay_2022_technology_safety uruguay_2022_technology_skills uruguay_2022_technology_socialmedia uruguay_2022_technology_streaming uruguay_2022_technology_transactions uruguay_2022_technology_work"
"Duolingo SLAM 2018 exercise prompts/tokens","","block","2026-09-25 irw#2382 re-audit triage (waves 3); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","This work is released under the Creative Commons Attribution-NonCommercial 4.0 International License (CC BY-NC 4.0).","https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/8SWHNO","","2026-09-25","","","9 table(s): duolingo_en_es__listen duolingo_en_es__reverse_tap duolingo_en_es__reverse_translate duolingo_es_en__listen duolingo_es_en__reverse_tap duolingo_es_en__reverse_translate duolingo_fr_en__listen duolingo_fr_en__reverse_tap duolingo_fr_en__reverse_translate"
"Comprehensive Assessment of Theory of Mind (CAT), Heise & Bowman 2025","","block","2026-09-25 irw#2382 re-audit triage (waves 2); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","This is an open access article under the terms of the CC BY-NC-ND 4.0 License, which permits use and distribution in any medium, provided the original work is properly cited, the use is non-commercial and no modifications or adaptations are made.","https://doi.org/10.1111/cdev.14263","080ff6bfd5a68afb9a534d02ef560b4a71a21c5d08569d9d01127967284dc948","2026-09-25","","","8 table(s): heise_2024_mental_divbeliefs heise_2024_mental_divdesires heise_2024_mental_falsebel heise_2024_mental_falsesign heise_2024_mental_knowaccess heise_2024_mental_knowexpert heise_2024_mental_truebel heise_2024_mental_vpt"
"Attitudes toward Genomics and Precision Medicine (AGPM), Spanish adaptation, embryo concerns subscale","","block","2026-09-25 irw#2382 re-audit triage (waves 2); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","BRC supports the efforts of individuals and programs who wish to use these measures for non-profit educational or research purposes. ... To request testing services or access to the measures, please complete our testing services request form.","https://bioethicsresearch.org/research-services/testing-services/","95361cbd586e89baedd29065cd2b0c0b2c9f5870e44a222e632240d8aa312075","2026-09-25","","","6 table(s): dwyer_2025_genomics_ec dwyer_2025_genomics_gec dwyer_2025_genomics_os dwyer_2025_genomics_pb dwyer_2025_genomics_pc dwyer_2025_genomics_sjc"
"Thriving Quotient (Schreiner 2010), academic determination subscale, Chinese version","","block","2026-09-25 irw#2382 re-audit triage (waves 3); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","Researcher access — $250 For a single dissertation or study. Submit your proposal first; once Dr. Schreiner returns the signed proposal, payment is taken and the instrument is released.","https://www.thrivingincollege.org/packages-prices","eed171d9754c5b85821a87c35aacfb7d609f8467faf8d57ff9e13e5bd657a5fb","2026-09-25","","","4 table(s): jiang_2024_thracademd jiang_2024_thrdiversc jiang_2024_threngagel jiang_2024_thrsocialc"
"Keratoconus End-Points Assessment Questionnaire (KEPAQ-E), 7 items","","block","2026-09-25 irw#2382 re-audit triage (waves 3,6); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","This work is published and licensed by Dove Medical Press Limited ... incorporate the Creative Commons Attribution - Non Commercial (unported, v3.0) License ... For permission for commercial use of this work, please see paragraphs 4.2 and 5 of our Terms","https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7229796/fullTextXML","cc5f8814e50dbfe13bf90878b229977f0ee1e899026383bf0604301e23603720","2026-09-25","","","3 table(s): balparda_2021_kepaq_emotional balparda_2021_kepaq_functional kepaq_balparda_2021"
"Multidimensional COVID-19 Vaccine Hesitancy Scale (CoVaH), Kalcza-Janosi et al.","","block","2026-09-25 irw#2382 re-audit triage (waves 3); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","This is an Open Access article distributed under the terms of the Creative Commons Attribution-NonCommercial-NoDerivatives License","https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8928857/fullTextXML","85f2659ab540865fe3ea84475887173370d5fe05981695e321a3a95ab5f42f64","2026-09-25","","","3 table(s): kalczajanosi_2021_covid_fear kalczajanosi_2021_covid_risk kalczajanosi_2021_vaccine_skepticism"
"Negative Acts Questionnaire-Revised (NAQ-R, 22), Einarsen et al.","","block","2026-09-25 irw#2382 re-audit triage (waves 3,4); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","You are welcome to use this scale in your research as long as you agree with the following terms: ... That the use of the NAQ is for research purposes only (non- profit). That each permission is for one project only.","https://www.uib.no/en/rg/bbrg/44045/naq","0585d7001ff4a65935bead97bf563fe3cffad0f36200f4407b467a09d1ac5655","2026-09-25","","","2 table(s): daderman_2023_naq_r daderman_2023_naqr"
"Schizotypal Personality Questionnaire (SPQ), Odd Beliefs/Magical Thinking subscale, Raine 1991","","block","2026-09-25 irw#2382 re-audit triage (waves 4,5); DRAFT for Ben to ratify; irw#1945 reserve-a-right test","These instruments can be freely used for research purposes, but I would appreciate knowing a little about your study first","https://bpb-us-w2.wpmucdn.com/web.sas.upenn.edu/dist/1/681/files/2022/04/SPQ-Manual.doc","f5afd9e0dc8e452c4801b1b67640af3bf5f193e721fa1b6ec085c1d02db3f041","2026-09-25","","","2 table(s): spq_kay_2025 sumner_2022_spq"
