deposit,table,stratum,old_audit,n_items,n_participants,DOI__for_data_,DOI__for_paper_,URL__for_data_,Reference_x
10.1002/ab.22088,hyatt_2023_aggression_aeq,never_assessed,,140.0,1552,,10.1002/ab.22088,https://osf.io/fuz6h/overview,"Hyatt, C. S., Lynam, D. R., West, S. J., Chester, D. S., Carter, N. T., & Miller, J. D. (2023). Development of a measure of aggressive behavior expectancies in adults: The Aggression Expectancy Questionnaire. Aggressive Behavior, 49, 521–535."
10.1002/ab.22088,hyatt_2023_aggression_cab,never_assessed,,12.0,657,,10.1002/ab.22088,https://osf.io/fuz6h/overview,"Hyatt, C. S., Lynam, D. R., West, S. J., Chester, D. S., Carter, N. T., & Miller, J. D. (2023). Development of a measure of aggressive behavior expectancies in adults: The Aggression Expectancy Questionnaire. Aggressive Behavior, 49, 521–535."
10.1002/ab.22088,hyatt_2023_aggression_neo,never_assessed,,142.0,880,,10.1002/ab.22088,https://osf.io/fuz6h/overview,"Hyatt, C. S., Lynam, D. R., West, S. J., Chester, D. S., Carter, N. T., & Miller, J. D. (2023). Development of a measure of aggressive behavior expectancies in adults: The Aggression Expectancy Questionnaire. Aggressive Behavior, 49, 521–535."
10.1002/ab.22088,hyatt_2023_aggression_prelim2_epa,never_assessed,,14.0,322,,10.1002/ab.22088,https://osf.io/fuz6h/overview,"Hyatt, C. S., Lynam, D. R., West, S. J., Chester, D. S., Carter, N. T., & Miller, J. D. (2023). Development of a measure of aggressive behavior expectancies in adults: The Aggression Expectancy Questionnaire. Aggressive Behavior, 49, 521–535."
10.1002/ab.22088,hyatt_2023_aggression_rpa,never_assessed,,23.0,657,,10.1002/ab.22088,https://osf.io/fuz6h/overview,"Hyatt, C. S., Lynam, D. R., West, S. J., Chester, D. S., Carter, N. T., & Miller, J. D. (2023). Development of a measure of aggressive behavior expectancies in adults: The Aggression Expectancy Questionnaire. Aggressive Behavior, 49, 521–535."
10.1002/ab.22088,hyatt_2023_aggression_s3_acme,never_assessed,,36.0,228,,10.1002/ab.22088,https://osf.io/fuz6h/overview,"Hyatt, C. S., Lynam, D. R., West, S. J., Chester, D. S., Carter, N. T., & Miller, J. D. (2023). Development of a measure of aggressive behavior expectancies in adults: The Aggression Expectancy Questionnaire. Aggressive Behavior, 49, 521–535."
10.1002/ab.22088,hyatt_2023_aggression_s3_bpaq,never_assessed,,29.0,227,,10.1002/ab.22088,https://osf.io/fuz6h/overview,"Hyatt, C. S., Lynam, D. R., West, S. J., Chester, D. S., Carter, N. T., & Miller, J. D. (2023). Development of a measure of aggressive behavior expectancies in adults: The Aggression Expectancy Questionnaire. Aggressive Behavior, 49, 521–535."
10.1002/ab.22088,hyatt_2023_aggression_s3_cast,never_assessed,,18.0,221,,10.1002/ab.22088,https://osf.io/fuz6h/overview,"Hyatt, C. S., Lynam, D. R., West, S. J., Chester, D. S., Carter, N. T., & Miller, J. D. (2023). Development of a measure of aggressive behavior expectancies in adults: The Aggression Expectancy Questionnaire. Aggressive Behavior, 49, 521–535."
10.1002/ab.22088,hyatt_2023_aggression_s3_daq,never_assessed,,31.0,223,,10.1002/ab.22088,https://osf.io/fuz6h/overview,"Hyatt, C. S., Lynam, D. R., West, S. J., Chester, D. S., Carter, N. T., & Miller, J. D. (2023). Development of a measure of aggressive behavior expectancies in adults: The Aggression Expectancy Questionnaire. Aggressive Behavior, 49, 521–535."
10.1002/ab.22088,hyatt_2023_aggression_s3_srp4,never_assessed,,64.0,218,,10.1002/ab.22088,https://osf.io/fuz6h/overview,"Hyatt, C. S., Lynam, D. R., West, S. J., Chester, D. S., Carter, N. T., & Miller, J. D. (2023). Development of a measure of aggressive behavior expectancies in adults: The Aggression Expectancy Questionnaire. Aggressive Behavior, 49, 521–535."
10.1002/ab.22088,hyatt_2023_aggression_s3_ssis,never_assessed,,10.0,229,,10.1002/ab.22088,https://osf.io/fuz6h/overview,"Hyatt, C. S., Lynam, D. R., West, S. J., Chester, D. S., Carter, N. T., & Miller, J. D. (2023). Development of a measure of aggressive behavior expectancies in adults: The Aggression Expectancy Questionnaire. Aggressive Behavior, 49, 521–535."
10.1002/ab.22145,BPAQ_Christopher_2024_BPAQSF,never_assessed,,12.0,170,,10.1002/ab.22145,https://osf.io/bskn9/,"Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145."
10.1002/ab.22145,BPAQ_Christopher_2024_FFMQSF,never_assessed,,15.0,170,,10.1002/ab.22145,https://osf.io/bskn9/,"Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145."
