"table","note"
"brain_hemisphere","Open Hemispheric Brain Dominance Scale (OHBDS), openpsychometrics.org OHBDS-data.zip. Codebook.txt gives all 20 items verbatim against the data file's Q1-Q20 headers; IRW item codes are those headers with the 'q' stripped (number-preserving). Scale is 5 points with only 1=Disagree, 3=Neutral, 5=Agree labelled, so option_text is blank at 2 and 4. All 20 items use all 5 levels in the live data. NOTE: the current online version of this test has 24 items; this 2015-16 dataset has 20."
"brand_raffaelli_2024_familiarity_24","ITEM CODES DO NOT IDENTIFY BRANDS. The Study 3 Qualtrics surveys (Brand_Name_Prolific_2024.qsf / Brand_Logos_Prolific_2024.qsf) randomise each respondent into one of ten brand lists (Condition = List_1..List_10); ' Data/index_match_2024.xlsx' maps question_number 1-59 x List 1-10 onto 590 distinct brand IDs (e.g. question 1 = brand 48 'Target' in List_1, 226 'BD' in List_2). data/brand_brand_raffaelli_2024.r drops the Condition column, so the brand behind each response is unrecoverable from the live table. Shipped the verbatim rating stem and the verbatim scale anchors only; no brand names. The Qualtrics column labels (e.g. '1_Brand_familiarity' = 'Target - ...') describe List_1 only and would be wrong for ~90% of respondents. Live resp 1-7 matches the raw files cell-for-cell (route 9)."
"brand_raffaelli_2024_liking_20","Same ten-list randomisation as the 2024 sibling, independently confirmed for Study 1: index_match.xlsx is 50 question_numbers x 10 lists, and all four Study 1 raw files carry Condition = List_1..List_10. Item codes are loop positions, not brands; shipped stem + anchors only. SEPARATE DEFECT FOUND (response data, not item text): data/brand_brand_raffaelli_2024.r applies mapping c('2'=1,'4'=2,'5'=3,'6'=4,'7'=5,'8'=6,'9'=7) to the Logo Familiarity-Liking 2020 file, but that survey's Qualtrics choice IDs are 9='Dislike/1', 2=2, 4=3, 5=4, 6=5, 7=6, 8='Like/7'. The correct map is 9->1, 2->2, 4->3, 5->4, 6->5, 7->6, 8->7. As shipped, the ~305 'lp' respondents (15,250 rows, 25% of the table) have liking scores shifted one point down for raw 2-8 and their 'Dislike' responses stored as 7. Also: item 51_liking exists only in the brand-name Prolific subsample (300 rows) because that survey had 51 rating slots to the others' 50, and its Qualtrics label carries no brand at all. | AUDIT WARN EXPLAINED (orchestrator): the row-count anomaly on 51_liking is real and expected -- that loop position exists ONLY in the brand-name subsample (the 2020 logo survey had 50 rating slots, the name survey 51), so it has ~300 rows against a median of 1,197. Not code conflation. The 71% blank option_text is by design: only the 1/7 endpoints are labelled, 2-6 correctly blank."
"brand_raffaelli_2024_liking_24","Item codes do NOT identify a brand. The Qualtrics loop table has 59 rows x 10 brand fields, and a block randomizer assigns each respondent to one of ten lists (embedded field `Condition`), so item `N_liking` covers ten different brands across respondents. Confirmed empirically: 1_Brand_familiarity averages 6.61 in List_1 (Target) vs 1.90 in List_8. The IRW processing script drops `Condition`, so the brand rated is unrecoverable from the live table; only the (item-invariant) rating question and the 1=Dislike/7=Like anchors could be shipped. Adding cov_condition to the IRW table would make the brand recoverable via Brands 2024.xlsx + the .qsf loop tables."
"brand_raffaelli_2024_liking_24","The table pools a brand-name condition and a logo condition (item_family = name/logo) from two separate surveys with separate instructions; item N refers to the same brand in both (verified: logo-survey loop labels are ranks in Brands 2024.xlsx, and rank->brand matched the name-survey label for all 59 items)."
"brederecke_2020_phq4","Item text is the .sav's own English variable labels (the instrument was administered in German); the PHQ-4 stem used as `instructions` comes from the published PHQ-4, not from the study file."
"brederecke_2020_sis","SIS items 4 and 9 are stored reverse-coded ('SIS Item 4 recoded' / 'SIS Item 9 recoded' in the .sav), so their option anchors are shipped reversed: resp 1 = strongly agree, 5 = strongly disagree. All 11 items correlate positively, consistent with the recode."
"broadband_inventories","Identified as the Analog to Multiple Broadband Inventories (AMBI; Yarkoni 2010), openpsychometrics.org AMBI_data_Dec2019 package (CC0-style public data release). Step 3b: this is ONE administered 181-item IPIP instrument, not a pool of several instruments -- the name refers to the AMBI's purpose of reproducing scales from 8 broadband inventories (NEO-PI-R, HEXACO, TCI, HPI, SFPQ, CPI, JPI-R, MPQ) from a single item set; all 181 items share one 7-point agree/disagree scale. data/broadband_inventories.R lowercases the header and derives item = column name minus the leading 'q' and trailing 'a' (Q17A -> 17), a number-preserving rename, and the package codebook keys each Q-number to its verbatim statement. Verified by exact per-item mean match (max abs diff 0.000 over 181 items) between live IRW data and the raw data.csv Q{n}A columns; a one-position shift gives max diff 4. Item text decoded from HTML entities (&apos; -> ', &quot; -> ""); source typos kept verbatim (Q18 'when Im feeling badly'). Instructions taken from the test's landing page, which says 'five point scale' although the administered scale has seven points -- transcribed literally and flagged in public_note."
"buczel_2022_inoculation_belief","Belief rating scales from Buczel et al. 2022 (PLOS ONE 10.1371/journal.pone.0267463); item wording from S2 File Appendix C [Belief scales], scenario texts in Appendix B, design variants in Appendix D. The 6 IRW items are the S1 xlsx column names (verbatim, self-describing: source type x misinformation/retraction). By design each participant saw one of six counterbalanced scenario configurations, so a given item's concrete wording differs per participant across six scenarios; shipped item_text states the item's condition and quotes Scenario 1 (Water contamination) as the example wording. Response scale is the paper's 0-10 agreement scale, stored in the raw xlsx and the IRW table as 1-11 (offset +1, confirmed: raw values run exactly 1..11 with no zeros); option_text therefore carries the displayed numeric anchors 0..10, which are intentionally not equal to resp. No text-level labels exist in the xlsx (plain data, no variable labels)."
"bukurov_2022_sf36","SF-36 block of the S5 Appendix .sav from Bukurov et al. 2022 (PLOS ONE 10.1371/journal.pone.0274513). The .sav's variable labels tie every column to its item ('SF36 Q23: Full of pep. Visit 1' etc.) and the processing script keeps the column name minus the _V1 suffix, so the code->item tie is at the source. Step 3b confirmed the live set IS the standard 36-item SF-36 in RAND-36 numbering: per-item response ranges match the instrument's mixed formats exactly (Q1,Q2,Q20,Q22,Q32-Q36 = 5 levels; Q3-Q12 = 3; Q13-Q19 = 2; Q21,Q23-Q31 = 6). Option sets are subscale-specific and were assigned per item accordingly. Coding direction verified against the .sav's own recoded '_highgood' companion columns by crosstab: raw 1 = Excellent (Q1), = 'Yes, limited a lot' (Q3-Q12), = 'Yes' (Q13-Q19), = 'Not at all' (Q20/Q22), = 'None' (Q21), = 'All of the time' (Q23-Q31, Q32), = 'Definitely true' (Q33-Q36) -- i.e. the canonical 1..k presentation order, unrecoded. Variable labels are terse summaries, so the shipped words are the public-domain English RAND 36-Item Health Survey wording; the study administered a Serbian SF-36, so text is canonical, not as-administered. Six section_ids used because the SF-36 has genuine shared stems (Q3-Q12, Q13-Q16, Q17-Q19, Q23-Q31, Q33-Q36); standalone items sit in a blank-prompt section _1."
