"table","status","n_items_live","n_items_candidate","item_set_match","resp_set_match","uses_raw_resp","canonical_nulls","pct_item_text_missing","pct_option_text_missing","note"
"brain_hemisphere","PASS",20,20,TRUE,TRUE,FALSE,TRUE,0,40,"40% of rows have blank option_text"
"brand_raffaelli_2024_familiarity_24","PASS",59,59,TRUE,TRUE,FALSE,TRUE,0,71.4,"71.4% of rows have blank option_text"
"brand_raffaelli_2024_liking_20","WARN",51,51,TRUE,TRUE,FALSE,TRUE,0,71.4,"row-count anomaly (possible item-code conflation or missingness skew), median=1197: 51_liking | 71.4% of rows have blank option_text"
"brand_raffaelli_2024_liking_24","PASS",59,59,TRUE,TRUE,FALSE,TRUE,0,71.4,"71.4% of rows have blank option_text"
"brederecke_2020_phq4","PASS",4,4,TRUE,TRUE,FALSE,TRUE,0,0,""
"brederecke_2020_sis","PASS",11,11,TRUE,TRUE,FALSE,TRUE,0,60,"60% of rows have blank option_text"
"broadband_inventories","PASS",181,181,TRUE,TRUE,FALSE,TRUE,0,0,""
"buczel_2022_inoculation_belief","PASS",6,6,TRUE,TRUE,FALSE,TRUE,0,0,""
"bukurov_2022_sf36","PASS",36,36,TRUE,TRUE,FALSE,TRUE,0,0,""
"burgess_2025_soas","PASS",6,6,TRUE,TRUE,FALSE,TRUE,0,0,""
"burkert_2019_whoqol_bref","PASS",26,26,TRUE,TRUE,FALSE,TRUE,0,0,""
"busch_2022_course_alleviate","PASS",13,13,TRUE,TRUE,FALSE,TRUE,0,0,""
