"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"khoa_2023_assurance","khoa_2023_assurance_1","ASS1","Academic Staff Satisfaction (ASS), from the questionnaire of Khoa & Huynh (2023), The effectiveness of knowledge management systems in motivation and satisfaction in higher education institutions: Data from Vietnam","Please indicate your opinion by circling (or marking an X) the number that best describes your level of agreement with each of the following statements: 1 = Totally disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Totally agree.",NA,"I have a strong commitment to the knowledge management initiatives at my workplace.",NA,"Totally disagree",1
"khoa_2023_assurance","khoa_2023_assurance_1","ASS1","Academic Staff Satisfaction (ASS), from the questionnaire of Khoa & Huynh (2023), The effectiveness of knowledge management systems in motivation and satisfaction in higher education institutions: Data from Vietnam","Please indicate your opinion by circling (or marking an X) the number that best describes your level of agreement with each of the following statements: 1 = Totally disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Totally agree.",NA,"I have a strong commitment to the knowledge management initiatives at my workplace.",NA,"Disagree",2
"khoa_2023_assurance","khoa_2023_assurance_1","ASS1","Academic Staff Satisfaction (ASS), from the questionnaire of Khoa & Huynh (2023), The effectiveness of knowledge management systems in motivation and satisfaction in higher education institutions: Data from Vietnam","Please indicate your opinion by circling (or marking an X) the number that best describes your level of agreement with each of the following statements: 1 = Totally disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Totally agree.",NA,"I have a strong commitment to the knowledge management initiatives at my workplace.",NA,"Neutral",3
"khoa_2023_assurance","khoa_2023_assurance_1","ASS1","Academic Staff Satisfaction (ASS), from the questionnaire of Khoa & Huynh (2023), The effectiveness of knowledge management systems in motivation and satisfaction in higher education institutions: Data from Vietnam","Please indicate your opinion by circling (or marking an X) the number that best describes your level of agreement with each of the following statements: 1 = Totally disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Totally agree.",NA,"I have a strong commitment to the knowledge management initiatives at my workplace.",NA,"Agree",4
"khoa_2023_assurance","khoa_2023_assurance_1","ASS1","Academic Staff Satisfaction (ASS), from the questionnaire of Khoa & Huynh (2023), The effectiveness of knowledge management systems in motivation and satisfaction in higher education institutions: Data from Vietnam","Please indicate your opinion by circling (or marking an X) the number that best describes your level of agreement with each of the following statements: 1 = Totally disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Totally agree.",NA,"I have a strong commitment to the knowledge management initiatives at my workplace.",NA,"Totally agree",5
"khoa_2023_assurance","khoa_2023_assurance_1","ASS2","Academic Staff Satisfaction (ASS), from the questionnaire of Khoa & Huynh (2023), The effectiveness of knowledge management systems in motivation and satisfaction in higher education institutions: Data from Vietnam","Please indicate your opinion by circling (or marking an X) the number that best describes your level of agreement with each of the following statements: 1 = Totally disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Totally agree.",NA,"Thanks to its dedication to knowledge management, I am glad they have a chance to further their education at this university.",NA,"Totally disagree",1
"khoa_2023_assurance","khoa_2023_assurance_1","ASS2","Academic Staff Satisfaction (ASS), from the questionnaire of Khoa & Huynh (2023), The effectiveness of knowledge management systems in motivation and satisfaction in higher education institutions: Data from Vietnam","Please indicate your opinion by circling (or marking an X) the number that best describes your level of agreement with each of the following statements: 1 = Totally disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Totally agree.",NA,"Thanks to its dedication to knowledge management, I am glad they have a chance to further their education at this university.",NA,"Disagree",2
"khoa_2023_assurance","khoa_2023_assurance_1","ASS2","Academic Staff Satisfaction (ASS), from the questionnaire of Khoa & Huynh (2023), The effectiveness of knowledge management systems in motivation and satisfaction in higher education institutions: Data from Vietnam","Please indicate your opinion by circling (or marking an X) the number that best describes your level of agreement with each of the following statements: 1 = Totally disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Totally agree.",NA,"Thanks to its dedication to knowledge management, I am glad they have a chance to further their education at this university.",NA,"Neutral",3
"khoa_2023_assurance","khoa_2023_assurance_1","ASS2","Academic Staff Satisfaction (ASS), from the questionnaire of Khoa & Huynh (2023), The effectiveness of knowledge management systems in motivation and satisfaction in higher education institutions: Data from Vietnam","Please indicate your opinion by circling (or marking an X) the number that best describes your level of agreement with each of the following statements: 1 = Totally disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Totally agree.",NA,"Thanks to its dedication to knowledge management, I am glad they have a chance to further their education at this university.",NA,"Agree",4
"khoa_2023_assurance","khoa_2023_assurance_1","ASS2","Academic Staff Satisfaction (ASS), from the questionnaire of Khoa & Huynh (2023), The effectiveness of knowledge management systems in motivation and satisfaction in higher education institutions: Data from Vietnam","Please indicate your opinion by circling (or marking an X) the number that best describes your level of agreement with each of the following statements: 1 = Totally disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Totally agree.",NA,"Thanks to its dedication to knowledge management, I am glad they have a chance to further their education at this university.",NA,"Totally agree",5
