"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"khoa_2023_teaching_materials","khoa_2023_teaching_materials_1","TEM1","Teaching Motivation (TEM)","Please indicate your opinion by circling (or marking an X) the number that best describes your level of agreement with each of the following statements: 1 = Totally disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Totally agree.",NA,"Knowledge gained via the institution's knowledge management procedures is essential for the education of its students.",NA,"Totally disagree",1
"khoa_2023_teaching_materials","khoa_2023_teaching_materials_1","TEM1","Teaching Motivation (TEM)","Please indicate your opinion by circling (or marking an X) the number that best describes your level of agreement with each of the following statements: 1 = Totally disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Totally agree.",NA,"Knowledge gained via the institution's knowledge management procedures is essential for the education of its students.",NA,"Disagree",2
"khoa_2023_teaching_materials","khoa_2023_teaching_materials_1","TEM1","Teaching Motivation (TEM)","Please indicate your opinion by circling (or marking an X) the number that best describes your level of agreement with each of the following statements: 1 = Totally disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Totally agree.",NA,"Knowledge gained via the institution's knowledge management procedures is essential for the education of its students.",NA,"Neutral",3
"khoa_2023_teaching_materials","khoa_2023_teaching_materials_1","TEM1","Teaching Motivation (TEM)","Please indicate your opinion by circling (or marking an X) the number that best describes your level of agreement with each of the following statements: 1 = Totally disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Totally agree.",NA,"Knowledge gained via the institution's knowledge management procedures is essential for the education of its students.",NA,"Agree",4
"khoa_2023_teaching_materials","khoa_2023_teaching_materials_1","TEM1","Teaching Motivation (TEM)","Please indicate your opinion by circling (or marking an X) the number that best describes your level of agreement with each of the following statements: 1 = Totally disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Totally agree.",NA,"Knowledge gained via the institution's knowledge management procedures is essential for the education of its students.",NA,"Totally agree",5
"khoa_2023_teaching_materials","khoa_2023_teaching_materials_1","TEM2","Teaching Motivation (TEM)","Please indicate your opinion by circling (or marking an X) the number that best describes your level of agreement with each of the following statements: 1 = Totally disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Totally agree.",NA,"Thanks to the resources provided by the institution, I have become an expert in my field and can pass that knowledge on to my students.",NA,"Totally disagree",1
"khoa_2023_teaching_materials","khoa_2023_teaching_materials_1","TEM2","Teaching Motivation (TEM)","Please indicate your opinion by circling (or marking an X) the number that best describes your level of agreement with each of the following statements: 1 = Totally disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Totally agree.",NA,"Thanks to the resources provided by the institution, I have become an expert in my field and can pass that knowledge on to my students.",NA,"Disagree",2
"khoa_2023_teaching_materials","khoa_2023_teaching_materials_1","TEM2","Teaching Motivation (TEM)","Please indicate your opinion by circling (or marking an X) the number that best describes your level of agreement with each of the following statements: 1 = Totally disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Totally agree.",NA,"Thanks to the resources provided by the institution, I have become an expert in my field and can pass that knowledge on to my students.",NA,"Neutral",3
"khoa_2023_teaching_materials","khoa_2023_teaching_materials_1","TEM2","Teaching Motivation (TEM)","Please indicate your opinion by circling (or marking an X) the number that best describes your level of agreement with each of the following statements: 1 = Totally disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Totally agree.",NA,"Thanks to the resources provided by the institution, I have become an expert in my field and can pass that knowledge on to my students.",NA,"Agree",4
"khoa_2023_teaching_materials","khoa_2023_teaching_materials_1","TEM2","Teaching Motivation (TEM)","Please indicate your opinion by circling (or marking an X) the number that best describes your level of agreement with each of the following statements: 1 = Totally disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Totally agree.",NA,"Thanks to the resources provided by the institution, I have become an expert in my field and can pass that knowledge on to my students.",NA,"Totally agree",5
"khoa_2023_teaching_materials","khoa_2023_teaching_materials_1","TEM3","Teaching Motivation (TEM)","Please indicate your opinion by circling (or marking an X) the number that best describes your level of agreement with each of the following statements: 1 = Totally disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Totally agree.",NA,"I hope that the issue will pique the curiosity of others",NA,"Totally disagree",1
"khoa_2023_teaching_materials","khoa_2023_teaching_materials_1","TEM3","Teaching Motivation (TEM)","Please indicate your opinion by circling (or marking an X) the number that best describes your level of agreement with each of the following statements: 1 = Totally disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Totally agree.",NA,"I hope that the issue will pique the curiosity of others",NA,"Disagree",2
