"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","item_text","item_text_translated","correct_response","resp","option_text","option_text_translated"
"liu_2023_adherence_barrier","liu_2023_adherence_barrier_1","liu_2023_adherence_barrier_1","Hypertension doctors' medication adherence questionnaire (Liu et al., 2023), Q26 barriers checklist","Chinese","您认为下列哪些因素是医生提高患者药物依从性的阻力之一 [多选题]","What do you think are obstacles in improving medication adherence? [Multiple choice questions]",NA,"医生对药物依从性认识不足","Lack of knowledge",NA,0,"未选择","Not selected"
"liu_2023_adherence_barrier","liu_2023_adherence_barrier_1","liu_2023_adherence_barrier_1","Hypertension doctors' medication adherence questionnaire (Liu et al., 2023), Q26 barriers checklist","Chinese","您认为下列哪些因素是医生提高患者药物依从性的阻力之一 [多选题]","What do you think are obstacles in improving medication adherence? [Multiple choice questions]",NA,"医生对药物依从性认识不足","Lack of knowledge",NA,1,"已选择","Selected"
"liu_2023_adherence_barrier","liu_2023_adherence_barrier_1","liu_2023_adherence_barrier_2","Hypertension doctors' medication adherence questionnaire (Liu et al., 2023), Q26 barriers checklist","Chinese","您认为下列哪些因素是医生提高患者药物依从性的阻力之一 [多选题]","What do you think are obstacles in improving medication adherence? [Multiple choice questions]",NA,"缺乏其他配合者（如药师）","Lack of cooperation",NA,0,"未选择","Not selected"
"liu_2023_adherence_barrier","liu_2023_adherence_barrier_1","liu_2023_adherence_barrier_2","Hypertension doctors' medication adherence questionnaire (Liu et al., 2023), Q26 barriers checklist","Chinese","您认为下列哪些因素是医生提高患者药物依从性的阻力之一 [多选题]","What do you think are obstacles in improving medication adherence? [Multiple choice questions]",NA,"缺乏其他配合者（如药师）","Lack of cooperation",NA,1,"已选择","Selected"
"liu_2023_adherence_barrier","liu_2023_adherence_barrier_1","liu_2023_adherence_barrier_3","Hypertension doctors' medication adherence questionnaire (Liu et al., 2023), Q26 barriers checklist","Chinese","您认为下列哪些因素是医生提高患者药物依从性的阻力之一 [多选题]","What do you think are obstacles in improving medication adherence? [Multiple choice questions]",NA,"病人数量多，临床工作繁重","Heavy clinical work",NA,0,"未选择","Not selected"
"liu_2023_adherence_barrier","liu_2023_adherence_barrier_1","liu_2023_adherence_barrier_3","Hypertension doctors' medication adherence questionnaire (Liu et al., 2023), Q26 barriers checklist","Chinese","您认为下列哪些因素是医生提高患者药物依从性的阻力之一 [多选题]","What do you think are obstacles in improving medication adherence? [Multiple choice questions]",NA,"病人数量多，临床工作繁重","Heavy clinical work",NA,1,"已选择","Selected"
"liu_2023_adherence_barrier","liu_2023_adherence_barrier_1","liu_2023_adherence_barrier_4","Hypertension doctors' medication adherence questionnaire (Liu et al., 2023), Q26 barriers checklist","Chinese","您认为下列哪些因素是医生提高患者药物依从性的阻力之一 [多选题]","What do you think are obstacles in improving medication adherence? [Multiple choice questions]",NA,"高血压非本次患者就诊主要原因","Visits not for hypertension",NA,0,"未选择","Not selected"
"liu_2023_adherence_barrier","liu_2023_adherence_barrier_1","liu_2023_adherence_barrier_4","Hypertension doctors' medication adherence questionnaire (Liu et al., 2023), Q26 barriers checklist","Chinese","您认为下列哪些因素是医生提高患者药物依从性的阻力之一 [多选题]","What do you think are obstacles in improving medication adherence? [Multiple choice questions]",NA,"高血压非本次患者就诊主要原因","Visits not for hypertension",NA,1,"已选择","Selected"
"liu_2023_adherence_barrier","liu_2023_adherence_barrier_1","liu_2023_adherence_barrier_5","Hypertension doctors' medication adherence questionnaire (Liu et al., 2023), Q26 barriers checklist","Chinese","您认为下列哪些因素是医生提高患者药物依从性的阻力之一 [多选题]","What do you think are obstacles in improving medication adherence? [Multiple choice questions]",NA,"医患关系紧张","Strained doctor-patient relation",NA,0,"未选择","Not selected"
"liu_2023_adherence_barrier","liu_2023_adherence_barrier_1","liu_2023_adherence_barrier_5","Hypertension doctors' medication adherence questionnaire (Liu et al., 2023), Q26 barriers checklist","Chinese","您认为下列哪些因素是医生提高患者药物依从性的阻力之一 [多选题]","What do you think are obstacles in improving medication adherence? [Multiple choice questions]",NA,"医患关系紧张","Strained doctor-patient relation",NA,1,"已选择","Selected"
