"table","section_id","item","instrument","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp","language"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","Pensando en el ingreso mensual total de su hogar, incluyendo sueldos, ingresos de negocios o actividades remuneradas, pensiones, bonos, arriendos, dinero aportado por familiares. En comparación al último trimestre del año 2022, usted diría que el mes pasado este ingreso:","Thinking about your household's total monthly income, including wages, income from businesses or paid activities, pensions, bonuses, rents, and money contributed by relatives. Compared with the last quarter of 2022, would you say that last month this income:",NA,"Aumentó","Increased",1,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","Pensando en el ingreso mensual total de su hogar, incluyendo sueldos, ingresos de negocios o actividades remuneradas, pensiones, bonos, arriendos, dinero aportado por familiares. En comparación al último trimestre del año 2022, usted diría que el mes pasado este ingreso:","Thinking about your household's total monthly income, including wages, income from businesses or paid activities, pensions, bonuses, rents, and money contributed by relatives. Compared with the last quarter of 2022, would you say that last month this income:",NA,"Se mantuvo igual","Stayed the same",2,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","Pensando en el ingreso mensual total de su hogar, incluyendo sueldos, ingresos de negocios o actividades remuneradas, pensiones, bonos, arriendos, dinero aportado por familiares. En comparación al último trimestre del año 2022, usted diría que el mes pasado este ingreso:","Thinking about your household's total monthly income, including wages, income from businesses or paid activities, pensions, bonuses, rents, and money contributed by relatives. Compared with the last quarter of 2022, would you say that last month this income:",NA,"Disminuyó","Decreased",3,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy2","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","Un hogar puede tener distintas fuentes de ingresos y puede contribuir más de una persona integrante del hogar. Pensando en los ingresos totales mensuales de su hogar, actualmente, ¿su hogar puede llegar a fin de mes...?","A household can have different sources of income and more than one household member can contribute. Thinking about your household's total monthly income, currently, can your household make ends meet...?",NA,"Con mucha dificultad","With great difficulty",1,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy2","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","Un hogar puede tener distintas fuentes de ingresos y puede contribuir más de una persona integrante del hogar. Pensando en los ingresos totales mensuales de su hogar, actualmente, ¿su hogar puede llegar a fin de mes...?","A household can have different sources of income and more than one household member can contribute. Thinking about your household's total monthly income, currently, can your household make ends meet...?",NA,"Con dificultad","With difficulty",2,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy2","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","Un hogar puede tener distintas fuentes de ingresos y puede contribuir más de una persona integrante del hogar. Pensando en los ingresos totales mensuales de su hogar, actualmente, ¿su hogar puede llegar a fin de mes...?","A household can have different sources of income and more than one household member can contribute. Thinking about your household's total monthly income, currently, can your household make ends meet...?",NA,"Ni con dificultad ni con facilidad.","Neither with difficulty nor with ease.",3,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy2","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","Un hogar puede tener distintas fuentes de ingresos y puede contribuir más de una persona integrante del hogar. Pensando en los ingresos totales mensuales de su hogar, actualmente, ¿su hogar puede llegar a fin de mes...?","A household can have different sources of income and more than one household member can contribute. Thinking about your household's total monthly income, currently, can your household make ends meet...?",NA,"Con facilidad","With ease",4,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy2","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","Un hogar puede tener distintas fuentes de ingresos y puede contribuir más de una persona integrante del hogar. Pensando en los ingresos totales mensuales de su hogar, actualmente, ¿su hogar puede llegar a fin de mes...?","A household can have different sources of income and more than one household member can contribute. Thinking about your household's total monthly income, currently, can your household make ends meet...?",NA,"Con mucha facilidad","With great ease",5,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,60000,"Spanish"
"chile_2023_social-welfare-survey_yy","chile_2023_social-welfare-survey_yy_1","yy3","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile","A continuación, le haré unas preguntas relacionadas a su percepción sobre sus ingresos.","Next, I will ask you some questions about your perception of your income.","Módulo Y: Ingresos","Module Y: Income","En su opinión, ¿de cuánto sería un ingreso suficiente para alcanzar a cubrir todas las necesidades de su hogar durante un mes?","In your opinion, how much income would be enough to cover all of your household's needs for one month?",NA,NA,NA,100000,"Spanish"
