"table","section_id","item","instrument","instructions","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp","language"
"chile_2023_social-welfare-survey_a","chile_2023_social-welfare-survey_a_1","a1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"A continuación, le haré unas preguntas sobre su satisfacción con respecto a su vida y otros ámbitos.","Next, I will ask you some questions about your satisfaction with your life and other areas.","Considerando todas las cosas, ¿qué tan satisfecho(a) o insatisfecho(a) se encuentra actualmente con su vida?, considere una escala del 1 al 5, donde 1 es totalmente insatisfecho(a), 2 insatisfecho(a), 3 indiferente, 4 satisfecho(a) y 5 totalmente satisfecho(a)","All things considered, how satisfied or dissatisfied are you with your life at present? Consider a scale from 1 to 5, where 1 is totally dissatisfied, 2 dissatisfied, 3 indifferent, 4 satisfied and 5 totally satisfied",NA,"Totalmente insatisfecho(a)","Totally dissatisfied",1,"Spanish"
"chile_2023_social-welfare-survey_a","chile_2023_social-welfare-survey_a_1","a1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"A continuación, le haré unas preguntas sobre su satisfacción con respecto a su vida y otros ámbitos.","Next, I will ask you some questions about your satisfaction with your life and other areas.","Considerando todas las cosas, ¿qué tan satisfecho(a) o insatisfecho(a) se encuentra actualmente con su vida?, considere una escala del 1 al 5, donde 1 es totalmente insatisfecho(a), 2 insatisfecho(a), 3 indiferente, 4 satisfecho(a) y 5 totalmente satisfecho(a)","All things considered, how satisfied or dissatisfied are you with your life at present? Consider a scale from 1 to 5, where 1 is totally dissatisfied, 2 dissatisfied, 3 indifferent, 4 satisfied and 5 totally satisfied",NA,"Insatisfecho(a)","Dissatisfied",2,"Spanish"
"chile_2023_social-welfare-survey_a","chile_2023_social-welfare-survey_a_1","a1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"A continuación, le haré unas preguntas sobre su satisfacción con respecto a su vida y otros ámbitos.","Next, I will ask you some questions about your satisfaction with your life and other areas.","Considerando todas las cosas, ¿qué tan satisfecho(a) o insatisfecho(a) se encuentra actualmente con su vida?, considere una escala del 1 al 5, donde 1 es totalmente insatisfecho(a), 2 insatisfecho(a), 3 indiferente, 4 satisfecho(a) y 5 totalmente satisfecho(a)","All things considered, how satisfied or dissatisfied are you with your life at present? Consider a scale from 1 to 5, where 1 is totally dissatisfied, 2 dissatisfied, 3 indifferent, 4 satisfied and 5 totally satisfied",NA,"Indiferente","Indifferent",3,"Spanish"
"chile_2023_social-welfare-survey_a","chile_2023_social-welfare-survey_a_1","a1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"A continuación, le haré unas preguntas sobre su satisfacción con respecto a su vida y otros ámbitos.","Next, I will ask you some questions about your satisfaction with your life and other areas.","Considerando todas las cosas, ¿qué tan satisfecho(a) o insatisfecho(a) se encuentra actualmente con su vida?, considere una escala del 1 al 5, donde 1 es totalmente insatisfecho(a), 2 insatisfecho(a), 3 indiferente, 4 satisfecho(a) y 5 totalmente satisfecho(a)","All things considered, how satisfied or dissatisfied are you with your life at present? Consider a scale from 1 to 5, where 1 is totally dissatisfied, 2 dissatisfied, 3 indifferent, 4 satisfied and 5 totally satisfied",NA,"Satisfecho(a)","Satisfied",4,"Spanish"
"chile_2023_social-welfare-survey_a","chile_2023_social-welfare-survey_a_1","a1","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"A continuación, le haré unas preguntas sobre su satisfacción con respecto a su vida y otros ámbitos.","Next, I will ask you some questions about your satisfaction with your life and other areas.","Considerando todas las cosas, ¿qué tan satisfecho(a) o insatisfecho(a) se encuentra actualmente con su vida?, considere una escala del 1 al 5, donde 1 es totalmente insatisfecho(a), 2 insatisfecho(a), 3 indiferente, 4 satisfecho(a) y 5 totalmente satisfecho(a)","All things considered, how satisfied or dissatisfied are you with your life at present? Consider a scale from 1 to 5, where 1 is totally dissatisfied, 2 dissatisfied, 3 indifferent, 4 satisfied and 5 totally satisfied",NA,"Totalmente satisfecho(a)","Totally satisfied",5,"Spanish"
"chile_2023_social-welfare-survey_a","chile_2023_social-welfare-survey_a_1","a10","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"A continuación, le haré unas preguntas sobre su satisfacción con respecto a su vida y otros ámbitos.","Next, I will ask you some questions about your satisfaction with your life and other areas.","¿Cuán satisfecho(a) o insatisfecho(a) está usted con la situación medioambiental de su comuna o localidad?, donde 1 es totalmente insatisfecho(a), 2 insatisfecho(a), 3 indiferente, 4 satisfecho(a) y 5 totalmente satisfecho(a).","How satisfied or dissatisfied are you with the environmental situation of your municipality or locality? Where 1 is totally dissatisfied, 2 dissatisfied, 3 indifferent, 4 satisfied and 5 totally satisfied.",NA,"Totalmente insatisfecho(a)","Totally dissatisfied",1,"Spanish"
"chile_2023_social-welfare-survey_a","chile_2023_social-welfare-survey_a_1","a10","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"A continuación, le haré unas preguntas sobre su satisfacción con respecto a su vida y otros ámbitos.","Next, I will ask you some questions about your satisfaction with your life and other areas.","¿Cuán satisfecho(a) o insatisfecho(a) está usted con la situación medioambiental de su comuna o localidad?, donde 1 es totalmente insatisfecho(a), 2 insatisfecho(a), 3 indiferente, 4 satisfecho(a) y 5 totalmente satisfecho(a).","How satisfied or dissatisfied are you with the environmental situation of your municipality or locality? Where 1 is totally dissatisfied, 2 dissatisfied, 3 indifferent, 4 satisfied and 5 totally satisfied.",NA,"Insatisfecho(a)","Dissatisfied",2,"Spanish"
"chile_2023_social-welfare-survey_a","chile_2023_social-welfare-survey_a_1","a10","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"A continuación, le haré unas preguntas sobre su satisfacción con respecto a su vida y otros ámbitos.","Next, I will ask you some questions about your satisfaction with your life and other areas.","¿Cuán satisfecho(a) o insatisfecho(a) está usted con la situación medioambiental de su comuna o localidad?, donde 1 es totalmente insatisfecho(a), 2 insatisfecho(a), 3 indiferente, 4 satisfecho(a) y 5 totalmente satisfecho(a).","How satisfied or dissatisfied are you with the environmental situation of your municipality or locality? Where 1 is totally dissatisfied, 2 dissatisfied, 3 indifferent, 4 satisfied and 5 totally satisfied.",NA,"Indiferente","Indifferent",3,"Spanish"
"chile_2023_social-welfare-survey_a","chile_2023_social-welfare-survey_a_1","a10","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"A continuación, le haré unas preguntas sobre su satisfacción con respecto a su vida y otros ámbitos.","Next, I will ask you some questions about your satisfaction with your life and other areas.","¿Cuán satisfecho(a) o insatisfecho(a) está usted con la situación medioambiental de su comuna o localidad?, donde 1 es totalmente insatisfecho(a), 2 insatisfecho(a), 3 indiferente, 4 satisfecho(a) y 5 totalmente satisfecho(a).","How satisfied or dissatisfied are you with the environmental situation of your municipality or locality? Where 1 is totally dissatisfied, 2 dissatisfied, 3 indifferent, 4 satisfied and 5 totally satisfied.",NA,"Satisfecho(a)","Satisfied",4,"Spanish"
"chile_2023_social-welfare-survey_a","chile_2023_social-welfare-survey_a_1","a10","Encuesta de Bienestar Social 2023 (EBS 2023), Subsecretaría de Evaluación Social / Instituto Nacional de Estadísticas, Chile",NA,"A continuación, le haré unas preguntas sobre su satisfacción con respecto a su vida y otros ámbitos.","Next, I will ask you some questions about your satisfaction with your life and other areas.","¿Cuán satisfecho(a) o insatisfecho(a) está usted con la situación medioambiental de su comuna o localidad?, donde 1 es totalmente insatisfecho(a), 2 insatisfecho(a), 3 indiferente, 4 satisfecho(a) y 5 totalmente satisfecho(a).","How satisfied or dissatisfied are you with the environmental situation of your municipality or locality? Where 1 is totally dissatisfied, 2 dissatisfied, 3 indifferent, 4 satisfied and 5 totally satisfied.",NA,"Totalmente satisfecho(a)","Totally satisfied",5,"Spanish"
