"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"li_2025_socmedia_enjoyment","li_2025_socmedia_enjoyment_1","PE1","Perceived enjoyment scale (Al-Adwan et al., 2023)","Chinese",NA,NA,"使用社交媒体使体育旅行更具有趣味性","Using social media makes sports tourism more enjoyable.",NA,"非常不赞同","Strongly disagree",1
"li_2025_socmedia_enjoyment","li_2025_socmedia_enjoyment_1","PE1","Perceived enjoyment scale (Al-Adwan et al., 2023)","Chinese",NA,NA,"使用社交媒体使体育旅行更具有趣味性","Using social media makes sports tourism more enjoyable.",NA,"不赞同","Disagree",2
"li_2025_socmedia_enjoyment","li_2025_socmedia_enjoyment_1","PE1","Perceived enjoyment scale (Al-Adwan et al., 2023)","Chinese",NA,NA,"使用社交媒体使体育旅行更具有趣味性","Using social media makes sports tourism more enjoyable.",NA,"中立","Neutral",3
"li_2025_socmedia_enjoyment","li_2025_socmedia_enjoyment_1","PE1","Perceived enjoyment scale (Al-Adwan et al., 2023)","Chinese",NA,NA,"使用社交媒体使体育旅行更具有趣味性","Using social media makes sports tourism more enjoyable.",NA,"赞同","Agree",4
"li_2025_socmedia_enjoyment","li_2025_socmedia_enjoyment_1","PE1","Perceived enjoyment scale (Al-Adwan et al., 2023)","Chinese",NA,NA,"使用社交媒体使体育旅行更具有趣味性","Using social media makes sports tourism more enjoyable.",NA,"非常赞同","Strongly agree",5
"li_2025_socmedia_enjoyment","li_2025_socmedia_enjoyment_1","PE2","Perceived enjoyment scale (Al-Adwan et al., 2023)","Chinese",NA,NA,"使用社交媒体使体育旅行更是一种享受","Using social media makes sports tourism more of a pleasure.",NA,"非常不赞同","Strongly disagree",1
"li_2025_socmedia_enjoyment","li_2025_socmedia_enjoyment_1","PE2","Perceived enjoyment scale (Al-Adwan et al., 2023)","Chinese",NA,NA,"使用社交媒体使体育旅行更是一种享受","Using social media makes sports tourism more of a pleasure.",NA,"不赞同","Disagree",2
"li_2025_socmedia_enjoyment","li_2025_socmedia_enjoyment_1","PE2","Perceived enjoyment scale (Al-Adwan et al., 2023)","Chinese",NA,NA,"使用社交媒体使体育旅行更是一种享受","Using social media makes sports tourism more of a pleasure.",NA,"中立","Neutral",3
"li_2025_socmedia_enjoyment","li_2025_socmedia_enjoyment_1","PE2","Perceived enjoyment scale (Al-Adwan et al., 2023)","Chinese",NA,NA,"使用社交媒体使体育旅行更是一种享受","Using social media makes sports tourism more of a pleasure.",NA,"赞同","Agree",4
"li_2025_socmedia_enjoyment","li_2025_socmedia_enjoyment_1","PE2","Perceived enjoyment scale (Al-Adwan et al., 2023)","Chinese",NA,NA,"使用社交媒体使体育旅行更是一种享受","Using social media makes sports tourism more of a pleasure.",NA,"非常赞同","Strongly agree",5
"li_2025_socmedia_enjoyment","li_2025_socmedia_enjoyment_1","PE3","Perceived enjoyment scale (Al-Adwan et al., 2023)","Chinese",NA,NA,"使用社交媒体使体育旅行更具有娱乐性","Using social media makes sports tourism more entertaining.",NA,"非常不赞同","Strongly disagree",1
"li_2025_socmedia_enjoyment","li_2025_socmedia_enjoyment_1","PE3","Perceived enjoyment scale (Al-Adwan et al., 2023)","Chinese",NA,NA,"使用社交媒体使体育旅行更具有娱乐性","Using social media makes sports tourism more entertaining.",NA,"不赞同","Disagree",2
"li_2025_socmedia_enjoyment","li_2025_socmedia_enjoyment_1","PE3","Perceived enjoyment scale (Al-Adwan et al., 2023)","Chinese",NA,NA,"使用社交媒体使体育旅行更具有娱乐性","Using social media makes sports tourism more entertaining.",NA,"中立","Neutral",3
"li_2025_socmedia_enjoyment","li_2025_socmedia_enjoyment_1","PE3","Perceived enjoyment scale (Al-Adwan et al., 2023)","Chinese",NA,NA,"使用社交媒体使体育旅行更具有娱乐性","Using social media makes sports tourism more entertaining.",NA,"赞同","Agree",4
"li_2025_socmedia_enjoyment","li_2025_socmedia_enjoyment_1","PE3","Perceived enjoyment scale (Al-Adwan et al., 2023)","Chinese",NA,NA,"使用社交媒体使体育旅行更具有娱乐性","Using social media makes sports tourism more entertaining.",NA,"非常赞同","Strongly agree",5
"li_2025_socmedia_enjoyment","li_2025_socmedia_enjoyment_1","PE4","Perceived enjoyment scale (Al-Adwan et al., 2023)","Chinese",NA,NA,"社交媒体使我休闲时光（如周末或假期）更有趣","Social media makes my leisure time (such as weekends or holidays) more fun.",NA,"非常不赞同","Strongly disagree",1
