table,mapping_basis,text_source,source_ref,note,public_note,uploaded,translation_source
CV_OASIS_ODSIS_PPE_Novak_2020_RSES,reconstructed,translated_substitute,"OSF osf.io/ad6b3 (component z2mgv: ex.dataset.csv, pa.dataset.csv, code_book_BFI_N.txt, retest.data.oasis.odsis.sav, data.pa.aft.imp.Rds; component cjw3q: CZ_short_OASIS_ODSIS.Rmd = osf.io/k5bvs, lines 218-232 and 284-298); data/CV_OASIS_ODSIS_PPE_Novak_2020.R; Sandora et al. 2021, Int J Environ Res Public Health 18:10337, doi:10.3390/ijerph181910337, Section 2.2.4 (CC BY 4.0); RSES wording per Rosenberg 1965, in the Morris Rosenberg Foundation / University of Maryland circulated form","Code IS the source column name: data/CV_OASIS_ODSIS_PPE_Novak_2020.R does select(starts_with('RSES')) + pivot_longer on ex.dataset.csv / pa.dataset.csv, so there is no positional or rename step -- but those columns carry no text at any level (plain semicolon-delimited CSVs, no variable labels, no RSES codebook in the deposit), so mapping_basis is reconstructed, not data_labels. The ten columns are reconstructed as the Rosenberg Self-Esteem Scale in the widely circulated Morris Rosenberg Foundation / UMD item order, on the ground that that version is reverse-keyed at positions 2, 5, 6, 8, 9 and nowhere else, and the study's own analysis script (osf.io/k5bvs, CZ_short_OASIS_ODSIS.Rmd lines 220-224 / 286-290) independently reverses exactly RSES_2, RSES_5, RSES_6, RSES_8, RSES_9 -- 1 of C(10,5)=252 possible 5-subsets -- and the live data reproduces that polarity split (see verify script). Note this is NOT Rosenberg's 1965 numbering, whose reverse items are 3, 5, 8, 9, 10. Response direction is fixed by the .Rmd's two-step recode (reverse {2,5,6,8,9}, then reverse all ten 'to indicate that higher RSES score refers to higher self-esteem'), which is only self-consistent if the raw coding runs 1 = strongly agree ... 4 = strongly disagree with {1,3,4,7,10} positively worded; corroborated by the deposit's scored frame data.pa.aft.imp.Rds (means 5-raw for {1,3,4,7,10}, raw for {2,5,6,8,9}) and by the paper's stated 0-30 total range. The table stores RAW responses, so anchors are shipped in one direction for all ten items. Wording is the canonical English RSES text, because the administration was Czech and no Czech wording is recoverable from the deposit or the paper; anchors 'Strongly agree'/'Agree'/'Disagree'/'Strongly disagree' are the canonical four. Instructions are the first sentence of the canonical instruction block only; the circle-SA/A/D/SD remainder was dropped as it describes a paper form and this study ran online. Rights: the source IRW copied from is the CC BY 4.0 MDPI paper and its CC-BY OSF deposit, and no non-commercial or no-redistribution sentence could be quoted for the RSES itself, so wording_rights is omitted.","Item text for this Czech-administered Rosenberg Self-Esteem Scale table is the canonical English RSES wording, not the Czech wording respondents actually read -- the OSF deposit and the paper publish neither the Czech items nor any per-item labels. The item codes are reconstructed as the widely circulated RSES ordering (reverse-keyed at 2, 5, 6, 8, 9), not Rosenberg's 1965 ordering, on the basis of the study's own scoring script; that pins each item's polarity class, the response direction and RSES_8, but does not distinguish RSES_3 from RSES_4, RSES_1 from RSES_10, or the four remaining reverse-keyed items from one another. Responses are stored raw, with 1 = 'Strongly agree' and 4 = 'Strongly disagree' for every item including the reverse-worded ones.",2026-09-04,
DART_Brysbaert_2020_1,unknown,unknown,"Brysbaert M, Sui L, Dirix N, Hintz F (2020) Dutch Author Recognition Test. Journal of Cognition 3(1):6, doi:10.5334/joc.95 (article CC BY 4.0; Appendix A = 'DART Excel versie', doi:10.5334/joc.95.s1); OSF project osf.io/u4vhs (license.txt: CC BY-NC-SA 4.0; DART.docx, DART Excel versie.xlsx, raw_data_study1.xlsx); IRW script data/DART_Brysbaert_2020.R","BLOCKED, no CSV written -- rights, under the itemtext_standard.md 2026-09-04 ruling (irw#1891) that a stated non-commercial restriction on the wording bars shipping it. Quoted clause, from the paper's Data Accessibility Statement: ""The DART and DART_R can be used freely for research purposes under the Attribution-NonCommercial-ShareAlike (CC BY-NC-SA) scheme of Creative Commons""; the OSF deposit's license.txt states CC BY-NC-SA 4.0 for all materials, and IRW's metadata/biblio.csv already records that licence for this table. The Journal of Cognition article is CC BY 4.0 but does not print the list (it points to Appendix A, an Additional File), so the CC BY source does not carry the wording and the ECR-R source-licence exception does not apply -- this is the chinvararak_2021_ecr case, not the cucchi_2018_tas20 one. mapping_basis and text_source are recorded as unknown because nothing shipped; that is NOT a hedge over an unresolved mapping -- the mapping is in fact trivial and self-describing (the live item code contains the author name), and the AUT/NON key for all 132 names is in the OSF DART.docx. No wording_rights=NC row exists because no rows exist. Sources retrieved and cached: paper PDF (osf.io/download/ht869), DART.docx (3up89), DART Excel versie.xlsx (39yvd), license.txt (d6um4), raw_data_study1.xlsx (5b3hd). Ground truth read via irw::irw_table_sets (server-side); no irw_fetch export was spent on this table.",,,
DART_Brysbaert_2020_3_4_5,unknown,unknown,"Brysbaert M, Sui L, Dirix N, Hintz F (2020) Dutch Author Recognition Test. Journal of Cognition 3(1):6, doi:10.5334/joc.95 (article CC BY 4.0; Data Accessibility Statement places the DART/DART_R under CC BY-NC-SA); OSF osf.io/u4vhs (license.txt = CC BY-NC-SA 4.0; DART Excel versie.xlsx, DART_R Excel versie.xlsx, raw_data_study3/4/5.xlsx); data/DART_Brysbaert_2020.R","BLOCKED, no CSV written -- see notes_DART_Brysbaert_2020_3_4_5.csv. mapping_basis and text_source are 'unknown' because nothing shipped, NOT because the mapping was unresolvable: it is inference-free (the IRW item code IS the author/foil name verbatim from the source files' Name column / column headers; live 264-item set matches the source union exactly). Blocked under the 2026-09-04 irw#1891 rights rule on the CC BY-NC-SA clause stated both in osf.io/u4vhs/license.txt and in the paper's Data Accessibility Statement, applied by the authors to the DART and DART_R themselves. The CC BY article body does not reproduce the name lists, so there is no NC-free source. Retry test: NO.",,,
dahlstrom_2022_scoare,reconstructed,study_materials,"Dahlstrom et al. 2022 PLoS ONE 17(1):e0262418 -- S1 File (survey PDF, .s001), S1 Dataset (.s002), Tables 5 and 6","Codes are the S1 Dataset column names with the B/N (Before/Now) suffix stripped by data/dahlstrom_2022_scoare.py; the xlsx carries no variable labels. Text transcribed verbatim from S1 File (post-workshop evaluation survey PDF, PLOS supplementary). Matrix items composed as '<parent stem> <sub-row>' e.g. 'Providing feedback to a trainee about their… Scientific writing'. Response anchors are the survey grid's own headers (No/Low/Some/High); Tables 5-6 gloss them as '0 = no skill ... 3 = high level of skill' / 'no knowledge ... high level of knowledge'. 3rd-letter W=writing / S=speaking confirmed against published per-item means, not assumed.","Six items (SF, SD, ST, SM, KE, KA) were asked only in the workshop's first program year, whose survey version PLOS does not publish; they carry the second-year form's parent stem without its 'scientific writing' / 'speaking or presenting' qualifier.",2026-09-04,
daiku_2021_dirty_dozen,paper_order,canonical_instrument,"Tamura A, Oshio A, Tanaka K, Masui K, Jonason PK (2015). Development, reliability, and validity of the Japanese version of the Dark Triad Dirty Dozen (DTDD-J). The Japanese Journal of Personality 24(1):26-37, https://doi.org/10.2132/personality.24.26 -- Appendix 2 (item list) and Figure 1B / footnote 2 (item-number correspondence). Response data: PLOS ONE 10.1371/journal.pone.0249815 S1 File (CC BY 4.0).","IRW item codes are the S1 CSV column names carried through unchanged by data/daiku_2021_prolific_liars.py (a melt, no rename), so they name the subscale and a within-subscale index but no wording. Japanese item_text transcribed character-by-character from the DTDD-J Appendix 2 image (pdfimages page 11 of the J-STAGE PDF); it is an image, so this is a hand transcription and worth a spot-check. Within-subscale order: DTDD-J presents Machiavellianism as its items 1/4/7/10, Psychopathy as 2/5/8/11, Narcissism as 3/6/9/12 (Figure 1B), and Tamura's footnote 2 maps those to Jonason & Webster's original 1-4/5-8/9-12 in the same relative order, so index i is the i-th item of the subscale under either numbering convention. That is an order inference, not a labelled tie -- hence paper_order, and status PARTIAL in verification. item_text_translated is Jonason & Webster's (2010) original English for the correspondingly numbered items; the English for instructions and for the two scale anchors was produced by IRW (no published English exists for the DTDD-J's own instruction/anchor wording). Anchors 1 = 全くあてはまらない and 5 = 非常にあてはまる are the only labelled points in Appendix 2; 2-4 are left blank rather than padded. Rights: no non-commercial or no-redistribution clause is stated on the J-STAGE record (Journal Free) or in the PDF, so the Step-0 rights rule does not fire; the response data's own source is CC BY 4.0.","The DTDD-J was administered in Japanese; item_text_translated reproduces Jonason and Webster's (2010) original English for the correspondingly numbered items, but the English shown for the instructions and for the two scale anchors was translated by IRW rather than by the study's authors.",2026-09-04,mixed
daiku_2021_lie_scale,unknown,unknown,10.1371/journal.pone.0249815 (S1 File CSV; S2 File DOCX; PMC8049473),No item text shipped. Paper gives one unkeyed English exemplar of a 3-item subset of the Yanai et al. (1987) Japanese lie scale; S1 CSV has bare headers and no label layer; S2 docx covers a different instrument. Administered language Japanese; no Japanese wording anywhere in the deposit or supplements.,,,
dalky_2020_sf36,data_labels,translated_substitute,"Dalky et al. 2020 PeerJ 8:e9990 doi:10.7717/peerj.9990 (CC BY 4.0), supplementary peerj-08-9990-s001.sav via Europe PMC PMC7519719 supplementaryFiles; data/dalky_2020_sf36.py; block stems from RAND 36-Item Health Survey 1.0 (public domain, RAND Corporation)","SF-36 block of the PeerJ CC BY 4.0 supplementary .sav (peerj-08-9990-s001.sav, Europe PMC PMC7519719). mapping_basis=data_labels: every one of the 35 columns carries an SPSS variable label giving its item and a value-label set giving its options, and data/dalky_2020_sf36.py melts those columns by name (the IRW item code IS the source column name, typo 'physcial2' included), so there is no positional or renaming step to get wrong. Labels were cleaned deliberately: the trailing ' : CATEGORICAL Question' / ' :' suffixes and the surrounding single quotes on physical1/physcial2/physical5 were stripped; nothing else (casing, spelling, punctuation) was altered. LANGUAGE: the paper's Instruments section states the Arabic version of the SF-36 was administered, and the .sav contains zero Arabic characters across all 190 variable labels and every value label, so the administered wording is not recoverable from the deposit. The English in the base fields is the study's own rendering in those labels (note 'Okay'/'Bad' rather than the canonical 'Fair'/'Poor'), the _translated columns are empty, and text_source=translated_substitute records the fallback. SECTION PROMPTS: the .sav has no block-header variables, so the five block stems are the canonical public-domain RAND 36-Item Health Survey 1.0 English wording, supplied because 20 of the 35 item labels are sentence fragments that carry no referent without them and because L8_1/L8_2 and L9_1/L9_2 have identical labels that only the block stem distinguishes. Block identity is not assumed: L8 has 4 items and L9 has 3, exactly the SF-36's role-physical/role-emotional split in questionnaire order, and in the raw .sav the L8 block mean correlates 0.511 with the 9-item physical-functioning mean vs 0.413 for L9, while L9 correlates 0.223 with the 5-item mental-health mean vs 0.165 for L8. The six standalone items (H1hlthgeneral, H2healthcomplastyr, L10, L14, pain4wks, paineffect) are complete questions in their own labels and sit in a blank-prompt section _1; instructions left blank because neither the .sav nor the paper publishes any. Step 3b: the live set is the SF-36 minus one physical-functioning item (9 of 10) and minus one general-health-perception item (4 of 5) -- 35 rather than 36 -- which the processing script already documents; per-item response ranges match the instrument's mixed formats exactly (5/5 general and transition, 3 for the 9 PF items, 2 for L8/L9, 5 for L10/L14/paineffect/L15, 6 for pain4wks and the 9 L13 items). RIGHTS: the wording shipped was copied from the CC BY 4.0 PeerJ deposit's own SPSS labels, which under the ECR-R ruling is the licence that governs; the SF-36 trademark holder (Optum/QualityMetric) licenses the instrument commercially rather than stating a non-commercial clause, and no non-commercial or no-redistribution sentence could be quoted, so wording_rights is omitted. The block stems are RAND's public-domain RAND-36 1.0. Precedent: bukurov_2022_sf36 shipped on the same basis in batch_009.","This SF-36 was administered in Arabic; the item and option wording shipped here is the study's own English rendering, taken from its SPSS variable and value labels, not the Arabic wording respondents read (the deposit publishes no Arabic text). The five block stems are the canonical public-domain RAND-36 English wording, supplied because the data file carries no block headers and many item labels are fragments without them. The table holds 35 of the SF-36's 36 items -- one physical-functioning item and one general-health-perception item are absent from the source file.",2026-09-04,
dasilva_2019_hexaco24,data_labels,study_materials,"figshare 10.6084/m9.figshare.7582019.v1 (CC BY 4.0), workbook sheets 'Base de dados' (column headers = the administered Portuguese items) and 'Dimensoes' (item number -> HEXACO facet + keying); Da Silva & Ramos (2019), Open Access Library Journal 6:e5476, doi:10.4236/oalib.1105476 (CC BY 4.0) for the numbered English BHI list and Table 1","item_text is the source workbook's own column headers, verbatim, in column order; data/dasilva_2019_hexaco24.py names column n HEXACO24_n, so the code IS the header position and no wording was inferred. Numbering corroborated twice: the 'Dimensoes' sheet / paper Table 1 assign a distinct HEXACO facet to each item number (item 6 = Sinceridade <-> 'Acho dificil mentir', item 1 = Apreciacao estetica <-> 'Posso olhar para uma pintura...'), and the paper's numbered English BHI list runs 1:1 with the column order. option_text is the five literal Portuguese strings stored in the raw cells; RESP_MAP in the processing script assigns Discordo muito=1 ... Concordo muito=5, and the paper states the same direction ('1 = strongly disagree ... 5 = strongly agree'), so resp is raw and NOT reverse-scored (reverse keying is carried by itemcov_reverse_scored in the response table). _translated holds the study's own English: the paper reproduces de Vries's BHI English for the same numbered items and its anchor labels. It is a parallel version, not a translation of the administered Portuguese -- items 3, 7, 9, 14, 15 and 19 diverge (e.g. PT 7 'Acho que conhecimento e algo chato' = 'knowledge', EN 'I think science is boring'; PT 19 'ideias novas' = 'new ideas', EN 'strange ideas'), and PT 'Discordo pouco'/'Concordo pouco' are literally 'slightly disagree'/'slightly agree' against the paper's 'disagree'/'agree'. instructions left blank: neither the deposit nor the paper prints the literal Portuguese instruction, only a third-person report of it.","The English in the *_translated columns is the original Brief HEXACO Inventory wording as reproduced by the study's own paper, not a translation of the Portuguese actually administered; six items (3, 7, 9, 14, 15, 19) and the two 'slightly' anchors differ in wording between the two versions.",2026-09-04,official_instrument_english
dass_Thiyagarajan2022,data_labels,study_materials,"Harvard Dataverse doi:10.7910/DVN/AJVLN6 file data_dass21.xlsx (CC0 1.0) column headers 9-29; Thiyagarajan, James & Marzo (2022) Humanit Soc Sci Commun 9:253, doi:10.1057/s41599-022-01229-x","Zero-inference mapping: data/dass_Thiyagarajan2022.R takes names(x)[9:29] of the deposit's own file as the IRW item code, so each item code IS make.names() of the header that carries the item wording -- reproduced exactly, all 21 codes match the live set. item_text is the header with only its leading ""N. "" numbering stripped; the study's own non-canonical spellings and tense shifts are kept verbatim (e.g. ""I find it hard to wind down."" not the canonical past tense, ""I feel that life is meaningless"" with no trailing period, ""19. ... in the absence of physical exertion."" without the canonical parenthetical). option_text is the study's own reported anchors, quoted from the paper's Study instrument section: ""Participants were provided four response options: 0 = never, 1 = sometimes, 2 = a lot of the time, 3 = most or all of the time"" -- these are the study's wording, not Lovibond's canonical ""Did not apply to me at all"" set. instructions left blank: neither the deposit nor the paper prints literal instruction text, and canonical DASS instructions were not substituted. Single trivial section_id; the DASS-21 depression/anxiety/stress subscales are a scoring grouping with no section prompt, so no section split. Step 3b: confirmed DASS-21, not DASS-42 -- 21 items in the live data, resp 0-3, item content matches DASS-21 numbering 1-21 exactly.","Most of this sample did not read the wording shipped here: the study let participants choose the Bahasa Malaysia or English DASS-21, and 90% of the 971 respondents used the Malay version, but only the English wording appears in the study's deposit or paper.",2026-09-04,
dd_rotation,paper_explicit,study_materials,"CRAN diffIRT 1.5, man/rotation.Rd (title 'Responses and Response Times to 10 Mental Rotation Items'; \format block lists the rotation angle of items 1-10) and data/rotation.rda; IRW script data/diffIRT_dat.R; dictionary URL https://cran.r-project.org/web/packages/diffIRT/index.html; package licence GPL-2, no NC or no-redistribution clause","IRW item code i comes from data/diffIRT_dat.R's item <- 1:ncol(rt) over rotation[,1:10]/[,11:20], i.e. source columns X[i]/T[i]; the Rd numbers its angle list over the same 1-10. Verified by re-running the script over the CRAN .rda: per-item n matches 10/10 exactly and per-item mean rt and proportion correct match to <5e-11 (see verify_dd_rotation.R). No prose was invented: item_text is a stimulus descriptor built from the Rd's per-item angle, instructions is quoted verbatim from the Rd description, option_text uses the Rd's 'correct'/'false' with initial capitals. The instrument name combines the Rd title with its cited sources.","The items are pictures, not text: each is a display of two 3-D objects and the respondent judges same/different, so item_text carries only the stimulus's rotation angle (50, 100 or 150 degrees) as documented in the diffIRT package, and the option labels describe scored accuracy rather than the yes/no button the respondent pressed.",2026-09-04,
