table,batch,mapping_basis,uploaded,route,status,evidence
CV_OASIS_ODSIS_PPE_Novak_2020_RSES,batch_025,reconstructed,,6 (keying polarity) + 7 (marker item) + response-direction check against the study's own scoring script and scored frame,PARTIAL,"Route 6 (keying polarity) + route 7 (marker item) + a direction check, all computed as server-side Redivis aggregates on the live table (no export); re-runnable as verify_CV_OASIS_ODSIS_PPE_Novak_2020_RSES.R. (a) Live per-item correlation with RSES_1: RSES_2 -0.291, RSES_3 +0.323, RSES_4 +0.284, RSES_5 -0.180, RSES_6 -0.267, RSES_7 +0.260, RSES_8 -0.256, RSES_9 -0.294, RSES_10 +0.544. The negative set is exactly {2,5,6,8,9}, matching both the study's own .Rmd rescoring list (CZ_short_OASIS_ODSIS.Rmd lines 220-224) and the reverse-keyed positions of the circulated RSES ordering -- 1 of C(10,5)=252 possible 5-subsets. (b) Live raw per-item means 2.11 / 2.72 / 1.82 / 1.78 / 2.91 / 2.90 / 1.93 / 2.38 / 2.87 / 1.93 for RSES_1..10, n=2374 for every item; the raw OSF files (ex+pa after the IRW script's remove_na) reproduce all ten means to 2dp and n=2374 exactly, and the deposit's scored frame data.pa.aft.imp.Rds has pa means 2.9/2.8/3.2/3.2/3.0/3.0/3.1/2.4/3.0/3.1 against pa raw 2.1/2.8/1.8/1.8/3.0/3.0/1.9/2.5/1.9(->3.1) -- i.e. scored = 5-raw for {1,3,4,7,10} and = raw for {2,5,6,8,9}, so the live table stores RAW responses and the .Rmd's net flip lands on the positively worded set. (c) Direction: in the scored metric every item exceeds the 2.0 midpoint (min 2.38, max 3.22), as a community sample must; taken with (a) and (d) this fixes 1 = 'Strongly agree' ... 4 = 'Strongly disagree'. Note the direction test is NOT independent of the ordering -- the mirror hypothesis (raw 1 = strongly disagree with {2,5,6,8,9} positively worded) produces identical means and correlations, and is excluded only because no published RSES ordering is reverse-keyed at {1,3,4,7,10} while the circulated one is reverse-keyed at {2,5,6,8,9}. (d) Route 7: scored means 2.89 / 2.72 / 3.18 / 3.22 / 2.91 / 2.90 / 3.07 / 2.38 / 2.87 / 3.07 -- RSES_8 is the strict minimum at 2.38, 0.34 below the next lowest, matching 'I wish I could have more respect for myself', the least-endorsed RSES item in general samples; the top two are RSES_4 (3.22) and RSES_3 (3.18), the competence/good-qualities pair. RSES_1 and RSES_10 correlate 0.544 with each other against 0.26-0.32 with the other forward items, as expected for the two global self-evaluation items. WHAT THIS DOES NOT ESTABLISH: it pins the reverse-keyed class {2,5,6,8,9}, the response direction, the position of RSES_8 and the {RSES_3, RSES_4} pair as a pair, but cannot separate RSES_3 from RSES_4, RSES_1 from RSES_10, or RSES_2 / RSES_5 / RSES_6 / RSES_9 from one another -- no per-item statistics for the Czech RSES are published in the deposit or the paper. Hence PARTIAL."
DART_Brysbaert_2020_1,batch_025,unknown,,exemption 1 (self-describing item codes); name-set match of live codes against the study's own AUT/NON key file,NOT_NEEDED,"NOT_NEEDED because nothing was shipped: the table is BLOCKED on rights (CC BY-NC-SA on both published sources of the DART list), so there is no item_text<->item and no option_text<->resp mapping in existence to verify. This row exists so the table does not read as unchecked-but-maybe-fine. Recorded here is what verify_DART_Brysbaert_2020_1.R re-runs (VERDICT: PASS), which is the evidence that the mapping would have been inference-free had the wording been shippable: 132 live item codes from irw::irw_table_sets(), each of the literal form 'Is de volgende persoon een auteur- [<name>]', against the study's own OSF key file DART.docx (osf.io/download/3up89/), a 133-row Rank/Naam/Code table = 132 names, 90 AUT / 42 NON, 0 duplicate normalised names. After stripping accents and punctuation and undoing the raw workbook's global 'ja'->'1' find/replace (James->1mes, Jane->1ne, jaar->1ar), 130 of 132 live names match a key row exactly; the 2 that do not are spelling differences on names the key scores AUT -- live 'Georges Simeon' vs key row 92 'Georges_Simenon', live 'Susan Smith' vs key row 45 'Susan_Smit'. Because the code CONTAINS the author name, Step 5b exemption 1 (self-describing item codes) applies and no statistical route is owed. NOT established: anything about response-option text (the 1/0 = ja/nee reading was never checked against raw_data_study1.xlsx), and whether the two divergent spellings are Study 1 form errors or deliberate variants."
DART_Brysbaert_2020_3_4_5,batch_025,unknown,,exemption: self-describing item codes (item code IS the author/foil name); corroborated by an exact live-vs-source name-set comparison,NOT_NEEDED,"BLOCKED on rights, no CSV shipped, so there is no shipped mapping to verify. Status is NOT_NEEDED rather than NO_ROUTE because the mapping requires no inference at all: SKILL Step 5b's self-describing-item-code exemption applies outright -- the IRW item code IS the stimulus (an author or foil name), so a permutation is impossible without being self-evident. Numbers recorded for a future attempt: irw_table_sets gives 28,908 rows / 264 distinct items / resp set {0,1}; the source name sets are 132 (raw_data_study3.xlsx Name column) = 132 (raw_data_study4.xlsx Name column, identical set, s3-s4 and s4-s3 both empty) spaced names plus 132 underscore names (raw_data_study5.xlsx headers, 133 columns of which one is the non-item column 'Extra'); |live - source| = 0 and |source - live| = 1 ('Extra'). Per-item n is 157 for all 132 spaced items and 62 for 130 of the 132 underscore items (Geronimo_Stilton and Susan_Smith have resp missing throughout). What this does NOT establish: nothing about a shipped table, because none was shipped; and it says nothing about option_text/resp, since the checklist has no printed response labels."
dahlstrom_2022_scoare,batch_025,reconstructed,,per-item descriptive statistics (paper Tables 5 & 6) + nearest-neighbour uniqueness,PARTIAL,"Route 1 (per-item descriptive statistics), paper Tables 5 and 6 vs live wave=0/wave=1 aggregates. All 14 published rows match their assigned item to <=0.007 on pre/post mean and SD, with n matching: SFW 1.85/.61->2.61/.53 n=92 vs live 1.85/.61->2.61/.53 n=92; SFS 2.18/.66->2.63/.49 vs live identical; SDW 1.53/.76 vs 1.53/.76; SDS 1.93/.78 vs 1.92/.78; STW 1.34/.75 vs 1.34/.75; STS 1.54/.76 vs 1.54/.76; SMW 1.45/.65 vs 1.45/.65; SMS 1.69/.71 vs 1.69/.71; KB 1.13/.83 n=158 vs 1.13/.83 n=158; KR 1.06/.82 vs 1.06/.82; KEW 1.33/.67 vs 1.33/.67; KES 1.52/.69 vs 1.52/.69; KAW 1.12/.70 vs 1.12/.70; KAS 1.32/.81 vs 1.32/.80. Nearest-neighbour over all 20 live items assigns every published row to the item this extraction gave it (min d 0.004-0.009, runner-up 0.076-0.312), so the writing/speaking (W/S) direction is decided by the data: swapping SFW/SFS would cost ~0.33. NOT established: the 6 Year-1 un-split items SF, SD, ST, SM, KE, KA have no published statistics and are pinned only by sharing a code prefix with a verified sibling -- hence PARTIAL, not VERIFIED."
daiku_2021_dirty_dozen,batch_025,paper_order,,5 (subscale block structure) + 3 (published subscale totals) + 7 (marker item),PARTIAL,"N=305 complete cases from the PLOS S1 CSV (the exact upstream of the live table). Route 5: each item's mean r with its own named block, self excluded -- Mach block .478/.507/.335/.439, Narc block .487/.459/.437/.429, all 8 assigned to their named subscale; score 9/12, the 3 misses all psychopathy items (psychopathy1 .224 own vs .277 Mach; psychopathy2 .251 vs .259; psychopathy4 .207 vs .292), which is the expected underpowering for a facet DTDD-J itself reports at alpha .55 with a .61 factor correlation to Machiavellianism (Tamura et al. Figure 1B), not a mapping error. Route 3: subscale sums 11.11 (SD 3.48) / 11.08 (3.07) / 13.72 (3.39) against DTDD-J Table 1's 10.69 (3.57) / 10.14 (2.83) / 13.32 (3.51) -- Narcissism highest in both, within 0.40; Mach and Psych are 0.03 apart here so this separates Narcissism only. Route 7: of all 12 items the one shipped as 'unconcerned with the morality of my actions' (psychopathy2) is the strongest negative correlate of the same questionnaire's 'do you feel guilty after telling a lie' item, r=-0.390, against -0.048 to -0.300 for the rest. What this does NOT establish: the order of the four items within each subscale. Mach1-4 = DTDD-J 1/4/7/10, Psych1-4 = 2/5/8/11, Narc1-4 = 3/6/9/12 comes from the instrument's presentation order; no statistic separates 'manipulate' from 'flattery'. Hence PARTIAL, not VERIFIED."
dalky_2020_sf36,batch_025,data_labels,,exempt (data_labels); supporting route 5 block structure for the section-prompt assignment,NOT_NEEDED,"item<->item_text needs no statistical route: all 35 columns of peerj-08-9990-s001.sav carry SPSS variable labels and value labels, and data/dalky_2020_sf36.py melts them by name so the IRW code IS the source column name. The one inference made was which of the two identically-labelled yes/no blocks is role-physical and which is role-emotional (L8_1/L9_1 and L8_2/L9_2 have byte-identical labels). Checked in the raw .sav, n=523: L8 block mean r=0.511 with the 9-item physical-functioning mean and r=0.165 with the 5-item mental-health mean; L9 block mean r=0.413 with PF and r=0.223 with MH -- L8 more physical, L9 more emotional on both contrasts, consistent with the 4-item/3-item split the SF-36 specifies. This establishes the block-level section_prompt assignment only; it does NOT distinguish items within either block, which the variable labels do."
dasilva_2019_hexaco24,batch_025,data_labels,,source column headers are the item text (data_labels) + per-item response-range signature vs the raw workbook + paper's numbered BHI list,NOT_NEEDED,"Live per-item aggregates (irw_table_sets, per_item=TRUE) vs the 240 complete respondents in the source workbook's HEXACO block: all 24 items n=240 and the range signature matches column for column -- source col 7 min-max 1-4 (4 levels) = live HEXACO24_7 1-4/4, col 15 1-4/4 = HEXACO24_15 1-4/4, col 19 2-5/4 = HEXACO24_19 2-5/4, the other 21 columns 1-5/5 = the other 21 items 1-5/5. Item text was not inferred at all: the column header IS the item wording, and data/dasilva_2019_hexaco24.py renames column n to HEXACO24_n. The numbering is pinned per item by the 'Dimensoes' sheet (24 distinct facets, one per item number, matching each column's content) and by the paper's numbered English BHI list running 1:1 with column order. What the range signature alone does NOT establish: it distinguishes only the 3 restricted-range positions and rules out a block-wide shift; the remaining 21 are distinguished by the header-is-text tie and the facet labels, not by statistics. [orchestrator, 2026-09-04: status changed VERIFIED -> NOT_NEEDED. mapping_basis is data_labels, so the row is Step 5b exempt and NOT_NEEDED is the convention -- the same call the data_labels sibling dalky_2020_sf36 made in this batch. The statistical route above is corroboration on top of an inference-free tie, and by its own sentence it pins only 3 of 24 positions, which is not VERIFIED.]"
dd_rotation,batch_025,paper_explicit,,re-run of the processing script (core model section 3) + route 8 (semantic coherence of the response distribution),PARTIAL,"Route A: re-ran data/diffIRT_dat.R over CRAN diffIRT 1.5 data/rotation.rda. Per-item n is identical for all 10 (120,118,119,114,119,119,119,120,118,112 source vs live), per-item mean rt matches to max |diff| 3.3e-11 (item 1 3.1572750 vs 3.1572750; item 10 3.8430089 vs 3.8430089) and proportion correct to 4.4e-11 (item 4 0.771930, item 8 0.966667). The 10 source rt means are all distinct with a smallest gap of 0.054 s, so this distinguishes every item from every other and pins live item i == source column X[i]/T[i] outright. Route B: the shipped angles come from rotation.Rd's \format list keyed to 'item 1'..'item 10' and columns X[1]..X[10]; the data corroborate that only at CLASS level -- accuracy falls monotonically 0.941 (50 deg, items 2/5/8) > 0.871 (100 deg, 3/6/10) > 0.853 (150 deg, 1/4/7/9), rho(angle,rt)=+0.59, rho(angle,acc)=-0.72, but mean rt for the 100-deg class (3.291 s) and the 150-deg class (3.247 s) overlap. PARTIAL, NOT VERIFIED: the data cannot separate a 100-deg item from a 150-deg one, so the angle attached to any individual item rests on the Rd's numbering rather than on a data check; what the data do establish completely is the item-code-to-source-column tie."
debacker_2018_justice_appraisal,batch_025,unknown,,route 6 (keying polarity) + route 1 (per-item means) + within-block correlation structure; route 3 (published per-game totals) for instrument identity,NO_ROUTE,"Instrument identity confirmed first (route 3): the 12-item mean/SD by game computed from the source .sav reproduces the paper's S1 Table -- games 1-6 observed 3.05/0.59, 3.28/0.63, 3.15/0.79, 3.27/0.76, 3.27/0.68, 3.30/0.67 vs published 3.05/0.58, 3.27/0.63, 3.19/0.72, 3.31/0.68, 3.27/0.68, 3.30/0.67. Mapping: 2 of 12 items pinned, 10 not. Route 6 pins procpers1 = the sole reverse-worded published item ('...was influenced by other players'): corrected item-total r = -0.218 for procpers1 against +0.520, +0.540, +0.522, +0.626, +0.641, +0.561, +0.675, +0.635, +0.643, +0.567, +0.647 for the other eleven, and mean 2.41 vs 3.03-3.61 (0 treated as missing). Correlation structure pins distrgroup1 = the talent/competence item: r(distrgroup2,distrgroup3) = 0.830 vs r(distrgroup1,distrgroup2) = 0.412 and r(distrgroup1,distrgroup3) = 0.413, matching the two near-synonymous equality items (S2 File rows 5-6) against the distinct selection item (row 4). What this does NOT establish -- and why the status is NO_ROUTE rather than PARTIAL for the shipped table: nothing ships. The within-subscale index for the remaining ten items has no route at all, and the one candidate basis is refuted, not merely unverified: S2 File presentation order predicts the reverse item at procpers3, contradicted by the r = -0.218 above. Residual blocks carry no separating signal -- distrpers r = 0.655/0.500/0.510, procgroup r = 0.531/0.457/0.420 -- and the pairs {distrgroup2,distrgroup3} (r=0.830) and {procpers2,procpers3} (r=0.596) are near-duplicate wordings that no statistic can order."
dass_Thiyagarajan2022,batch_025,data_labels,,,NOT_NEEDED,"Step 5b exempt: the Harvard Dataverse deposit data_dass21.xlsx carries the item wording in its own column headers, and data/dass_Thiyagarajan2022.R sets item = names(x)[i] over columns 9:29, so all 21 IRW item codes are make.names() of the header that holds the text. No inference step to verify."
