"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"liu_2025_willingness_communicate","liu_2025_willingness_communicate_1","wtc_1","Willingness to Communicate in English Scale (Peng & Woodrow, 2010), 10 items","Chinese",NA,NA,"I am willing to do a role-play standing in front of the class in English (e.g., ordering food in a restaurant).",NA,NA,"strongly disagree",NA,1
"liu_2025_willingness_communicate","liu_2025_willingness_communicate_1","wtc_1","Willingness to Communicate in English Scale (Peng & Woodrow, 2010), 10 items","Chinese",NA,NA,"I am willing to do a role-play standing in front of the class in English (e.g., ordering food in a restaurant).",NA,NA,NA,NA,2
"liu_2025_willingness_communicate","liu_2025_willingness_communicate_1","wtc_1","Willingness to Communicate in English Scale (Peng & Woodrow, 2010), 10 items","Chinese",NA,NA,"I am willing to do a role-play standing in front of the class in English (e.g., ordering food in a restaurant).",NA,NA,NA,NA,3
"liu_2025_willingness_communicate","liu_2025_willingness_communicate_1","wtc_1","Willingness to Communicate in English Scale (Peng & Woodrow, 2010), 10 items","Chinese",NA,NA,"I am willing to do a role-play standing in front of the class in English (e.g., ordering food in a restaurant).",NA,NA,NA,NA,4
"liu_2025_willingness_communicate","liu_2025_willingness_communicate_1","wtc_1","Willingness to Communicate in English Scale (Peng & Woodrow, 2010), 10 items","Chinese",NA,NA,"I am willing to do a role-play standing in front of the class in English (e.g., ordering food in a restaurant).",NA,NA,"strongly agree",NA,5
"liu_2025_willingness_communicate","liu_2025_willingness_communicate_1","wtc_2","Willingness to Communicate in English Scale (Peng & Woodrow, 2010), 10 items","Chinese",NA,NA,"I am willing to give a short self-introduction without notes in English to the class.",NA,NA,"strongly disagree",NA,1
"liu_2025_willingness_communicate","liu_2025_willingness_communicate_1","wtc_2","Willingness to Communicate in English Scale (Peng & Woodrow, 2010), 10 items","Chinese",NA,NA,"I am willing to give a short self-introduction without notes in English to the class.",NA,NA,NA,NA,2
"liu_2025_willingness_communicate","liu_2025_willingness_communicate_1","wtc_2","Willingness to Communicate in English Scale (Peng & Woodrow, 2010), 10 items","Chinese",NA,NA,"I am willing to give a short self-introduction without notes in English to the class.",NA,NA,NA,NA,3
"liu_2025_willingness_communicate","liu_2025_willingness_communicate_1","wtc_2","Willingness to Communicate in English Scale (Peng & Woodrow, 2010), 10 items","Chinese",NA,NA,"I am willing to give a short self-introduction without notes in English to the class.",NA,NA,NA,NA,4
"liu_2025_willingness_communicate","liu_2025_willingness_communicate_1","wtc_2","Willingness to Communicate in English Scale (Peng & Woodrow, 2010), 10 items","Chinese",NA,NA,"I am willing to give a short self-introduction without notes in English to the class.",NA,NA,"strongly agree",NA,5
"liu_2025_willingness_communicate","liu_2025_willingness_communicate_1","wtc_3","Willingness to Communicate in English Scale (Peng & Woodrow, 2010), 10 items","Chinese",NA,NA,"I am willing to give a short speech in English to the class about my hometown with notes.",NA,NA,"strongly disagree",NA,1
"liu_2025_willingness_communicate","liu_2025_willingness_communicate_1","wtc_3","Willingness to Communicate in English Scale (Peng & Woodrow, 2010), 10 items","Chinese",NA,NA,"I am willing to give a short speech in English to the class about my hometown with notes.",NA,NA,NA,NA,2
"liu_2025_willingness_communicate","liu_2025_willingness_communicate_1","wtc_3","Willingness to Communicate in English Scale (Peng & Woodrow, 2010), 10 items","Chinese",NA,NA,"I am willing to give a short speech in English to the class about my hometown with notes.",NA,NA,NA,NA,3
