"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","item_text","correct_response","option_text","resp"
"megart_tonkovic_2021","megart_tonkovic_2021_1","abamopaviaske","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"abamopaviaske",1,"Incorrect",0
"megart_tonkovic_2021","megart_tonkovic_2021_1","abamopaviaske","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"abamopaviaske",1,"Correct",1
"megart_tonkovic_2021","megart_tonkovic_2021_1","abdođodizam","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"abdođodizam",1,"Incorrect",0
"megart_tonkovic_2021","megart_tonkovic_2021_1","abdođodizam","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"abdođodizam",1,"Correct",1
"megart_tonkovic_2021","megart_tonkovic_2021_1","abeceda","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"abeceda",1,"Incorrect",0
"megart_tonkovic_2021","megart_tonkovic_2021_1","abeceda","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"abeceda",1,"Correct",1
"megart_tonkovic_2021","megart_tonkovic_2021_1","ablit","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"ablit",1,"Incorrect",0
"megart_tonkovic_2021","megart_tonkovic_2021_1","ablit","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"ablit",1,"Correct",1
"megart_tonkovic_2021","megart_tonkovic_2021_1","abrugura","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"abrugura",1,"Incorrect",0
"megart_tonkovic_2021","megart_tonkovic_2021_1","abrugura","MegaRT lexical decision task (Croatian nouns and Wuggy-matched pseudowords)","Croatian","Tijekom istraživačkog postupka od Vas će se tražiti da na računalu odgovarate na podražaje koji će biti prikazani na ekranu, a oni će se sastojati od niza slova. Vaš će zadatak biti da za svaki niz odredite radi li se o riječi ili pseudoriječi i u skladu s tim što brže i što točnije date odgovor. Detaljne upute i način odgovaranja bit će prezentirani računalno.","During the research procedure you will be asked to respond on a computer to stimuli that will be shown on the screen, and these will consist of a string of letters. Your task will be to decide for each string whether it is a word or a pseudoword and, accordingly, to respond as quickly and as accurately as possible. Detailed instructions and the method of responding will be presented on the computer.",NA,"abrugura",1,"Correct",1
