source,journal,doi,title,url,pmcid,license,flag,reasons,data_availability,external_link,data_file,n_responses,n_participants,n_items,density,n_other_files
pmc,,10.1007/s11336-021-09751-8,Single- and Multiple-Group Penalized Factor Analysis: A Trust-Region Algorithm Approach with Integrated Automatic Multiple Tuning Parameter Selection.,https://europepmc.org/article/PMC/PMC8035122,PMC8035122,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): 11336_2021_9751_MOESM1_ESM.pdf,,,,,,,,
pmc,,10.1016/j.heliyon.2021.e07343,Research investigating individual device preference and e-learning quality perception: can a one-solution-fits-all e-learning solution work?,https://europepmc.org/article/PMC/PMC8239717,PMC8239717,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): mmc1.docx,Data Availability Statement Data will be made available on request.,,,,,,,
pmc,,10.1016/j.heliyon.2022.e10380,Available tools to evaluate digital health literacy and engagement with eHealth resources: A scoping review.,https://europepmc.org/article/PMC/PMC9449566,PMC9449566,cc-by,no_usable_file,no tabular-format file among 2 supplementary file(s): mmc2.docx; mmc1.docx,Data availability statement No data was used for the research described in the article.,,,,,,,
pmc,,10.1016/j.heliyon.2022.e11509,Academic achievement: the effect of project-based online learning method and student engagement.,https://europepmc.org/article/PMC/PMC9674908,PMC9674908,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): mmc1.docx,Data Availability Statement Data included in article/supp. material/referenced in article.,,,,,,,
pmc,,10.1016/j.heliyon.2023.e12891,Textual complexity adjustments to the English reading comprehension test for undergraduate EFL students.,https://europepmc.org/article/PMC/PMC9868442,PMC9868442,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): mmc1.docx,Data Availability Statement The data that has been used is confidential.,,,,,,,
pmc,,10.1016/j.heliyon.2024.e34264,Gene-environment interaction in expertise acquisition: Practice effects on musical expertise vary by polygenic scores for cognitive performance.,https://europepmc.org/article/PMC/PMC11292230,PMC11292230,unknown,no_usable_file,"via Data Availability link https://osf.io/h2aus/?view_only=07a7eca06dd24c1793c71e2e2ecd0791 | no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",Data Availability Statement The datasets generated during the current study cannot be made publicly as registry data were used. Individuals are able to apply online at the Swedish Twin Registry to access the twin data. Our analyses code is available at https://osf.io/h2aus/?view_only=07a7eca06dd24c1,https://osf.io/h2aus/?view_only=07a7eca06dd24c1793c71e2e2ecd0791,,,,,,
pmc,,10.1016/j.heliyon.2024.e35031,The street space planning and design of artificial intelligence-assisted deep learning neural network in the Internet of Things.,https://europepmc.org/article/PMC/PMC11320447,PMC11320447,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): mmc1.docx,Data availability statement Data will be made available on request.,,,,,,,
pmc,,10.1016/j.heliyon.2024.e37708,"Seroprevalence of small ruminant brucellosis and owners knowledge, attitude and practices in Chiro and Burka Dhintu Districts, West Hararghe, Ethiopia.",https://europepmc.org/article/PMC/PMC11422036,PMC11422036,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): mmc1.docx,"Data availability statement All data will be made available upon reasonable request to and with the approved consent of the corresponding author, and will be shared in accordance with the standards of ethical policies regulating data sharing in human subjects.",,,,,,,
pmc,,10.1017/psy.2026.10092,Maximum Softly Penalized Likelihood in Factor Analysis.,https://europepmc.org/article/PMC/PMC13310817,PMC13310817,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): S0033312326100921sup001.pdf,"Data availability statement The supplementary material is also available at https://github.com/psterzinger/FAPL , and consists of the three folders “code,” “results,” “figures,” and the Supplementary Material. The latter provides the proofs to our results and evidence from additional simulation stud",,,,,,,
pmc,,10.1038/s41598-018-26912-5,The Neurocognitive Architecture of Individual Differences in Math Anxiety in Typical Children.,https://europepmc.org/article/PMC/PMC5981328,PMC5981328,cc-by,no_usable_file,"via Data Availability link https://osf.io/pdfje/ | no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)","The research meta-data supporting this publication are available on the Open Science Framework repository, see DOI 10.17605/OSF.IO/PDFJE. The senior author, LJF, may be contacted regarding the wider dataset.",https://doi.org/10.17605/OSF.IO/PDFJE,,,,,,
