source,title,url,doi,license,flag,reasons,n_responses,n_participants,n_items,density,data_file
datacite,"Data to ""When Smart Homes Take Action: How Technology Agency can Affect Pro-Environmental Behavior"" (manuscript submitted for publication)",https://data.ub.uni-muenchen.de/id/eprint/832,10.5282/ubm/data.832,unknown,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,
datacite,"Self-efficacy, anxiety, AI utilization, and grammar knowledge among Indonesian and Taiwanese EFL learners",https://data.mendeley.com/datasets/j33ytz7wsx/1,10.17632/j33ytz7wsx.1,unknown,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,
datacite,"Self-efficacy, anxiety, AI utilization, and grammar knowledge among Indonesian and Taiwanese EFL learners",https://data.mendeley.com/datasets/j33ytz7wsx,10.17632/j33ytz7wsx,unknown,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,
datacite,The Attitude-Behavior Gap in Energy Conservation: Inhibitory Pathways of Social Norm Conflict and the Moderating Role of Goal Self-Efficacy,https://www.scidb.cn/detail?dataSetId=c29181c99b3a4ed286a1bdf1aead14e1,10.57760/sciencedb.psych.00715,unknown,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,
datacite,The effect of auricular acupressure on quality of life in postmenopausal women: a randomized sham-controlled clinical trial,https://tandf.figshare.com/articles/dataset/The_effect_of_auricular_acupressure_on_quality_of_life_in_postmenopausal_women_a_randomized_sham-controlled_clinical_trial/32200972/1,10.6084/m9.figshare.32200972,unknown,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,
datacite,"Dataset on Climate Emotion Profiles, Ecological Coping, and Depression Symptoms in Ukraine",https://data.mendeley.com/datasets/jdzhj8w2ck/2,10.17632/jdzhj8w2ck.2,unknown,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,
datacite,"Dataset on Climate Emotion Profiles, Ecological Coping, and Depression Symptoms in Ukraine",https://data.mendeley.com/datasets/jdzhj8w2ck,10.17632/jdzhj8w2ck,unknown,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,
datacite,Effects of mental health and addiction on cognitive function among Chinese junior college students,https://www.scidb.cn/detail?dataSetId=19e97806f6c741daa3fd9812f02cff35,10.57760/sciencedb.01021,unknown,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,
datacite,FAIRsharing record for: Hamilton Anxiety Rating Scale (HAM-A) Research Statistics,https://fairsharing.org/10.25504/FAIRsharing.a6c43b,10.25504/fairsharing.a6c43b,unknown,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,
datacite,the relationship between involution and anxiety,https://www.scidb.cn/detail?dataSetId=c61d9a7c0f5d4252871c839d0be29895,10.57760/sciencedb.00zxl,unknown,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,
datacite,Effects of mental health and addiction on cognitive function among Chinese junior college students,https://www.scidb.cn/detail?dataSetId=19e97806f6c741daa3fd9812f02cff35,10.57760/sciencedb.01021,unknown,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,
datacite,"Datasets underlying the paper ""Anxiety-Based Intellectual Helplessness: Reconstructing the Role of Mathematics Anxiety in Students’ Mathematical Learning Experiences""",https://data.mendeley.com/datasets/vb5rz5y7x8/1,10.17632/vb5rz5y7x8.1,unknown,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,
datacite,"Datasets underlying the paper ""Anxiety-Based Intellectual Helplessness: Reconstructing the Role of Mathematics Anxiety in Students’ Mathematical Learning Experiences""",https://data.mendeley.com/datasets/vb5rz5y7x8,10.17632/vb5rz5y7x8,unknown,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,
datacite,"Self-efficacy, anxiety, AI utilization, and grammar knowledge among Indonesian and Taiwanese EFL learners",https://data.mendeley.com/datasets/j33ytz7wsx/1,10.17632/j33ytz7wsx.1,unknown,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,
datacite,"Self-efficacy, anxiety, AI utilization, and grammar knowledge among Indonesian and Taiwanese EFL learners",https://data.mendeley.com/datasets/j33ytz7wsx,10.17632/j33ytz7wsx,unknown,no_usable_file,"no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",,,,,
