source,title,url,doi,license,flag,reasons,n_responses,n_participants,n_items,density,data_file,n_other_files,refined_flag,refined_reason
datacite,"EduMind: An Open Survey Dataset on Big Five Personality Traits, Academic Stress, Academic Procrastination, and Academic Experiences among University Students in Bangladesh",https://data.mendeley.com/datasets/738wrnc7j7,10.17632/738wrnc7j7,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify NUMERIC item columns, but 4 column(s) look like text-coded Likert items (e.g. ['Section', 'Data Type', 'Scale']) rather than numeric codes. Needs a human to confirm the category set/order and recode to numeric. | Columns present: ['Variable Name', 'Variable Label', 'Section', 'Data Type",,,,,EduMind Dataset Codebook.xlsx,2.0,not_item_response,"Column names match a data dictionary / codebook (Variable Name, Variable Label, etc.) — this file describes the dataset, it is not the data itself"
datacite,"EduMind: An Open Survey Dataset on Big Five Personality Traits, Academic Stress, Academic Procrastination, and Academic Experiences among University Students in Bangladesh",https://data.mendeley.com/datasets/738wrnc7j7/1,10.17632/738wrnc7j7.1,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify NUMERIC item columns, but 4 column(s) look like text-coded Likert items (e.g. ['Section', 'Data Type', 'Scale']) rather than numeric codes. Needs a human to confirm the category set/order and recode to numeric. | Columns present: ['Variable Name', 'Variable Label', 'Section', 'Data Type",,,,,EduMind Dataset Codebook.xlsx,2.0,not_item_response,"Column names match a data dictionary / codebook (Variable Name, Variable Label, etc.) — this file describes the dataset, it is not the data itself"
datacite,"Dataset on Climate Emotion Profiles, Ecological Coping, and Depression Symptoms in Ukraine",https://data.mendeley.com/datasets/jdzhj8w2ck/2,10.17632/jdzhj8w2ck.2,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",4284.0,306.0,14.0,1.0,Data.csv,1.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
datacite,"Dataset on Climate Emotion Profiles, Ecological Coping, and Depression Symptoms in Ukraine",https://data.mendeley.com/datasets/jdzhj8w2ck,10.17632/jdzhj8w2ck,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",4284.0,306.0,14.0,1.0,Data.csv,1.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
datacite,Data for: Reciprocal Peer-Tutoring Promotes Preference for Group Work and Flourishing through Student-Created Self-Transcendence Climate: An Intervention Study,https://data.mendeley.com/datasets/3nxfw85zsz/1,10.17632/3nxfw85zsz.1,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",5372.0,316.0,17.0,1.0,STCim_interv_merged_2T_reciprocal_pre_t1_post_t2_1.sav,0.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
datacite,Data for: Climate Anxiety in Ukraine - Emotion-Specific Pathways,https://data.mendeley.com/datasets/5ywv53yyd3,10.17632/5ywv53yyd3,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*",34884.0,306.0,114.0,1.0,data_raw.csv,1.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
datacite,Data for: Climate Anxiety in Ukraine - Emotion-Specific Pathways,https://data.mendeley.com/datasets/5ywv53yyd3/1,10.17632/5ywv53yyd3.1,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*",34884.0,306.0,114.0,1.0,data_raw.csv,1.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
datacite,Data for: Reciprocal Peer-Tutoring Promotes Preference for Group Work and Flourishing through Student-Created Self-Transcendence Climate: An Intervention Study,https://data.mendeley.com/datasets/3nxfw85zsz,10.17632/3nxfw85zsz,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",5372.0,316.0,17.0,1.0,STCim_interv_merged_2T_reciprocal_pre_t1_post_t2_1.sav,0.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
datacite,Data - The Trait Meta-Mood Scale-24 (TMMS-24) and Academic Performance,https://data.mendeley.com/datasets/p622ddkyxf/2,10.17632/p622ddkyxf.2,cc-by,human_assistance,"Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*",2946.0,491.0,6.0,1.0,Encuesta TMMS24.sav,0.0,worth_retrying,"Only issue is a low-confidence id column mapping — re-examine the first column to confirm it is the person identifier; if so, this dataset may be usable"
datacite,EchoMind-BD: A Dataset of Online Behavior and Depression Patterns Among Bangladeshi Users,https://data.mendeley.com/datasets/cw6b4b6m9n/1,10.17632/cw6b4b6m9n.1,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify NUMERIC item columns, but 8 column(s) look like text-coded Likert items (e.g. ['  3.What is your gender?  ', ' 6.How much time do you spend on social media daily?  ', ' 7.How often do you post on social media?  ']) rather than numeric codes. Needs a human to confirm the category set/ord",,,,,MetaData(Social Media Depression).xlsx,0.0,worth_retrying,"Item columns appear to hold text-coded Likert responses ('Strongly Agree', etc.) rather than numeric codes — confirm the category set/order against the source instrument and recode to numeric; not a content problem."
