source,journal,doi,title,url,pmcid,license,flag,reasons,data_availability,external_link,data_file,n_responses,n_participants,n_items,density,n_other_files
pmc,peerj,10.7717/peerj.4360,Ground beetles in city forests: does urbanization predict a personality trait?,https://europepmc.org/article/PMC/PMC5824674,PMC5824674,cc-by,no_usable_file,no tabular-format file among 7 supplementary file(s): peerj-06-4360-s003.docx; peerj-06-4360-s001.docx; peerj-06-4360-s004.docx; peerj-06-4360-s007.txt; peerj-06-4360-s006.eps; peerj-06-4360-s002.docx; peerj-06-4360-s005.docx,,,,,,,,
pmc,screports,10.1038/s41598-026-57354-z,PERMA-Profiler as a multidimensional measure of well-being in a French context.,https://europepmc.org/article/PMC/PMC13518861,PMC13518861,unknown,download_failed,"via Data Availability link https://osf.io/53t8c | HTTPSConnectionPool(host='osf.io', port=443): Max retries exceeded with url: /download/mhnav/ (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",Data availability The authors confirm that all studies were carried out in compliance with current guidelines and regulations. French PERMA-Profiler scale is available free of charge on the Open Science Framework (OSF) and can be used by clinicians and scientists alike. All data has been made public,https://osf.io/53t8c,Data_PERMA-Profiler.xlsx,,,,,
pmc,screports,10.1038/s41598-026-44952-0,Alexithymia and clinical communication competence in nursing interns in China with the mediating role of self-efficacy.,https://europepmc.org/article/PMC/PMC13039716,PMC13039716,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,peerj,10.7717/peerj.7958,Cloninger's TCI associations with adaptive and maladaptive emotion regulation strategies.,https://europepmc.org/article/PMC/PMC6815648,PMC6815648,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, resp_scale_mixed",,,peerj-07-7958-s001.xlsx,5187,247,21,1.0,0
pmc,screports,10.1038/s41598-026-58841-z,Spatial differentiation and influencing factors of urban economic resilience: an empirical study from China.,https://europepmc.org/article/PMC/PMC13524953,PMC13524953,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,heliyon,10.1016/j.heliyon.2024.e40787,Academic procrastination in Ecuadorian university students: An explanatory model based on academic motivation.,https://europepmc.org/article/PMC/PMC11665470,PMC11665470,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,peerj,10.7717/peerj.19790,Psychopathological symptoms in soccer referees: the role of psychological inflexibility and perfectionism.,https://europepmc.org/article/PMC/PMC12352424,PMC12352424,cc-by,human_assistance,"Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*, resp_scale_mixed",,,peerj-13-19790-s001.sav,18564,156,119,1.0,0
pmc,screports,10.1038/s41598-024-67954-2,"Grandiose narcissism, unfounded beliefs, and behavioral reactions during the COVID-19 pandemic.",https://europepmc.org/article/PMC/PMC11289121,PMC11289121,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,screports,10.1038/s41598-026-56163-8,Effects of personality steering on cooperative behavior in large language model agents.,https://europepmc.org/article/PMC/PMC13462106,PMC13462106,cc-by,no_usable_file,"via Data Availability link https://zenodo.org/records/19548190 | no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)",Data Availability Statement All data are available at https://doi.org/10.5281/zenodo.19548190 . We have made our code available on GitHub ( https://github.com/igenki/SteeringPersonalityLLMCooperation ).,https://doi.org/10.5281/zenodo.19548190,,,,,,
pmc,peerj,10.7717/peerj.2722,Predictor effect of Locus Of Control (LOC) on self-care activities and metabolic control in individuals with type 2 diabetes.,https://europepmc.org/article/PMC/PMC5126624,PMC5126624,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): peerj-04-2722-s001.rar,Data Availability Statement The following information was supplied regarding data availability: The raw data has been supplied as Data S1 .,,,,,,,
