source,title,url,doi,license,flag,reasons,n_responses,n_participants,n_items,density,data_file,n_other_files
osf,"Sports Club Membership Value, Satisfaction, Engagement and Well-being Dataset (China, 2021)",https://osf.io/47bhk/,,unknown,good,"Passed (no errors); 3 note(s) to glance at before submitting. | QC warnings to review: resp_direction*, imputed_values*, multi_scale* | license_unknown* — license 'unknown' not recognised as open; verify before submission",16400,410,40,1.0,raw_data.csv,1.0
datacite,"Self-efficacy, anxiety, AI utilization, and grammar knowledge among Indonesian and Taiwanese EFL learners",https://data.mendeley.com/datasets/j33ytz7wsx/1,10.17632/j33ytz7wsx.1,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'SmartPLS report', 'Unnamed: 2']",,,,,Moderation Product Indicator after bootstrap.xlsx,2.0
datacite,"Self-efficacy, anxiety, AI utilization, and grammar knowledge among Indonesian and Taiwanese EFL learners",https://data.mendeley.com/datasets/j33ytz7wsx,10.17632/j33ytz7wsx,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'SmartPLS report', 'Unnamed: 2']",,,,,Moderation Product Indicator after bootstrap.xlsx,2.0
datacite,"Self-efficacy, anxiety, AI utilization, and grammar knowledge among Indonesian and Taiwanese EFL learners",https://data.mendeley.com/datasets/j33ytz7wsx/1,10.17632/j33ytz7wsx.1,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'SmartPLS report', 'Unnamed: 2']",,,,,Moderation Product Indicator after bootstrap.xlsx,2.0
datacite,"Self-efficacy, anxiety, AI utilization, and grammar knowledge among Indonesian and Taiwanese EFL learners",https://data.mendeley.com/datasets/j33ytz7wsx,10.17632/j33ytz7wsx,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'SmartPLS report', 'Unnamed: 2']",,,,,Moderation Product Indicator after bootstrap.xlsx,2.0
datacite,Personality–Burnout Associations in Nurses: Data and Materials for a Systematic Methodological Review,https://data.mendeley.com/datasets/6by7h52sfg/1,10.17632/6by7h52sfg.1,cc-by,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['# Personality–Burnout Associations in Nurses: Research Data Package'],,,,,Personality_Burnout_Research_Data.xlsx,0.0
datacite,Personality–Burnout Associations in Nurses: Data and Materials for a Systematic Methodological Review,https://data.mendeley.com/datasets/6by7h52sfg,10.17632/6by7h52sfg,cc-by,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['# Personality–Burnout Associations in Nurses: Research Data Package'],,,,,Personality_Burnout_Research_Data.xlsx,0.0
datacite,EchoMind-BD: A Dataset of Online Behavior and Depression Patterns Among Bangladeshi Users,https://data.mendeley.com/datasets/cw6b4b6m9n/1,10.17632/cw6b4b6m9n.1,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify NUMERIC item columns, but 8 column(s) look like text-coded Likert items (e.g. ['  3.What is your gender?  ', ' 6.How much time do you spend on social media daily?  ', ' 7.How often do you post on social media?  ']) rather than numeric codes. Needs a human to confirm the category set/ord",,,,,MetaData(Social Media Depression).xlsx,0.0
datacite,EchoMind-BD: A Dataset of Online Behavior and Depression Patterns Among Bangladeshi Users,https://data.mendeley.com/datasets/cw6b4b6m9n,10.17632/cw6b4b6m9n,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify NUMERIC item columns, but 8 column(s) look like text-coded Likert items (e.g. ['  3.What is your gender?  ', ' 6.How much time do you spend on social media daily?  ', ' 7.How often do you post on social media?  ']) rather than numeric codes. Needs a human to confirm the category set/ord",,,,,MetaData(Social Media Depression).xlsx,0.0
datacite,"EduMind: An Open Survey Dataset on Big Five Personality Traits, Academic Stress, Academic Procrastination, and Academic Experiences among University Students in Bangladesh",https://data.mendeley.com/datasets/738wrnc7j7/1,10.17632/738wrnc7j7.1,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify NUMERIC item columns, but 4 column(s) look like text-coded Likert items (e.g. ['Section', 'Data Type', 'Scale']) rather than numeric codes. Needs a human to confirm the category set/order and recode to numeric. | Columns present: ['Variable Name', 'Variable Label', 'Section', 'Data Type",,,,,EduMind Dataset Codebook.xlsx,2.0
