source,title,doi,published,url
dataverse,"Replication Data for Socio-Political Activism, Brand Personality, and Social Media Engagement",10.7910/dvn/7p3pfb,2026-08-11T21:18:34Z,https://doi.org/10.7910/DVN/7P3PFB
dataverse,Replication Data for: Cult of Personality or Lack of Competition? Determining Trump’s Sway Over Republican Partisans on a Critical Case,10.7910/dvn/qdvco2,2026-08-14T15:10:55Z,https://doi.org/10.7910/DVN/QDVCO2
dataverse,Data: Self-regulated learning pathways to university students’ intention to learn artificial intelligence: Do discipline and gender matter?,10.7910/dvn/qdk2zo,2026-08-18T14:33:09Z,https://doi.org/10.7910/DVN/QDK2ZO
dataverse,Replication Data for: Do Appeals to the Diaspora Affect their Attachment to the Homeland? Findings from Jewish-Americans before and during the Israel-Hamas War,10.7910/dvn/ngrr1q,2026-08-17T08:28:17Z,https://doi.org/10.7910/DVN/NGRR1Q
dataverse,Data for: Cultural and musical adaptation as pathways to social sustainability: the mediating role of sense of belonging and the moderating role of cultural intelligence,10.7910/dvn/d6wwck,2026-08-07T07:17:20Z,https://doi.org/10.7910/DVN/D6WWCK
osf,Understanding Creativity in Human–AI Collaboration:  How Cognitive Strategies and Student Profiles Relate to Students’ Creativity,,2026-08-12T12:41:02.901954,https://osf.io/hgujs/
dataverse,"Dataset for the Study ""Preoperative Anxiety and Early Postoperative Recovery Among Women Undergoing Gynecologic Surgery in Vietnam""",10.7910/dvn/x2c2pl,2026-08-06T13:00:09Z,https://doi.org/10.7910/DVN/X2C2PL
dataverse,"Dataset for the Study ""Preoperative Anxiety and Early Postoperative Recovery Among Women Undergoing Gynecologic Surgery in Vietnam""",10.7910/dvn/x2c2pl,2026-08-06T13:00:09Z,https://doi.org/10.7910/DVN/X2C2PL
dataverse,"Dataset for the Study ""Preoperative Anxiety and Early Postoperative Recovery Among Women Undergoing Gynecologic Surgery in Vietnam""",10.7910/dvn/x2c2pl,2026-08-06T13:00:09Z,https://doi.org/10.7910/DVN/X2C2PL
dataverse,Does Affective Intelligence Theory Generalize? Evidence from the Russia-Ukraine War,10.7910/dvn/hvraoh,2026-08-07T20:18:39Z,https://doi.org/10.7910/DVN/HVRAOH
dataverse,Replication Code for: Mapping the Mechanisms of Interdisciplinary Learning Transfer from Reading to Math Achievement: Evidence from a Large-Scale Randomized Controlled Trial,10.7910/dvn/sp87zl,2026-08-12T14:16:57Z,https://doi.org/10.7910/DVN/SP87ZL
dataverse,Replication Data for: Impacts of AI systems on occupational health and well-being,10.7910/dvn/cornfb,2026-08-20T00:39:09Z,https://doi.org/10.7910/DVN/CORNFB
dataverse,"Replication Data for: Thinking Machines, Pondering Humans: Public Perception of Artificial Intelligence",10.7910/dvn/gjw7tl,2026-08-14T17:03:56Z,https://doi.org/10.7910/DVN/GJW7TL
dataverse,Replication Data for: Do Appeals to the Diaspora Affect their Attachment to the Homeland? Findings from Jewish-Americans before and during the Israel-Hamas War,10.7910/dvn/ngrr1q,2026-08-17T08:28:17Z,https://doi.org/10.7910/DVN/NGRR1Q
dataverse,Data for: Cultural and musical adaptation as pathways to social sustainability: the mediating role of sense of belonging and the moderating role of cultural intelligence,10.7910/dvn/d6wwck,2026-08-07T07:17:20Z,https://doi.org/10.7910/DVN/D6WWCK
dataverse,Replication Data for: Do Appeals to the Diaspora Affect their Attachment to the Homeland? Findings from Jewish-Americans before and during the Israel-Hamas War,10.7910/dvn/ngrr1q,2026-08-17T08:28:17Z,https://doi.org/10.7910/DVN/NGRR1Q
dataverse,"Dataset for the Study ""Preoperative Anxiety and Early Postoperative Recovery Among Women Undergoing Gynecologic Surgery in Vietnam""",10.7910/dvn/x2c2pl,2026-08-06T13:00:09Z,https://doi.org/10.7910/DVN/X2C2PL
dataverse,Does Affective Intelligence Theory Generalize? Evidence from the Russia-Ukraine War,10.7910/dvn/hvraoh,2026-08-07T20:18:39Z,https://doi.org/10.7910/DVN/HVRAOH
dataverse,Data: Self-regulated learning pathways to university students’ intention to learn artificial intelligence: Do discipline and gender matter?,10.7910/dvn/qdk2zo,2026-08-18T14:33:09Z,https://doi.org/10.7910/DVN/QDK2ZO
dataverse,Metacognition and Academic Achievement in UK Psychology Students: Limitations of Self-Report Measures and Implications for Investigating Their Association,10.7910/dvn/wydiza,2026-08-14T09:02:25Z,https://doi.org/10.7910/DVN/WYDIZA
dataverse,Metacognition and Academic Achievement in UK Psychology Students: Limitations of Self-Report Measures and Implications for Investigating Their Association,10.7910/dvn/wydiza,2026-08-14T09:02:25Z,https://doi.org/10.7910/DVN/WYDIZA
dataverse,Data: Self-regulated learning pathways to university students’ intention to learn artificial intelligence: Do discipline and gender matter?,10.7910/dvn/qdk2zo,2026-08-18T14:33:09Z,https://doi.org/10.7910/DVN/QDK2ZO
dataverse,Data: Self-regulated learning pathways to university students’ intention to learn artificial intelligence: Do discipline and gender matter?,10.7910/dvn/qdk2zo,2026-08-18T14:33:09Z,https://doi.org/10.7910/DVN/QDK2ZO
dataverse,Data for: Cultural and musical adaptation as pathways to social sustainability: the mediating role of sense of belonging and the moderating role of cultural intelligence,10.7910/dvn/d6wwck,2026-08-07T07:17:20Z,https://doi.org/10.7910/DVN/D6WWCK
dataverse,Demographic Literacy of Undergraduate Political Science Students,10.7910/dvn/fryk4a,2026-08-20T05:05:00Z,https://doi.org/10.7910/DVN/FRYK4A
dataverse,Visible but not always usable: polarized generative artificial intelligence governance in university-linked Asian journals,10.7910/dvn/tpcj1a,2026-08-16T06:16:32Z,https://doi.org/10.7910/DVN/TPCJ1A
