source,journal,doi,title,url,pmcid,license,flag,reasons,data_availability,external_link,data_file,n_responses,n_participants,n_items,density,n_other_files
pmc,bmcpubhealth,10.1186/s12889-026-27835-x,Tile: psychosocial well-being of men with infertility: a qualitative study.,https://europepmc.org/article/PMC/PMC13366742,PMC13366742,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,heliyon,10.1016/j.heliyon.2021.e06929,Verbal abuse among newly hired registered Jordanian nurses and its correlate with self-esteem and job outcomes.,https://europepmc.org/article/PMC/PMC8102753,PMC8102753,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,screports,10.1038/s41598-026-46181-x,Effects of WhatsApp reminder-supported mental contrasting with implementation intentions on university students' self-efficacy in sport training.,https://europepmc.org/article/PMC/PMC13039355,PMC13039355,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): 41598_2026_46181_MOESM1_ESM.docx,Data Availability Statement The datasets generated during and/or analyzed during the current study are available from the corresponding author on reasonable request.,,,,,,,
pmc,screports,10.1038/s41598-026-58145-2,Digital readiness and family support are associated with later learning engagement through digital self-efficacy among rural Chinese children.,https://europepmc.org/article/PMC/PMC13526775,PMC13526775,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): 41598_2026_58145_MOESM1_ESM.docx,"Data Availability Statement Because the dataset involves minors, the de-identified data are not publicly posted. The de-identified data supporting the findings of this study are available from the corresponding author upon reasonable request and subject to approval by the relevant ethics committee a",,,,,,,
pmc,screports,10.1038/s41598-026-55278-2,Physical exercise and school adaptation among junior high school students: the chain mediating roles of self-efficacy and mental health.,https://europepmc.org/article/PMC/PMC13462961,PMC13462961,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,screports,10.1038/s41598-026-42312-6,"Relying on AI at work reduces self-efficacy, ownership, and meaning while active collaboration mitigates the effects.",https://europepmc.org/article/PMC/PMC13121737,PMC13121737,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,screports,10.1038/s41598-026-54353-y,Strike-slip Pull-apart process of the Jiyang depression during the Yanshanian tectonic cycle and its response to Paleo-Pacific plate movement.,https://europepmc.org/article/PMC/PMC13421691,PMC13421691,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,behavsci,,A Network Analysis of Suicidal Cognition as a Central Node Linking Depression and Prospection Bias in University Students,https://europepmc.org/article/PMC/PMC13296312,PMC13296312,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): behavsci-16-00893-s001.zip,Data Availability Statement Data are available upon reasonable request. Interested researchers can contact the corresponding authors.,,,,,,,
pmc,behavsci,10.3390/bs16071228,The Anxious Mind: Examining the Conflicting Relationships Between Distinct Aspects of Social Anxiety and Social Cognition.,https://europepmc.org/article/PMC/PMC13405778,PMC13405778,cc-by,download_failed,via Data Availability link https://osf.io/87ew5 | could not retrieve file listing -- HTTPError: 401 Client Error: Unauthorized for url: https://api.osf.io/v2/nodes/87ew5/,Data Availability Statement The data that support the findings of this study are openly available in Open Science Framework (OSF) at https://osf.io/87ew5 (assess on 27 October 2025).,https://osf.io/87ew5,,,,,,
pmc,behavsci,10.3390/bs16071107,Well-Being at the University: The Contribution of Social and Emotional Competence and Self-Care Practices as Seen by Students.,https://europepmc.org/article/PMC/PMC13406037,PMC13406037,cc-by,download_failed,could not resolve Data Availability link https://doi.org/10.17605/OSF.IO/R3XFY: ProxyError,"Data Availability Statement The datasets generated and analyzed during this study can be found in the Open Science Framework repository at Oliveira, S. et al. Dataset of the paper “Well-being at the university: The contribution of social and emotional competence and self-care practices as seen by st",https://doi.org/10.17605/OSF.IO/R3XFY,,,,,,
pmc,screports,10.1038/s41598-026-57879-3,"Perinatal mood and anxiety diagnoses and treatment increased among medicaid births, 2017-2021.",https://europepmc.org/article/PMC/PMC13542285,PMC13542285,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): 41598_2026_57879_MOESM1_ESM.docx,"Data availability The data that support the findings of this study are available from the Centers for Medicare &amp; Medicaid Services (CMS) but restrictions apply to the availability of these data, which were used under license for the current study, and so are not publicly available. Data are howe",,,,,,,
pmc,screports,10.1038/s41598-024-74086-0,Burnout and turnover risks for healthcare workers in the United States: downstream effects from moral injury exposure.,https://europepmc.org/article/PMC/PMC11496712,PMC11496712,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
