source,journal,doi,title,url,pmcid,license,flag,reasons,data_availability,external_link,data_file,n_responses,n_participants,n_items,density,n_other_files
pmc,screports,10.1038/s41598-026-66727-3,"Evaluation of the relationship between sustainable and healthy eating behaviours, phytochemical index, anthropometric measurements, and depression in young adults.",https://europepmc.org/article/PMC/PMC13538667,PMC13538667,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,screports,10.1038/s41598-026-57354-z,PERMA-Profiler as a multidimensional measure of well-being in a French context.,https://europepmc.org/article/PMC/PMC13518861,PMC13518861,unknown,download_failed,"via Data Availability link https://osf.io/53t8c | HTTPSConnectionPool(host='osf.io', port=443): Max retries exceeded with url: /download/mhnav/ (Caused by ProxyError('Unable to connect to proxy', OSError('Tunnel connection failed: 403 Forbidden')))",Data availability The authors confirm that all studies were carried out in compliance with current guidelines and regulations. French PERMA-Profiler scale is available free of charge on the Open Science Framework (OSF) and can be used by clinicians and scientists alike. All data has been made public,https://osf.io/53t8c,Data_PERMA-Profiler.xlsx,,,,,
pmc,jofintelligence,10.3390/jintelligence14080184,Emotional-Social Intelligence Profiles and Adaptive Professional Functioning Among Teachers: A Person-Centered Analysis of School Climate Perception and Conflict Handling.,https://europepmc.org/article/PMC/PMC13514884,PMC13514884,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): jintelligence-14-00184-s001.zip,"Data Availability Statement The data presented in this study are available on request from the corresponding author. The data are not publicly available because participants consented to the analysis of their responses within the framework of the original research only, and because the dataset conta",,,,,,,
pmc,behavsci,10.3390/bs16071146,The 69-Item Multidimensional Body-Self Relations Questionnaire (MBSRQ): Psychometric Validation and Gender Invariance of the Greek Version.,https://europepmc.org/article/PMC/PMC13404790,PMC13404790,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): behavsci-16-01146-s001.zip,Data Availability Statement The data presented in this study are available on request from the corresponding author. The data are not publicly available due to privacy and ethical restrictions.,,,,,,,
pmc,heliyon,10.1016/j.heliyon.2023.e21456,Thriving amidst adversity: Flourishing and grit in Ukrainian college students with strong life purpose before and after the onset of the Russian war in Ukraine.,https://europepmc.org/article/PMC/PMC10665686,PMC10665686,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,peerj,10.7717/peerj.8949,School self-efficacy is affected by gender and motor skills: findings from an Italian study.,https://europepmc.org/article/PMC/PMC7195827,PMC7195827,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, resp_scale_mixed",,,peerj-08-8949-s002.xls,79240,3962,20,1.0,0
pmc,peerj,10.7717/peerj.7402,Self-efficacy and enjoyment of physical activity in children: factorial validity of two pictorial scales.,https://europepmc.org/article/PMC/PMC6673428,PMC6673428,cc-by,human_assistance,"Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*, multi_scale*, resp_scale_mixed",,,peerj-07-7402-s001.xlsx,140350,14035,10,1.0,0
pmc,peerj,10.7717/peerj.6436,"Enhancing fitness, enjoyment, and physical self-efficacy in primary school children: a DEDIPAC naturalistic study.",https://europepmc.org/article/PMC/PMC6387574,PMC6387574,cc-by,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, resp_scale_mixed",,,peerj-07-6436-s001.xlsx,2240,160,14,1.0,0
pmc,screports,10.1038/s41598-026-53221-z,Longitudinal effects of physical activity on university students' mental health via self-efficacy and the moderating role of peer support.,https://europepmc.org/article/PMC/PMC13415835,PMC13415835,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,screports,10.1038/s41598-026-69143-9,Hypoadiponectinemia does not enhance anxiety-like behaviour in a lean PCOS-like mouse model.,https://europepmc.org/article/PMC/PMC13542225,PMC13542225,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): 41598_2026_69143_MOESM1_ESM.pdf,Data availability The data supporting the findings of this study are available on request with the corresponding author.,,,,,,,
pmc,screports,10.1038/s41598-026-66971-7,"Characterization of depressive symptoms in individuals with spinal cord injury through the Beck Depression Inventory, and their role in recovery.",https://europepmc.org/article/PMC/PMC13493943,PMC13493943,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): 41598_2026_66971_MOESM1_ESM.pdf,"Data Availability Statement The datasets analyzed during the current study are not publicly available, as they contain sensitive personal data that cannot be shared by the authors.",,,,,,,
pmc,screports,10.1038/s41598-026-61554-y,Schizotypy and subclinical depression relate to specific trait curiosity dimensions.,https://europepmc.org/article/PMC/PMC13385751,PMC13385751,unknown,no_usable_file,"via Data Availability link https://osf.io/x3sm9 | no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)","Data availability All data is available at The Open Science Framework (OSF, https://osf.io/x3sm9 ).",https://osf.io/x3sm9,,,,,,
pmc,screports,10.1038/s41598-026-64405-y,Evaluating clinical and neuroimaging predictors for cognitive-behavioral therapy outcome in obsessive-compulsive disorder.,https://europepmc.org/article/PMC/PMC13452815,PMC13452815,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): 41598_2026_64405_MOESM1_ESM.pdf,Data availability Data is not available to be shared due to data protection agreements. All code used for data analysis is provided under https://github.com/ritterlab/EPOC_outcome_prediction.git.,,,,,,,
pmc,screports,10.1038/s41598-026-66888-1,Effectiveness of an interactive music tablet intervention to reduce procedural anxiety in children: a randomized controlled trial.,https://europepmc.org/article/PMC/PMC13503897,PMC13503897,cc-by,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Supplementary Data 1. Numerical source data underlying all figures presented in the manuscript.'],,,41598_2026_66888_MOESM3_ESM.xlsx,,,,,0
pmc,screports,10.1038/s41598-026-63942-w,"The relationship between multidimensional parenting practices and oral health status, oral health behaviours, and dental anxiety in a regional Turkish paediatric population.",https://europepmc.org/article/PMC/PMC13550635,PMC13550635,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,screports,10.1038/s41598-026-67592-w,Correction: Health anxiety by proxy differs in phenomenology between parents and dog owners.,https://europepmc.org/article/PMC/PMC13538347,PMC13538347,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): 41598_2026_67592_MOESM1_ESM.docx,,,,,,,,
pmc,screports,10.1038/s41598-026-53320-x,"Effect of immersive virtual reality on fear, anxiety, and pain in pregnant women during vaginal examination in clinical training: a randomized controlled trial.",https://europepmc.org/article/PMC/PMC13493988,PMC13493988,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,screports,10.1038/s41598-026-57984-3,The effect of customer incivility on proactive customer service performance mediated by emotional exhaustion and moderated by proactive personality.,https://europepmc.org/article/PMC/PMC13554134,PMC13554134,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,screports,10.1038/s41598-025-18545-2,"Exploring burnout, resilience and the coping strategies among critical healthcare professionals in post-COVID Taiwan.",https://europepmc.org/article/PMC/PMC12474876,PMC12474876,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,screports,10.1038/s41598-025-12543-0,"Feasibility of a tailored, combined intervention with mind-body elements to prevent burnout in healthcare professionals (LAGOM) in a mixed-methods multicenter single-arm trial.",https://europepmc.org/article/PMC/PMC12304144,PMC12304144,cc-by,no_usable_file,no tabular-format file among 1 supplementary file(s): 41598_2025_12543_MOESM1_ESM.docx,Data Availability Statement The datasets generated and analysed during the current study are not publicly available but are available from the corresponding author on reasonable request.,,,,,,,
pmc,screports,10.1038/s41598-025-97028-w,"Self-determination, motivation and burnout among residents in Lebanon.",https://europepmc.org/article/PMC/PMC12022318,PMC12022318,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,screports,10.1038/s41598-025-27697-0,"Intervention-induced changes in state mindfulness do not predict trait changes in mindfulness, self-compassion, or perceived stress.",https://europepmc.org/article/PMC/PMC12639022,PMC12639022,cc-by,no_usable_file,"via Data Availability link https://osf.io/jnc9e/ | no resolvable tabular file on landing page (checked .csv, .tsv, .tab, .xlsx, .xls, .sav, .dta, .sas7bdat, .rdata, .rda, .rds)","Data availability The preregistration, data, and script are openly available on the Open Science Framework (OSF) at [https://osf.io/jnc9e/](https:/osf.io/jnc9e/) and [https://osf.io/q3wft/](https:/osf.io/q3wft/).",https://osf.io/jnc9e/,,,,,,
pmc,screports,10.1038/s41598-025-95603-9,Associations between perceived stress and cortisol biomarkers in predominantly Latino adolescents.,https://europepmc.org/article/PMC/PMC11971456,PMC11971456,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,,,
pmc,screports,10.1038/s41598-023-40836-9,Perceived stress of mothers and fathers on two NICUs before and during the SARS-CoV-2 pandemic.,https://europepmc.org/article/PMC/PMC10477236,PMC10477236,cc-by,no_usable_file,no tabular-format file among 3 supplementary file(s): 41598_2023_40836_MOESM2_ESM.docx; 41598_2023_40836_MOESM1_ESM.docx; 41598_2023_40836_MOESM3_ESM.docx,Data availability All data generated or analysed during this study are included in this published article (and its supplementary information files). The datasets generated during and/or analysed during the current study are available from the corresponding author on reasonable request.,,,,,,,
