source,journal,doi,title,url,pmcid,license,flag,reasons,data_file,n_responses,n_participants,n_items,density,n_other_files
pmc,screports,10.1038/s41598-022-13051-1,The effects of contracting Covid-19 on cognitive failures at work: implications for task performance and turnover intentions.,https://europepmc.org/article/PMC/PMC9130967,PMC9130967,cc-by,no_usable_file,no tabular-format file among 3 supplementary file(s): 41598_2022_13051_MOESM1_ESM.docx; 41598_2022_13051_Fig1_HTML.jpg; 41598_2022_13051_Fig1_HTML.gif,,,,,,
pmc,bmcpubhealth,10.1186/s12889-023-16585-9,Health literacy in individuals with knee pain-a mixed methods study.,https://europepmc.org/article/PMC/PMC10463821,PMC10463821,cc-by,no_usable_file,no tabular-format file among 9 supplementary file(s): 12889_2023_16585_MOESM1_ESM.docx; 12889_2023_16585_MOESM5_ESM.docx; 12889_2023_16585_MOESM4_ESM.docx; 12889_2023_16585_Fig1_HTML.jpg; 12889_2023_16585_MOESM3_ESM.docx; 12889_2023_16585_MOESM2_ESM.docx; 12889_2023_16585_Fig2_HTML.gif; 12889_2023_16585_Fig2_HTML.jpg; 12889_2023_16585_Fig1_HTML.gif,,,,,,
pmc,behavsci,,Stress Responses and Recovery in Student Athletes: Heart Rate Variability and Skin Conductance Patterns Across Cognitive Challenges—A Pilot Study,https://europepmc.org/article/PMC/PMC13295499,PMC13295499,cc-by,no_usable_file,no tabular-format file among 9 supplementary file(s): behavsci-16-00912-g003.gif; behavsci-16-00912-g002.jpg; behavsci-16-00912-g001.jpg; behavsci-16-00912-s001.zip; behavsci-16-00912-g004.gif; behavsci-16-00912-g003.jpg; behavsci-16-00912-g002.gif; behavsci-16-00912-g001.gif; behavsci-16-00912-g004.jpg,,,,,,
pmc,screports,10.1038/s41598-025-98435-9,Scale validation and prediction of environmental health literacy in Brazil.,https://europepmc.org/article/PMC/PMC12034797,PMC12034797,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,
pmc,bmcpubhealth,10.1186/s12889-022-13632-9,"Face mask use during the COVID-19 pandemic: how risk perception, experience with COVID-19, and attitude towards government interact with country-wide policy stringency.",https://europepmc.org/article/PMC/PMC9412789,PMC9412789,cc-by,no_usable_file,no tabular-format file among 9 supplementary file(s): 12889_2022_13632_Fig1_HTML.gif; 12889_2022_13632_Fig2_HTML.gif; 12889_2022_13632_Fig3_HTML.gif; 12889_2022_13632_MOESM1_ESM.docx; 12889_2022_13632_Fig2_HTML.jpg; 12889_2022_13632_Tab2_HTML.jpg; 12889_2022_13632_Tab2_HTML.gif; 12889_2022_13632_Fig1_HTML.jpg; 12889_2022_13632_Fig3_HTML.jpg,,,,,,
pmc,screports,10.1038/s41598-025-30050-0,Evaluation of ChatGPT-4o and DeepSeek as tools for orthodontic health literacy in public dental education.,https://europepmc.org/article/PMC/PMC12774924,PMC12774924,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,
pmc,screports,10.1038/s41598-024-79281-7,Research on cognitive neural mechanism of consumers convinced by intelligent recommendation platform eavesdropping.,https://europepmc.org/article/PMC/PMC11568232,PMC11568232,cc-by-nc-nd,license_restricted,license 'cc-by-nc-nd' does not permit redistribution,,,,,,
pmc,peerj,10.7717/peerj.14971,"Combining ability, heterosis and performance of grain yield and content of Fe, Zn and protein in bread wheat under normal and late sowing conditions.",https://europepmc.org/article/PMC/PMC10008312,PMC10008312,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Unnamed: 8', 'Unnamed: 9', 'Unnamed: 10', 'Unnamed: 11', 'Unnamed: 12', 'Unnamed: 13', 'Unnamed: 14', 'Unnamed: 15', 'Unnamed: 16', 'Unnamed",peerj-11-14971-s003.xlsx,,,,,6
pmc,screports,10.1038/s41598-023-45217-w,Mood fluctuations shift cost-benefit tradeoffs in economic decisions.,https://europepmc.org/article/PMC/PMC10598198,PMC10598198,cc-by,no_usable_file,no tabular-format file among 37 supplementary file(s): 41598_2023_45217_Article_Equ4.gif; 41598_2023_45217_Article_Equ3.gif; 41598_2023_45217_Fig1_HTML.gif; 41598_2023_45217_Article_Equ9.gif; 41598_2023_45217_Article_IEq6.gif; 41598_2023_45217_Article_IEq8.gif; 41598_2023_45217_Article_Equ14.gif; 41598_2023_45217_Article_Equ18.gif; 41598_2023_45217_Article_IEq7.gif; 41598_2023_45217_Article_Equ1.g,,,,,,
pmc,screports,10.1038/s41598-024-53065-5,The role of the six factors model of athletic mental energy in mediating athletes' well-being in competitive sports.,https://europepmc.org/article/PMC/PMC10844369,PMC10844369,cc-by,no_usable_file,no tabular-format file among 25 supplementary file(s): 41598_2024_53065_Fig3_HTML.jpg; 41598_2024_53065_Article_IEq9.gif; 41598_2024_53065_Article_IEq4.gif; 41598_2024_53065_Fig2_HTML.jpg; 41598_2024_53065_Fig1_HTML.jpg; 41598_2024_53065_Article_IEq8.gif; 41598_2024_53065_MOESM2_ESM.docx; 41598_2024_53065_MOESM1_ESM.docx; 41598_2024_53065_Fig2_HTML.gif; 41598_2024_53065_Article_IEq7.gif,,,,,,
