source,journal,doi,title,url,pmcid,license,flag,reasons,data_availability,external_link,data_file,n_responses,n_participants,n_items,density,n_other_files,refined_flag,refined_reason
pmc,,10.1038/s41598-022-26460-z,On the cognitive mechanisms supporting prosocial disobedience in a post-genocidal context.,https://europepmc.org/article/PMC/PMC9763397,PMC9763397,unknown,human_assistance,"via Data Availability link https://osf.io/hmzy8/ | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*, resp_scale_mixed, composite_items* | license_unknown* — license 'unknown' not recognised as open; verify before submission",Data Availability Statement Data and codes are available on Open Science Framework ( https://osf.io/hmzy8/ ).,https://osf.io/hmzy8/,SPSS_Results_Rwanda_FINAL_OSF.sav,20120.0,144.0,143.0,0.9771,0.0,recoverable_format,"QC failed on resp_scale_mixed with n_participants=144 plus a multi_scale warning — consistent with one questionnaire carrying several instruments on different response scales, which calls for a per-scale split (one output file each), not a human decision. Re-read the item columns by block prefix, confirm each block's range against the paper's Methods rather than against the pooled min/max, and check any leftover out-of-range value for the single-item isolation that marks a keying slip."
pmc,,10.1038/s41598-023-34006-0,Psychometric properties of the Bern illegitimate tasks scale using classical test and item response theories.,https://europepmc.org/article/PMC/PMC10156715,PMC10156715,cc-by,human_assistance,"via Data Availability link https://data.mendeley.com/datasets/7wfgz62xgs/1 | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*, resp_scale_mixed",Data availability﻿ The data underlying the results presented in the study are available on Mendeley ( https://doi.org/10.17632/7wfgz62xgs ).,https://doi.org/10.17632/7wfgz62xgs,BITS sample II_N803.sav,49786.0,803.0,62.0,1.0,1.0,recoverable_format,"QC failed on resp_scale_mixed with n_participants=803 plus a multi_scale warning — consistent with one questionnaire carrying several instruments on different response scales, which calls for a per-scale split (one output file each), not a human decision. Re-read the item columns by block prefix, confirm each block's range against the paper's Methods rather than against the pooled min/max, and check any leftover out-of-range value for the single-item isolation that marks a keying slip."
pmc,,10.1038/s41598-025-22088-x,The influence of regularly changing enrichment on the cognitive judgement bias of laboratory rats.,https://europepmc.org/article/PMC/PMC12508032,PMC12508032,cc-by,human_assistance,"via Data Availability link https://zenodo.org/records/17115895 | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, resp_scale_mixed, composite_items*","Data Availability Statement Data and R code for analysis are publicly accessibly in an online repository (https://doi.org/10.5281/zenodo.17115895). For further requests, please contact Elena Groneberg.",https://doi.org/10.5281/zenodo.17115895,Data_CJBT.xlsx,735.0,105.0,7.0,1.0,0.0,recoverable_format,"QC failed on resp_scale_mixed with n_participants=105 — consistent with one questionnaire carrying several instruments on different response scales, which calls for a per-scale split (one output file each), not a human decision. Re-read the item columns by block prefix, confirm each block's range against the paper's Methods rather than against the pooled min/max, and check any leftover out-of-range value for the single-item isolation that marks a keying slip."
pmc,,10.1038/s41598-024-79776-3,Proactive personality and its impact on online learning engagement through positive emotions and learning motivation.,https://europepmc.org/article/PMC/PMC11568340,PMC11568340,cc-by,human_assistance,"via Data Availability link https://figshare.com/articles/dataset/two_dataset/27092545 | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*, resp_scale_mixed","Data availability The datasets generated and/or analysed during the current study are available in the Figshare repository, https://doi.org/10.6084/m9.figshare.27092545.",https://doi.org/10.6084/m9.figshare.27092545,数据整合-主动人格与学习投入.sav,56646.0,1049.0,54.0,1.0,1.0,recoverable_format,"QC failed on resp_scale_mixed with n_participants=1049 plus a multi_scale warning — consistent with one questionnaire carrying several instruments on different response scales, which calls for a per-scale split (one output file each), not a human decision. Re-read the item columns by block prefix, confirm each block's range against the paper's Methods rather than against the pooled min/max, and check any leftover out-of-range value for the single-item isolation that marks a keying slip."
pmc,,10.1038/s41598-024-80532-w,The COVID-19 pandemic and social cognitive outcomes in early childhood.,https://europepmc.org/article/PMC/PMC11584632,PMC11584632,unknown,human_assistance,"via Data Availability link https://osf.io/9yu2w/?view_only=4bf7c4d60419473887edd48290739516 | resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*, resp_scale_mixed, composite_items* | license_unknown* — license 'unknown' not recognised as open; verif",Data Availability Statement The data and code necessary to reproduce the results in this article (and its Supplementary Information files) are available on OSF at: https://osf.io/9yu2w/?view_only=4bf7c4d60419473887edd48290739516 .,https://osf.io/9yu2w/?view_only=4bf7c4d60419473887edd48290739516,PandemicData.xlsx,3729.0,101.0,37.0,0.9979,0.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
pmc,,10.1038/s41598-025-22533-x,Grit subcomponents are differentially associated with practice trajectories underlying expertise development.,https://europepmc.org/article/PMC/PMC12572304,PMC12572304,unknown,human_assistance,"via Data Availability link https://osf.io/za6v9/?view_only=2b0736a3384c4d1e98cb5b47abe12831 | resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, resp_scale_mixed | license_unknown* — license 'unknown' not recognised as open; verify before submission",Data availability The data and the code used for the analyzes can be retrieved from https://osf.io/za6v9/?view_only=2b0736a3384c4d1e98cb5b47abe12831 .,https://osf.io/za6v9/?view_only=2b0736a3384c4d1e98cb5b47abe12831,ski.csv,20465.0,4093.0,5.0,1.0,0.0,aggregate_continuous,"Response has >50 unique values after wide-to-long melt — likely continuous measurement (VAS, RT, scale scores), not ordinal item responses. Confirm resp range before including."
pmc,,10.7717/peerj.5541,Interaction of guidance types and the Need for Cognitive Closure in wiki-based learning.,https://europepmc.org/article/PMC/PMC6139018,PMC6139018,unknown,human_assistance,"via Data Availability link http://osf.io/ut2aq | QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, resp_scale_mixed | license_unknown* — license 'unknown' not recognised as open; verify before submission",Data Availability Statement The following information was supplied regarding data availability: Heimbuch S. 2018. Exploring the interplay of scaffolding and the need for cognitive closure in wiki-based learning. http://osf.io/ut2aq .,http://osf.io/ut2aq,data.csv,6697.0,150.0,37.0,1.2067,0.0,worth_retrying,"dup_id_item fail but n_participants=150, ratio=1.2× — consistent with a longitudinal/repeated-measures design. Re-examine file for a wave/timepoint/date column to use as third key; if present this is likely IRW-eligible."
pmc,,10.1038/s41598-024-55930-9,"Motivated reasoning about climate change and the influence of Numeracy, Need for Cognition, and the Dark Factor of Personality.",https://europepmc.org/article/PMC/PMC10920913,PMC10920913,unknown,human_assistance,"via Data Availability link https://osf.io/nvek2/ | QC failed on: dup_id_item | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*, resp_scale_mixed, composite_items* | license_unknown* — license 'unknown' not recognised as open; verify before submission",Data Availability Statement Data and analysis code for both Study 1 and Study 2 can be downloaded at 10.17605/osf.io/nvek2.,https://doi.org/10.17605/osf.io/nvek2,Study1_finalsample_OSF.sav,61716.0,530.0,111.0,1.0491,3.0,worth_retrying,"dup_id_item fail but n_participants=530, ratio=1.0× — consistent with a longitudinal/repeated-measures design. Re-examine file for a wave/timepoint/date column to use as third key; if present this is likely IRW-eligible."
pmc,,10.1038/s41598-024-68674-3,The role of general cognitive skills in integrating visual and linguistic information during sentence comprehension: individual differences across the lifespan.,https://europepmc.org/article/PMC/PMC11294566,PMC11294566,unknown,human_assistance,"via Data Availability link https://osf.io/wy3bv/ | Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Hungarian sentence', 'Condition', 'Verb', 'Target', 'Distractor', 'Translation'] | license_unknown* — license 'unknown' not recognised as open; verify before submission","Data Availability Statement The raw data, analysis script, and item list are publicly available on OSF ( https://osf.io/wy3bv/ ).",https://osf.io/wy3bv/,items.xlsx,,,,,2.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
pmc,,10.1038/s41598-023-45979-3,Open-label placebo treatment does not enhance cognitive abilities in healthy volunteers.,https://europepmc.org/article/PMC/PMC10636058,PMC10636058,unknown,human_assistance,"via Data Availability link https://osf.io/gzkxy/ | Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Category', 'Variable', 'Description, scale, time point'] | license_unknown* — license 'unknown' not recognised as open; verify before submission",Data Availability Statement The data used for the analysis has been uploaded to the Open Science Framework project ( https://osf.io/gzkxy/ ) 82 .,https://osf.io/gzkxy/,Data_CoPe.xlsx,,,,,0.0,human_review,No clear automated classification — raw file needs human inspection to determine IRW eligibility
