source,title,url,doi,license,flag,reasons,n_responses,n_participants,n_items,density,data_file,n_other_files
zenodo,Teachers' Beliefs and Self-efficacy on Social Issues in Computing Education -- Survey Data and Analysis Code,https://zenodo.org/records/17826337,10.5281/zenodo.17826337,cc-by,human_assistance,Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['CASE;age;years of service;gender;Stex1;Stex2;sek1;sek2;b_si_01;b_si_02;b_si_03;b_si_04;b_si_05;b_si_06;b_si_07;b_si_08;b_si_09;se_ce_01;se_ce_02;se_ce_03;se_ce_04;se_ce_05;se_ce_06;se_ce_07;se_ce_08;se_ce_09;se_si_01;se_si_02;se_si_03;se_si_04;se_si_05,,,,,data.csv,0.0
dataverse,A Multisource Spatiotemporal Unified Dataset for Equity-Aware Energy Resilience Planning in California,https://doi.org/10.7910/DVN/H0PYUO,10.7910/dvn/h0pyuo,cc0,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify NUMERIC item columns, but 2 column(s) look like text-coded Likert items (e.g. ['Source group', 'Data type']) rather than numeric codes. Needs a human to confirm the category set/order and recode to numeric. | Columns present: ['Column name', 'Source group', 'Data type', 'Unit', 'Descrip",,,,,resilience_planning_dataset_data_dictionary.xlsx,1.0
dataverse,Replication Data for: Co-evolution of digital transformation and ecological resilience in China: Spatial dynamics and structural constraints,https://doi.org/10.7910/DVN/MN73JP,10.7910/dvn/mn73jp,cc0,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['Variables', 'Definitions', 'Unnamed: 2', 'Unnamed: 3', 'Unnamed: 4', 'Unnamed: 5', 'Unnamed: 6', 'Unnamed: 7', 'Sheet1', 'The final indicator system of the article']",,,,,Panel_Data_2014_2023.xlsx,0.0
dataverse,Replication Data for: The GCC Petro-Compute Paradox: AI Data Centers and Economic Resilience after the Hormuz Shock,https://doi.org/10.7910/DVN/RJVYYK,10.7910/dvn/rjvyyk,cc0,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify item columns. | Columns present: ['The Petro-Compute Bounded Arbitrage Model', 'Unnamed: 1', 'Unnamed: 2']",,,,,Petro_Compute_Arbitrage_Model.xlsx,0.0
zenodo,NbS OOIR Coding Dataset: Claimed but Not Measured — Resilience Indicators in Urban Nature-Based Solutions (n = 97),https://zenodo.org/records/20784765,10.5281/zenodo.20784765,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify NUMERIC item columns, but 8 column(s) look like text-coded Likert items (e.g. ['Year', 'Journal/Source', 'NbS type']) rather than numeric codes. Needs a human to confirm the category set/order and recode to numeric. | Columns present: ['#', 'Paper_ID', 'Authors', 'Year', 'Title', 'Journ",,,,,NbS_OOIR_dataset_n97 (1).xlsx,0.0
zenodo,Dataset for: A Cognitive–Affective Pathway from Socially Prescribed Perfectionism to Athlete Burnout: The Roles of Fear of Failure and Competitive State Anxiety in Chinese Athletes,https://zenodo.org/records/20567185,10.5281/zenodo.20567185,cc-by,human_assistance,"Automatic IRW formatting failed — needs a human to map columns to id/item/resp. | Could not confidently identify NUMERIC item columns, but 3 column(s) look like text-coded Likert items (e.g. ['variable_type', 'construct', 'valid_values_or_range']) rather than numeric codes. Needs a human to confirm the category set/order and recode to numeric. | Columns present: ['column_name', 'variable_type', 'c",,,,,Data_Dictionary.xlsx,0.0
dataverse,"Replication Data for ""Electoral Resilience in the Face of Disaster: The Impact of Hurricane Helene on the 2024 Election in North Carolina”",https://doi.org/10.7910/DVN/C94PHX,10.7910/dvn/c94phx,cc0,human_assistance,"QC failed on: dup_id_item, resp_scale_mixed | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, composite_items*",6000,383,15,1.0444,analysis_panel.tab,0.0
zenodo,FISAD: A Large-Scale Full-Body Apparel Dataset for Studying Apparent Personality Trait Perception,https://zenodo.org/records/22238732,10.5281/zenodo.22238732,cc-by,human_assistance,"QC failed on: resp_scale_mixed | QC warnings to review: resp_ordinal*, resp_direction*",36000,6000,6,1.0,FISAD_data.csv,0.0
dataverse,Data for Understanding the Roles of Grit and Generative AI Alignment in Academic Performance,https://doi.org/10.7910/DVN/EEPE1L,10.7910/dvn/eepe1l,cc0,human_assistance,"resp has >50 unique values after wide-to-long melt — likely continuous/aggregate data, not ordinal item responses. | QC warnings to review: resp_ordinal*, resp_direction*, multi_scale*, item_scale_outlier",4400,275,16,1.0,GAI(U)_275.xlsx,0.0
zenodo,"Data for ""Transforming digital autonomy into balanced lexical growth: A parallel multiple mediation analysis of L2 grit and digital self-efficacy""",https://zenodo.org/records/21090568,10.5281/zenodo.21090568,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*",7584,316,24,1.0,data for SEM.xlsx,0.0
zenodo,"Emotional Competence, Entrepreneurial Self-Efficacy, and Entrepreneurial Intention among Accounting Students",https://zenodo.org/records/20692950,10.5281/zenodo.20692950,cc-by,human_assistance,"Column mapping was a low-confidence guess. | QC warnings to review: resp_direction*, imputed_values*, multi_scale*",22932,637,36,1.0,data 061426.xlsx,0.0
dataverse,"Replication Data for: ""Resilience and disruption in Latin America’s third wave""",https://doi.org/10.7910/DVN/FMDLII,10.7910/dvn/fmdlii,cc0,human_assistance,"Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*",37208,18604,2,1.0,cases.tab,7.0
dataverse,Exercise addiction risk and non-suicidal self-injury: The mediating role of anxiety and the moderating role of resilience,https://doi.org/10.7910/DVN/OF2DQK,10.7910/dvn/of2dqk,cc0,human_assistance,"QC failed on: resp_scale_mixed | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",13117,1009,13,1.0,Data.xlsx,0.0
zenodo,Explainable GeoAI for Agricultural Climate Resilience: Data and Code,https://zenodo.org/records/22208810,10.5281/zenodo.22208810,cc-by,human_assistance,"QC failed on: resp_scale_mixed | Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*",197868,8994,22,1.0,df_model_denizli_TAM.csv,1.0
zenodo,Trait and State Fear of Missing Out and Adolescent Academic Burnout: A Four-Wave Study of Serial Indirect Associations Through Learning Anxiety and Academic Procrastination,https://zenodo.org/records/22240547,10.5281/zenodo.22240547,cc-by,human_assistance,"Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*, multi_scale*, item_scale_outlier",37455,681,55,1.0,Data.sav,0.0
dataverse,JobCannon Psychometric Response Dataset,https://doi.org/10.7910/DVN/RL99KS,10.7910/dvn/rl99ks,cc-by,human_assistance,"QC failed on: resp_scale_mixed | QC warnings to review: resp_ordinal*, resp_direction*, multi_scale*, composite_items*",223499,3997,56,0.9985,big_five.csv,11.0
dataverse,Replication Data for: Debt Sustainability as a System Property: A Parsimonious Framework for Structural Monitoring and Resilience,https://doi.org/10.7910/DVN/22L5LJ,10.7910/dvn/22l5lj,cc0,human_assistance,"Column mapping was a low-confidence guess. | QC warnings to review: resp_ordinal*, resp_direction*",9157,3063,3,0.9965,df_A.tab,7.0
dataverse,"Replication Data for: Illuminating the Dark Dimensions: Circumplex Analysis of Interpersonal-Emotional Functioning in Psychopathy, Machiavellianism, Narcissism, and Borderline Personality",https://doi.org/10.7910/DVN/D62AF3,10.7910/dvn/d62af3,cc0,human_assistance,"QC failed on: dup_id_item, resp_scale_mixed | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*",350999,956,374,0.9817,Data.tab,0.0
dataverse,"Replication Data for: Illuminating the Dark Dimensions: Circumplex Analysis of Interpersonal-Emotional Functioning in Psychopathy, Machiavellianism, Narcissism, and Borderline Personality",https://doi.org/10.7910/DVN/D62AF3,10.7910/dvn/d62af3,cc0,human_assistance,"QC failed on: dup_id_item, resp_scale_mixed | QC warnings to review: resp_ordinal*, resp_direction*, imputed_values*, multi_scale*",350999,956,374,0.9817,Data.tab,0.0
dataverse,"Data and code supporting the publication ""Seabirds and native vegetation drive ecosystem processes that enhance atoll island resilience""",https://doi.org/10.7910/DVN/6WNNHG,10.7910/dvn/6wnnhg,cc-by-sa,not_item_response,Does NOT look like item-response data — not a candidate for IRW. | 96% of responses are unique (real items reuse a small scale; this looks like a results table) | 87% of resp values are non-integer — ordinal item responses are almost always integer-valued,196,28,7,1.0,github_overview_table.xlsx,0.0
dataverse,Replication Data for Section 10 (“Monitoring Structural Fragility Before the Global Financial Crisis: A Pseudo-Real-Time SDMF Assessment”) of Debt Sustainability as a System Property: A Parsimonious Framework for Structural Monitoring and Resilience,https://doi.org/10.7910/DVN/SDU39L,10.7910/dvn/sdu39l,cc0,not_item_response,Does NOT look like item-response data — not a candidate for IRW. | 73% of responses are unique (real items reuse a small scale; this looks like a results table) | 85% of resp values are non-integer — ordinal item responses are almost always integer-valued,7501,215,35,0.9968,01_precrisis_realtime_dashboard.tab,8.0
dataverse,Replication Data for: Resilience Discourse at the Water's Edge,https://doi.org/10.7910/DVN/UQDNYT,10.7910/dvn/uqdnyt,cc0,not_item_response,Does NOT look like item-response data — not a candidate for IRW. | only 7 distinct ids (too few to be respondents) | 89% of responses are unique (real items reuse a small scale; this looks like a results table),90,7,13,0.989,Resilience Discourse at the water's edge - Prevalance data.xlsx,0.0
