"table","instrument","language","instructions","section_id","section_prompt","section_prompt_translated","item","item_text","item_text_translated","correct_response","resp","option_text","option_text_translated"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q1","当我学英语时，即使不顺利我也毫不气馁，并能够坚持不懈。","When I study English, I do not get discouraged even when things do not go well, and I can persevere.",NA,1,"从来没有","Never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q1","当我学英语时，即使不顺利我也毫不气馁，并能够坚持不懈。","When I study English, I do not get discouraged even when things do not go well, and I can persevere.",NA,2,"几乎没有","Almost never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q1","当我学英语时，即使不顺利我也毫不气馁，并能够坚持不懈。","When I study English, I do not get discouraged even when things do not go well, and I can persevere.",NA,3,"很少","Rarely"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q1","当我学英语时，即使不顺利我也毫不气馁，并能够坚持不懈。","When I study English, I do not get discouraged even when things do not go well, and I can persevere.",NA,4,"有时","Sometimes"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q1","当我学英语时，即使不顺利我也毫不气馁，并能够坚持不懈。","When I study English, I do not get discouraged even when things do not go well, and I can persevere.",NA,5,"经常","Often"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q1","当我学英语时，即使不顺利我也毫不气馁，并能够坚持不懈。","When I study English, I do not get discouraged even when things do not go well, and I can persevere.",NA,6,"十分频繁","Very often"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q1","当我学英语时，即使不顺利我也毫不气馁，并能够坚持不懈。","When I study English, I do not get discouraged even when things do not go well, and I can persevere.",NA,7,"总是","Always"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q2","我能坚持长时间的英语学习","I can persist in studying English for a long time",NA,1,"从来没有","Never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q2","我能坚持长时间的英语学习","I can persist in studying English for a long time",NA,2,"几乎没有","Almost never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q2","我能坚持长时间的英语学习","I can persist in studying English for a long time",NA,3,"很少","Rarely"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q2","我能坚持长时间的英语学习","I can persist in studying English for a long time",NA,4,"有时","Sometimes"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q2","我能坚持长时间的英语学习","I can persist in studying English for a long time",NA,5,"经常","Often"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q2","我能坚持长时间的英语学习","I can persist in studying English for a long time",NA,6,"十分频繁","Very often"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q2","我能坚持长时间的英语学习","I can persist in studying English for a long time",NA,7,"总是","Always"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q3","学英语时，我浑身有力而且干劲十足。","When studying English, I feel strong and full of energy.",NA,1,"从来没有","Never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q3","学英语时，我浑身有力而且干劲十足。","When studying English, I feel strong and full of energy.",NA,2,"几乎没有","Almost never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q3","学英语时，我浑身有力而且干劲十足。","When studying English, I feel strong and full of energy.",NA,3,"很少","Rarely"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q3","学英语时，我浑身有力而且干劲十足。","When studying English, I feel strong and full of energy.",NA,4,"有时","Sometimes"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q3","学英语时，我浑身有力而且干劲十足。","When studying English, I feel strong and full of energy.",NA,5,"经常","Often"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q3","学英语时，我浑身有力而且干劲十足。","When studying English, I feel strong and full of energy.",NA,6,"十分频繁","Very often"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q3","学英语时，我浑身有力而且干劲十足。","When studying English, I feel strong and full of energy.",NA,7,"总是","Always"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q4","学英语时，即使精神疲劳，我也能很快恢复。","When studying English, I can recover quickly even when I am mentally tired.",NA,1,"从来没有","Never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q4","学英语时，即使精神疲劳，我也能很快恢复。","When studying English, I can recover quickly even when I am mentally tired.",NA,2,"几乎没有","Almost never"
"hua_2023_efl_study_engagement","EFL Study Engagement Scale (EFL-SESS), an adapted version of the Utrecht Work Engagement Scale-Student (UWES-S)","Chinese",NA,"hua_2023_efl_study_engagement_1",NA,NA,"EFL_LE_Vigor_Q4","学英语时，即使精神疲劳，我也能很快恢复。","When studying English, I can recover quickly even when I am mentally tired.",NA,3,"很少","Rarely"
