"table","instrument","language","instructions","instructions_translated","section_id","section_prompt","section_prompt_translated","item","item_text","item_text_translated","correct_response","resp","option_text","option_text_translated"
"hui_2024_gbfs","General Benefit Finding Scale (GBFS), Chinese version (益处发现量表)","Chinese","请仔细阅读以下条目，根据你处于逆境时的感受选择合适的选项。","Please read the following items carefully and choose the option that fits how you felt during the difficult times you have been through.","hui_2024_gbfs_1",NA,NA,"b1","让我更接受事物","Led me to be more accepting of things",NA,1,"完全不同意","Strongly disagree"
"hui_2024_gbfs","General Benefit Finding Scale (GBFS), Chinese version (益处发现量表)","Chinese","请仔细阅读以下条目，根据你处于逆境时的感受选择合适的选项。","Please read the following items carefully and choose the option that fits how you felt during the difficult times you have been through.","hui_2024_gbfs_1",NA,NA,"b1","让我更接受事物","Led me to be more accepting of things",NA,2,"不同意","Disagree"
"hui_2024_gbfs","General Benefit Finding Scale (GBFS), Chinese version (益处发现量表)","Chinese","请仔细阅读以下条目，根据你处于逆境时的感受选择合适的选项。","Please read the following items carefully and choose the option that fits how you felt during the difficult times you have been through.","hui_2024_gbfs_1",NA,NA,"b1","让我更接受事物","Led me to be more accepting of things",NA,3,"介于中间","In between"
"hui_2024_gbfs","General Benefit Finding Scale (GBFS), Chinese version (益处发现量表)","Chinese","请仔细阅读以下条目，根据你处于逆境时的感受选择合适的选项。","Please read the following items carefully and choose the option that fits how you felt during the difficult times you have been through.","hui_2024_gbfs_1",NA,NA,"b1","让我更接受事物","Led me to be more accepting of things",NA,4,"同意","Agree"
"hui_2024_gbfs","General Benefit Finding Scale (GBFS), Chinese version (益处发现量表)","Chinese","请仔细阅读以下条目，根据你处于逆境时的感受选择合适的选项。","Please read the following items carefully and choose the option that fits how you felt during the difficult times you have been through.","hui_2024_gbfs_1",NA,NA,"b1","让我更接受事物","Led me to be more accepting of things",NA,5,"完全同意","Strongly agree"
"hui_2024_gbfs","General Benefit Finding Scale (GBFS), Chinese version (益处发现量表)","Chinese","请仔细阅读以下条目，根据你处于逆境时的感受选择合适的选项。","Please read the following items carefully and choose the option that fits how you felt during the difficult times you have been through.","hui_2024_gbfs_1",NA,NA,"b2","教会我如何适应我无法改变的事情","Taught me how to adjust to things I cannot change",NA,1,"完全不同意","Strongly disagree"
"hui_2024_gbfs","General Benefit Finding Scale (GBFS), Chinese version (益处发现量表)","Chinese","请仔细阅读以下条目，根据你处于逆境时的感受选择合适的选项。","Please read the following items carefully and choose the option that fits how you felt during the difficult times you have been through.","hui_2024_gbfs_1",NA,NA,"b2","教会我如何适应我无法改变的事情","Taught me how to adjust to things I cannot change",NA,2,"不同意","Disagree"
"hui_2024_gbfs","General Benefit Finding Scale (GBFS), Chinese version (益处发现量表)","Chinese","请仔细阅读以下条目，根据你处于逆境时的感受选择合适的选项。","Please read the following items carefully and choose the option that fits how you felt during the difficult times you have been through.","hui_2024_gbfs_1",NA,NA,"b2","教会我如何适应我无法改变的事情","Taught me how to adjust to things I cannot change",NA,3,"介于中间","In between"
"hui_2024_gbfs","General Benefit Finding Scale (GBFS), Chinese version (益处发现量表)","Chinese","请仔细阅读以下条目，根据你处于逆境时的感受选择合适的选项。","Please read the following items carefully and choose the option that fits how you felt during the difficult times you have been through.","hui_2024_gbfs_1",NA,NA,"b2","教会我如何适应我无法改变的事情","Taught me how to adjust to things I cannot change",NA,4,"同意","Agree"
"hui_2024_gbfs","General Benefit Finding Scale (GBFS), Chinese version (益处发现量表)","Chinese","请仔细阅读以下条目，根据你处于逆境时的感受选择合适的选项。","Please read the following items carefully and choose the option that fits how you felt during the difficult times you have been through.","hui_2024_gbfs_1",NA,NA,"b2","教会我如何适应我无法改变的事情","Taught me how to adjust to things I cannot change",NA,5,"完全同意","Strongly agree"
"hui_2024_gbfs","General Benefit Finding Scale (GBFS), Chinese version (益处发现量表)","Chinese","请仔细阅读以下条目，根据你处于逆境时的感受选择合适的选项。","Please read the following items carefully and choose the option that fits how you felt during the difficult times you have been through.","hui_2024_gbfs_1",NA,NA,"b3","帮助我顺其自然","Helped me take things as they come",NA,1,"完全不同意","Strongly disagree"
"hui_2024_gbfs","General Benefit Finding Scale (GBFS), Chinese version (益处发现量表)","Chinese","请仔细阅读以下条目，根据你处于逆境时的感受选择合适的选项。","Please read the following items carefully and choose the option that fits how you felt during the difficult times you have been through.","hui_2024_gbfs_1",NA,NA,"b3","帮助我顺其自然","Helped me take things as they come",NA,2,"不同意","Disagree"
"hui_2024_gbfs","General Benefit Finding Scale (GBFS), Chinese version (益处发现量表)","Chinese","请仔细阅读以下条目，根据你处于逆境时的感受选择合适的选项。","Please read the following items carefully and choose the option that fits how you felt during the difficult times you have been through.","hui_2024_gbfs_1",NA,NA,"b3","帮助我顺其自然","Helped me take things as they come",NA,3,"介于中间","In between"
"hui_2024_gbfs","General Benefit Finding Scale (GBFS), Chinese version (益处发现量表)","Chinese","请仔细阅读以下条目，根据你处于逆境时的感受选择合适的选项。","Please read the following items carefully and choose the option that fits how you felt during the difficult times you have been through.","hui_2024_gbfs_1",NA,NA,"b3","帮助我顺其自然","Helped me take things as they come",NA,4,"同意","Agree"
