"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"spain_2018_housing_opinions","spain_2018_housing_opinions_1","P25_1","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.25: opiniones sobre la vivienda (compra y alquiler)","Spanish","Hablando de la vivienda, en general, voy a leerle una serie de opiniones y me gustaría que me dijera si está Ud. muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con cada una de ellas.","Speaking about housing in general, I am going to read you a series of opinions and I would like you to tell me whether you strongly agree, agree, disagree or strongly disagree with each of them.",NA,"Siempre es mejor comprar un piso que alquilarlo","It is always better to buy a flat than to rent it",NA,"Muy de acuerdo","Strongly agree",1
"spain_2018_housing_opinions","spain_2018_housing_opinions_1","P25_1","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.25: opiniones sobre la vivienda (compra y alquiler)","Spanish","Hablando de la vivienda, en general, voy a leerle una serie de opiniones y me gustaría que me dijera si está Ud. muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con cada una de ellas.","Speaking about housing in general, I am going to read you a series of opinions and I would like you to tell me whether you strongly agree, agree, disagree or strongly disagree with each of them.",NA,"Siempre es mejor comprar un piso que alquilarlo","It is always better to buy a flat than to rent it",NA,"De acuerdo","Agree",2
"spain_2018_housing_opinions","spain_2018_housing_opinions_1","P25_1","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.25: opiniones sobre la vivienda (compra y alquiler)","Spanish","Hablando de la vivienda, en general, voy a leerle una serie de opiniones y me gustaría que me dijera si está Ud. muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con cada una de ellas.","Speaking about housing in general, I am going to read you a series of opinions and I would like you to tell me whether you strongly agree, agree, disagree or strongly disagree with each of them.",NA,"Siempre es mejor comprar un piso que alquilarlo","It is always better to buy a flat than to rent it",NA,"En desacuerdo","Disagree",4
"spain_2018_housing_opinions","spain_2018_housing_opinions_1","P25_1","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.25: opiniones sobre la vivienda (compra y alquiler)","Spanish","Hablando de la vivienda, en general, voy a leerle una serie de opiniones y me gustaría que me dijera si está Ud. muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con cada una de ellas.","Speaking about housing in general, I am going to read you a series of opinions and I would like you to tell me whether you strongly agree, agree, disagree or strongly disagree with each of them.",NA,"Siempre es mejor comprar un piso que alquilarlo","It is always better to buy a flat than to rent it",NA,"Muy en desacuerdo","Strongly disagree",5
"spain_2018_housing_opinions","spain_2018_housing_opinions_1","P25_2","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.25: opiniones sobre la vivienda (compra y alquiler)","Spanish","Hablando de la vivienda, en general, voy a leerle una serie de opiniones y me gustaría que me dijera si está Ud. muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con cada una de ellas.","Speaking about housing in general, I am going to read you a series of opinions and I would like you to tell me whether you strongly agree, agree, disagree or strongly disagree with each of them.",NA,"Hay mejores inversiones que la compra de una vivienda","There are better investments than buying a home",NA,"Muy de acuerdo","Strongly agree",1
"spain_2018_housing_opinions","spain_2018_housing_opinions_1","P25_2","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.25: opiniones sobre la vivienda (compra y alquiler)","Spanish","Hablando de la vivienda, en general, voy a leerle una serie de opiniones y me gustaría que me dijera si está Ud. muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con cada una de ellas.","Speaking about housing in general, I am going to read you a series of opinions and I would like you to tell me whether you strongly agree, agree, disagree or strongly disagree with each of them.",NA,"Hay mejores inversiones que la compra de una vivienda","There are better investments than buying a home",NA,"De acuerdo","Agree",2
"spain_2018_housing_opinions","spain_2018_housing_opinions_1","P25_2","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.25: opiniones sobre la vivienda (compra y alquiler)","Spanish","Hablando de la vivienda, en general, voy a leerle una serie de opiniones y me gustaría que me dijera si está Ud. muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con cada una de ellas.","Speaking about housing in general, I am going to read you a series of opinions and I would like you to tell me whether you strongly agree, agree, disagree or strongly disagree with each of them.",NA,"Hay mejores inversiones que la compra de una vivienda","There are better investments than buying a home",NA,"En desacuerdo","Disagree",4
"spain_2018_housing_opinions","spain_2018_housing_opinions_1","P25_2","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.25: opiniones sobre la vivienda (compra y alquiler)","Spanish","Hablando de la vivienda, en general, voy a leerle una serie de opiniones y me gustaría que me dijera si está Ud. muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con cada una de ellas.","Speaking about housing in general, I am going to read you a series of opinions and I would like you to tell me whether you strongly agree, agree, disagree or strongly disagree with each of them.",NA,"Hay mejores inversiones que la compra de una vivienda","There are better investments than buying a home",NA,"Muy en desacuerdo","Strongly disagree",5
"spain_2018_housing_opinions","spain_2018_housing_opinions_1","P25_3","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.25: opiniones sobre la vivienda (compra y alquiler)","Spanish","Hablando de la vivienda, en general, voy a leerle una serie de opiniones y me gustaría que me dijera si está Ud. muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con cada una de ellas.","Speaking about housing in general, I am going to read you a series of opinions and I would like you to tell me whether you strongly agree, agree, disagree or strongly disagree with each of them.",NA,"El alquiler da mayor libertad para moverse y cambiar de vivienda","Renting gives more freedom to move and change home",NA,"Muy de acuerdo","Strongly agree",1
"spain_2018_housing_opinions","spain_2018_housing_opinions_1","P25_3","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.25: opiniones sobre la vivienda (compra y alquiler)","Spanish","Hablando de la vivienda, en general, voy a leerle una serie de opiniones y me gustaría que me dijera si está Ud. muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con cada una de ellas.","Speaking about housing in general, I am going to read you a series of opinions and I would like you to tell me whether you strongly agree, agree, disagree or strongly disagree with each of them.",NA,"El alquiler da mayor libertad para moverse y cambiar de vivienda","Renting gives more freedom to move and change home",NA,"De acuerdo","Agree",2
"spain_2018_housing_opinions","spain_2018_housing_opinions_1","P25_3","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.25: opiniones sobre la vivienda (compra y alquiler)","Spanish","Hablando de la vivienda, en general, voy a leerle una serie de opiniones y me gustaría que me dijera si está Ud. muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con cada una de ellas.","Speaking about housing in general, I am going to read you a series of opinions and I would like you to tell me whether you strongly agree, agree, disagree or strongly disagree with each of them.",NA,"El alquiler da mayor libertad para moverse y cambiar de vivienda","Renting gives more freedom to move and change home",NA,"En desacuerdo","Disagree",4
"spain_2018_housing_opinions","spain_2018_housing_opinions_1","P25_3","CIS Estudio 3212, Barómetro sobre la vivienda y el alquiler (abril-mayo 2018), P.25: opiniones sobre la vivienda (compra y alquiler)","Spanish","Hablando de la vivienda, en general, voy a leerle una serie de opiniones y me gustaría que me dijera si está Ud. muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo con cada una de ellas.","Speaking about housing in general, I am going to read you a series of opinions and I would like you to tell me whether you strongly agree, agree, disagree or strongly disagree with each of them.",NA,"El alquiler da mayor libertad para moverse y cambiar de vivienda","Renting gives more freedom to move and change home",NA,"Muy en desacuerdo","Strongly disagree",5
