"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"mede_2025_clim_polsupport","mede_2025_clim_polsupport_1","CLIM_POLSUPPORT_fueltax","Support for environmental policies (TISP core questionnaire, block CLIM_POLSUPPORT)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","Many countries have introduced policies to reduce carbon emissions and mitigate climate change. This can include the implementation of laws aiming to reduce greenhouse gases, for example. Please indicate your level of support for the following policies.",NA,"Raising carbon taxes on gas and fossil fuels or coal",NA,"Not at all",1
"mede_2025_clim_polsupport","mede_2025_clim_polsupport_1","CLIM_POLSUPPORT_fueltax","Support for environmental policies (TISP core questionnaire, block CLIM_POLSUPPORT)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","Many countries have introduced policies to reduce carbon emissions and mitigate climate change. This can include the implementation of laws aiming to reduce greenhouse gases, for example. Please indicate your level of support for the following policies.",NA,"Raising carbon taxes on gas and fossil fuels or coal",NA,"Moderately",2
"mede_2025_clim_polsupport","mede_2025_clim_polsupport_1","CLIM_POLSUPPORT_fueltax","Support for environmental policies (TISP core questionnaire, block CLIM_POLSUPPORT)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","Many countries have introduced policies to reduce carbon emissions and mitigate climate change. This can include the implementation of laws aiming to reduce greenhouse gases, for example. Please indicate your level of support for the following policies.",NA,"Raising carbon taxes on gas and fossil fuels or coal",NA,"Very much",3
"mede_2025_clim_polsupport","mede_2025_clim_polsupport_1","CLIM_POLSUPPORT_publictransport","Support for environmental policies (TISP core questionnaire, block CLIM_POLSUPPORT)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","Many countries have introduced policies to reduce carbon emissions and mitigate climate change. This can include the implementation of laws aiming to reduce greenhouse gases, for example. Please indicate your level of support for the following policies.",NA,"Expanding infrastructure for public transportation",NA,"Not at all",1
"mede_2025_clim_polsupport","mede_2025_clim_polsupport_1","CLIM_POLSUPPORT_publictransport","Support for environmental policies (TISP core questionnaire, block CLIM_POLSUPPORT)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","Many countries have introduced policies to reduce carbon emissions and mitigate climate change. This can include the implementation of laws aiming to reduce greenhouse gases, for example. Please indicate your level of support for the following policies.",NA,"Expanding infrastructure for public transportation",NA,"Moderately",2
"mede_2025_clim_polsupport","mede_2025_clim_polsupport_1","CLIM_POLSUPPORT_publictransport","Support for environmental policies (TISP core questionnaire, block CLIM_POLSUPPORT)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","Many countries have introduced policies to reduce carbon emissions and mitigate climate change. This can include the implementation of laws aiming to reduce greenhouse gases, for example. Please indicate your level of support for the following policies.",NA,"Expanding infrastructure for public transportation",NA,"Very much",3
"mede_2025_clim_polsupport","mede_2025_clim_polsupport_1","CLIM_POLSUPPORT_sustenergy","Support for environmental policies (TISP core questionnaire, block CLIM_POLSUPPORT)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","Many countries have introduced policies to reduce carbon emissions and mitigate climate change. This can include the implementation of laws aiming to reduce greenhouse gases, for example. Please indicate your level of support for the following policies.",NA,"Increasing the use of sustainable energy such as wind and solar energy",NA,"Not at all",1
"mede_2025_clim_polsupport","mede_2025_clim_polsupport_1","CLIM_POLSUPPORT_sustenergy","Support for environmental policies (TISP core questionnaire, block CLIM_POLSUPPORT)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","Many countries have introduced policies to reduce carbon emissions and mitigate climate change. This can include the implementation of laws aiming to reduce greenhouse gases, for example. Please indicate your level of support for the following policies.",NA,"Increasing the use of sustainable energy such as wind and solar energy",NA,"Moderately",2
"mede_2025_clim_polsupport","mede_2025_clim_polsupport_1","CLIM_POLSUPPORT_sustenergy","Support for environmental policies (TISP core questionnaire, block CLIM_POLSUPPORT)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","Many countries have introduced policies to reduce carbon emissions and mitigate climate change. This can include the implementation of laws aiming to reduce greenhouse gases, for example. Please indicate your level of support for the following policies.",NA,"Increasing the use of sustainable energy such as wind and solar energy",NA,"Very much",3
"mede_2025_clim_polsupport","mede_2025_clim_polsupport_1","CLIM_POLSUPPORT_protection","Support for environmental policies (TISP core questionnaire, block CLIM_POLSUPPORT)","English; Albanian; Egyptian Arabic; Modern Arabic; Standard Arabic; Bengali; Bulgarian; Czech; Danish; Dutch; Filipino; Finnish; French; Georgian; German; Greek; Hebrew; Hungarian; Indonesian; Italian; Japanese; Kazakh; Korean; Mandarin (simplified); Mandarin (traditional); Norwegian; Polish; Portuguese; Romanian; Russian; Serbian; Slovak; Slovenian; Spanish; Swedish; Turkish; Ukrainian","Many countries have introduced policies to reduce carbon emissions and mitigate climate change. This can include the implementation of laws aiming to reduce greenhouse gases, for example. Please indicate your level of support for the following policies.",NA,"Protecting forested and land areas",NA,"Not at all",1
