"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","resp","option_text"
"peters_2025_pbc_cond_presence","peters_2025_pbc_cond_presence_1","bored","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived presence of condition component",NA,NA,"If you want to keep at least {{distRec}} distance from others, how likely do you think it is that you will be bored?",NA,1,"very unlikely"
"peters_2025_pbc_cond_presence","peters_2025_pbc_cond_presence_1","bored","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived presence of condition component",NA,NA,"If you want to keep at least {{distRec}} distance from others, how likely do you think it is that you will be bored?",NA,2,NA
"peters_2025_pbc_cond_presence","peters_2025_pbc_cond_presence_1","bored","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived presence of condition component",NA,NA,"If you want to keep at least {{distRec}} distance from others, how likely do you think it is that you will be bored?",NA,3,NA
"peters_2025_pbc_cond_presence","peters_2025_pbc_cond_presence_1","bored","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived presence of condition component",NA,NA,"If you want to keep at least {{distRec}} distance from others, how likely do you think it is that you will be bored?",NA,4,NA
"peters_2025_pbc_cond_presence","peters_2025_pbc_cond_presence_1","bored","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived presence of condition component",NA,NA,"If you want to keep at least {{distRec}} distance from others, how likely do you think it is that you will be bored?",NA,5,"very likely"
"peters_2025_pbc_cond_presence","peters_2025_pbc_cond_presence_1","busyplace","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived presence of condition component",NA,NA,"If you want to keep at least {{distRec}} distance from others, how likely do you think it is that you are in a busy place?",NA,1,"very unlikely"
"peters_2025_pbc_cond_presence","peters_2025_pbc_cond_presence_1","busyplace","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived presence of condition component",NA,NA,"If you want to keep at least {{distRec}} distance from others, how likely do you think it is that you are in a busy place?",NA,2,NA
"peters_2025_pbc_cond_presence","peters_2025_pbc_cond_presence_1","busyplace","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived presence of condition component",NA,NA,"If you want to keep at least {{distRec}} distance from others, how likely do you think it is that you are in a busy place?",NA,3,NA
"peters_2025_pbc_cond_presence","peters_2025_pbc_cond_presence_1","busyplace","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived presence of condition component",NA,NA,"If you want to keep at least {{distRec}} distance from others, how likely do you think it is that you are in a busy place?",NA,4,NA
"peters_2025_pbc_cond_presence","peters_2025_pbc_cond_presence_1","busyplace","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived presence of condition component",NA,NA,"If you want to keep at least {{distRec}} distance from others, how likely do you think it is that you are in a busy place?",NA,5,"very likely"
"peters_2025_pbc_cond_presence","peters_2025_pbc_cond_presence_1","distrac","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived presence of condition component",NA,NA,"If you want to keep at least {{distRec}} distance from others, how likely do you think it is that you will be distracted?",NA,1,"very unlikely"
"peters_2025_pbc_cond_presence","peters_2025_pbc_cond_presence_1","distrac","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Perceived behavioural control items, perceived presence of condition component",NA,NA,"If you want to keep at least {{distRec}} distance from others, how likely do you think it is that you will be distracted?",NA,2,NA
