"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","resp","option_text"
"peters_2025_nrm_inj_approval","peters_2025_nrm_inj_approval_1","boss","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Injunctive Norm items, perceived referent approval component",NA,NA,"If I were to keep at least {{distRec}} distance from others, my boss would ...",NA,1,"strongly disapprove"
"peters_2025_nrm_inj_approval","peters_2025_nrm_inj_approval_1","boss","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Injunctive Norm items, perceived referent approval component",NA,NA,"If I were to keep at least {{distRec}} distance from others, my boss would ...",NA,2,NA
"peters_2025_nrm_inj_approval","peters_2025_nrm_inj_approval_1","boss","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Injunctive Norm items, perceived referent approval component",NA,NA,"If I were to keep at least {{distRec}} distance from others, my boss would ...",NA,3,NA
"peters_2025_nrm_inj_approval","peters_2025_nrm_inj_approval_1","boss","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Injunctive Norm items, perceived referent approval component",NA,NA,"If I were to keep at least {{distRec}} distance from others, my boss would ...",NA,4,NA
"peters_2025_nrm_inj_approval","peters_2025_nrm_inj_approval_1","boss","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Injunctive Norm items, perceived referent approval component",NA,NA,"If I were to keep at least {{distRec}} distance from others, my boss would ...",NA,5,NA
"peters_2025_nrm_inj_approval","peters_2025_nrm_inj_approval_1","boss","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Injunctive Norm items, perceived referent approval component",NA,NA,"If I were to keep at least {{distRec}} distance from others, my boss would ...",NA,6,NA
"peters_2025_nrm_inj_approval","peters_2025_nrm_inj_approval_1","boss","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Injunctive Norm items, perceived referent approval component",NA,NA,"If I were to keep at least {{distRec}} distance from others, my boss would ...",NA,7,"strongly approve"
"peters_2025_nrm_inj_approval","peters_2025_nrm_inj_approval_1","colleagues","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Injunctive Norm items, perceived referent approval component",NA,NA,"If I were to keep at least {{distRec}} distance from others, my colleagues would ...",NA,1,"strongly disapprove"
"peters_2025_nrm_inj_approval","peters_2025_nrm_inj_approval_1","colleagues","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Injunctive Norm items, perceived referent approval component",NA,NA,"If I were to keep at least {{distRec}} distance from others, my colleagues would ...",NA,2,NA
"peters_2025_nrm_inj_approval","peters_2025_nrm_inj_approval_1","colleagues","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Injunctive Norm items, perceived referent approval component",NA,NA,"If I were to keep at least {{distRec}} distance from others, my colleagues would ...",NA,3,NA
"peters_2025_nrm_inj_approval","peters_2025_nrm_inj_approval_1","colleagues","COVID-19 Risk Assessment Tool (Your COVID-19 Risk / YCR) -- Injunctive Norm items, perceived referent approval component",NA,NA,"If I were to keep at least {{distRec}} distance from others, my colleagues would ...",NA,4,NA
