"table","note"
"makransky_2016_mcq_correct","Clean pass (validate_items.R --table-sets: 10/10 items, resp {0,1}). Caveat: the S1 Table answer key and the deposited scoring disagree on MCQ7_correct -- S1 bolds 'the differential agent', the data key 'a carbon source' (60/60 pre and 56/56 post correct responses are option 3). The published key is what ships in correct_response; the discrepancy is recorded as a public_note. Second caveat: option_text 'Incorrect'/'Correct' for resp 0/1 is IRW-supplied -- the table stores binary scoring and the source has no labels for the *_correct columns; the four MCQ alternatives cannot be carried on this resp axis."
"makransky_2016_motivation","BLOCKED (rights) -- no __items.csv written. Instrument = Interest/Enjoyment subscale of the Intrinsic Motivation Inventory (IMI), adapted to microbiology (paper: 'Motivation was assessed using 5 questions from the Interest/Enjoyment Scale from the Intrinsic Motivation Inventory'). Rights holder = Center for Self-Determination Theory / The SDT Group, LLC. Quoted clause, https://selfdeterminationtheory.org/terms-and-conditions/ (fetched 2026-09-08, sha256 fe92eda1273f0dbd9b5af37f677f8412baf9c663dc0886309dfa41cfda5ab10d): 'the Organization hereby grants to User, a non-exclusive, non-transferable, limited use license to use the Materials solely for non-for-profit research purposes. User covenants and agrees that User shall not: (i) use the Materials ... for any commercial or for-profit purposes unless explicitly authorized in writing by the Organization; (ii) make available or distribute all or any portion of the Materials to any third party; ... (v) publish the Materials online in any form, without the prior written consent of the Organization.' Non-commercial + permission-required + no-redistribution all reserve rights, so the 2026-09-05/2026-09-08 test blocks; the CSDT page governs, not the PLOS CC BY 4.0 deposit (2026-09-08: a CC BY appendix reproducing a restricted instrument does not launder it), and the microbiology adaptation is a derivative, not an escape (DJG ruling). Extraction was otherwise fully solved -- .sav variable labels give all 5 stems, value labels give 1-5 anchors, codes Mot1-Mot5 are a number-preserving rename -- so a reversal is a transcription, not a restart. Block is effective: item codes carry no wording. RETRY TEST: NO -- determinate verdict (licence bars reuse); all sources fetched first try. Would flip only on a ruling from Ben, changed CSDT terms, or written CSDT consent."
"makransky_2016_self_efficacy","Item text and the 1-5 anchors come from the study's own SPSS supplement (10.1371/journal.pone.0155895.s001) variable labels and value labels; S1 Table (.s003.docx) reproduces the same 8 stems in the same order, so the two level-1 sources agree. CAVEAT: the article body describes the response scale as ""1 = Strongly disagree, 5 = Strongly agree"" while both the .sav value labels and S1 Table give ""Completely disagree ... Completely agree""; the administered anchors from the data file are what is shipped. Note also that resp=1 is never observed for SE4 or SE5 in the live table (per-item resp_min=2); all five levels are shipped for every item because the .sav labels all five for every SE variable. Rights: instrument is the MSLQ, verdict 'ship' in instrument_rights_register.csv (public domain, U-Michigan NCRIPTAL, citation only); deposit is CC BY 4.0 PLOS ONE."
"malik_2018_individual_motivation","Clean pass with one caveat: the only published wording is the S1 Data .sav's variable labels, which are terse topic phrases ('Status', 'Work in general') rather than administered sentences, and no instruction text is published anywhere in the article or supplement, so instructions is blank. The labels are level-1 and pin the mapping outright (ind_N is a number-preserving rename of column I_N), so this is a wording-completeness caveat, not a mapping doubt. Scale direction: the article's prose lists the anchors 'strongly agree to strongly disagree' while the .sav value labels code 1=strongly disagree..5=strongly agree; the value labels were followed and confirmed against the raw item means (dispositional items ~4.3-4.4, facility-provision items ~2.1-2.7, n=360)."
"malik_2018_organizational_motivation","Clean pass with two caveats: (1) Org8 ('Career advancement and growth') has no value labels in the S1 .sav; the 1-5 'strongly disagree'..'strongly agree' anchors shared by the other 35 Org variables were applied to it. (2) Two source typos are shipped verbatim from the variable labels: org_14 'Availability of proper of proper dressing rooms' and a double space in org_13 'Number of staff  available during work'. No instructions text exists in the article or the deposit, so that field is blank."
"malik_2018_social_motivation","Clean pass with two caveats. (1) The live IRW table has 14 items but the paper's socio-cultural section has 15: data/malik_2018_physician_motivation.py takes sc_cols = SC1, SC2, CS4, SC5..SC15 on the comment ""SC3 is stored as CS4 in the raw file"", but the S1 .sav contains BOTH SC3 ('I am satisfied with my personal life issues') and CS4 ('I am satisfied with the team work around me during work') as separate, differently-distributed columns (SC3 n=356 mean=3.230; CS4 n=356 mean=3.101). SC3 is therefore simply dropped from the IRW response table -- a response-data issue, not an item-text gap; no item text is shipped for it. The IRW dictionary Description ('15-item Social/co-worker ... subscale') is wrong for the same reason and should read 14 items. (2) item_text is the .sav's own variable labels verbatim; the paper reproduces no instruction text for the questionnaire, so instructions is left blank rather than paraphrased from the Methods sentence 'A five-point Likert scale was provided for the responses'. Rights: the instrument is the study authors' own tool, published in PLOS ONE under CC BY 4.0 with the .sav deposited as S1 Data; no fee, no-redistribution, ND or NC clause was locatable on any rights-holder page, and no third-party instrument is reproduced."
"malik_2018_social_motivation","lint_verification WARN (VERIFIED but evidence hedges): reviewed by the orchestrator and VERIFIED is correct. The hedge is about the .sav's value-label ORIENTATION, not about item discrimination -- the route matches all 14 source columns to all 14 live items with 14 mutually distinct 1..5 count vectors, so it distinguishes every item from every other item, which is what VERIFIED requires. Not downgraded to PARTIAL."
"malik_2018_social_motivation","Orchestrator re-check of the agent's SC3/CS4 finding (Step 5b): CONFIRMED independently by verify_batch.R -- live social_3 = 52/65/76/121/42 matches CS4 exactly and does not match SC3 (64/44/48/146/54). Also confirmed the downstream dictionary claim: metadata/biblio.csv Description for this table reads '15-item Social/co-worker and interpersonal motivation subscale', but the live table carries 14 items because data/malik_2018_physician_motivation.py drops SC3 on a wrong comment ('SC3 is stored as CS4 in the raw file' -- the .sav has BOTH as separate columns). This is a RESPONSE-DATA defect plus a dictionary defect, not an itemtext defect."
"makransky_2016_mcq_correct","Orchestrator re-check of the agent's MCQ7 answer-key finding (Step 5b): CONFIRMED from source, both halves. (a) The deposited data: crosstabbing PRE_MCQ7 x Pre_MCQ7_correct gives 60/60 of the responses scored 1 on option 3, zero exceptions (option counts 1:74, 2:44, 3:60, 4:11, all others scored 0); POST is identical, 56/56 on option 3. (b) The published key: S1 Table's docx runs mark 'the differential agent' (option 2) bold+italic, the file's key marker, while 'a carbon source' (option 3) is unmarked. So the published key and the deposited scoring genuinely disagree for MCQ7 only. Safe to file publicly."
"makransky_2016_motivation","Orchestrator note on the scope of this block: the agent's new instrument_rights_register.csv row (Intrinsic Motivation Inventory (IMI), family SDT/CSDT, verdict block) survived the round -- the register re-parses at 25 rows. But the CSDT Limited Use License is written over the whole selfdeterminationtheory.org questionnaire library, so the row as written also reaches BPNS/BPNSFS, the Aspirations Index, SRQ, PLOC and GCOS. HUMAN DECISION OWED: baka2023_bpnsf is a BPNSFS table already extracted (batch_007) and already UPLOADED on 2026-08-18. This round did not touch it and takes no view on whether the CSDT terms actually reach the BPNSFS, which is separately distributed; that is Ben's ruling to make."
