"table","section_id","item","item_text","correct_response","section_prompt","instrument","instructions","option_text","resp"
"goldberg_2018_prs_movie_preferences","goldberg_2018_prs_movie_preferences_1","movies1","Action",NA,NA,"Personal Reactions Survey: Leisure Preferences - MOVIES","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.","Dislike Strongly",1
"goldberg_2018_prs_movie_preferences","goldberg_2018_prs_movie_preferences_1","movies1","Action",NA,NA,"Personal Reactions Survey: Leisure Preferences - MOVIES","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.","Dislike Moderately",2
"goldberg_2018_prs_movie_preferences","goldberg_2018_prs_movie_preferences_1","movies1","Action",NA,NA,"Personal Reactions Survey: Leisure Preferences - MOVIES","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.","Dislike a Little",3
"goldberg_2018_prs_movie_preferences","goldberg_2018_prs_movie_preferences_1","movies1","Action",NA,NA,"Personal Reactions Survey: Leisure Preferences - MOVIES","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.","Neither like nor dislike",4
"goldberg_2018_prs_movie_preferences","goldberg_2018_prs_movie_preferences_1","movies1","Action",NA,NA,"Personal Reactions Survey: Leisure Preferences - MOVIES","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.","Like a Little",5
"goldberg_2018_prs_movie_preferences","goldberg_2018_prs_movie_preferences_1","movies1","Action",NA,NA,"Personal Reactions Survey: Leisure Preferences - MOVIES","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.","Like Moderately",6
"goldberg_2018_prs_movie_preferences","goldberg_2018_prs_movie_preferences_1","movies1","Action",NA,NA,"Personal Reactions Survey: Leisure Preferences - MOVIES","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.","Like Strongly",7
"goldberg_2018_prs_movie_preferences","goldberg_2018_prs_movie_preferences_1","movies2","Animation",NA,NA,"Personal Reactions Survey: Leisure Preferences - MOVIES","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.","Dislike Strongly",1
"goldberg_2018_prs_movie_preferences","goldberg_2018_prs_movie_preferences_1","movies2","Animation",NA,NA,"Personal Reactions Survey: Leisure Preferences - MOVIES","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.","Dislike Moderately",2
"goldberg_2018_prs_movie_preferences","goldberg_2018_prs_movie_preferences_1","movies2","Animation",NA,NA,"Personal Reactions Survey: Leisure Preferences - MOVIES","Listed below are four different kinds of leisure pastimes and the various styles within each. Please indicate the extent to which you like each of them. If you haven't heard of one, leave it blank.","Dislike a Little",3
