"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"opladen2025_fkg","opladen2025_fkg_1","FKG_1","Fragebogen zu Körper und Gesundheit (FKG)","German",NA,NA,"Plötzlich auftretende Gelenkschmerzen können eine beginnende Lähmung ankündigen.","joint pain as a sign of paralysis",NA,"stimmt voll und ganz","completely true",1
"opladen2025_fkg","opladen2025_fkg_1","FKG_1","Fragebogen zu Körper und Gesundheit (FKG)","German",NA,NA,"Plötzlich auftretende Gelenkschmerzen können eine beginnende Lähmung ankündigen.","joint pain as a sign of paralysis",NA,"stimmt größtenteils","mostly true",2
"opladen2025_fkg","opladen2025_fkg_1","FKG_1","Fragebogen zu Körper und Gesundheit (FKG)","German",NA,NA,"Plötzlich auftretende Gelenkschmerzen können eine beginnende Lähmung ankündigen.","joint pain as a sign of paralysis",NA,"stimmt eher nicht","rather not true",3
"opladen2025_fkg","opladen2025_fkg_1","FKG_1","Fragebogen zu Körper und Gesundheit (FKG)","German",NA,NA,"Plötzlich auftretende Gelenkschmerzen können eine beginnende Lähmung ankündigen.","joint pain as a sign of paralysis",NA,"stimmt nicht","not true",4
"opladen2025_fkg","opladen2025_fkg_1","FKG_2","Fragebogen zu Körper und Gesundheit (FKG)","German",NA,NA,"Gesund ist man, wenn man keine körperlichen Empfindungen hat.","health as no physical sensations",NA,"stimmt voll und ganz","completely true",1
"opladen2025_fkg","opladen2025_fkg_1","FKG_2","Fragebogen zu Körper und Gesundheit (FKG)","German",NA,NA,"Gesund ist man, wenn man keine körperlichen Empfindungen hat.","health as no physical sensations",NA,"stimmt größtenteils","mostly true",2
"opladen2025_fkg","opladen2025_fkg_1","FKG_2","Fragebogen zu Körper und Gesundheit (FKG)","German",NA,NA,"Gesund ist man, wenn man keine körperlichen Empfindungen hat.","health as no physical sensations",NA,"stimmt eher nicht","rather not true",3
"opladen2025_fkg","opladen2025_fkg_1","FKG_2","Fragebogen zu Körper und Gesundheit (FKG)","German",NA,NA,"Gesund ist man, wenn man keine körperlichen Empfindungen hat.","health as no physical sensations",NA,"stimmt nicht","not true",4
"opladen2025_fkg","opladen2025_fkg_1","FKG_3","Fragebogen zu Körper und Gesundheit (FKG)","German",NA,NA,"Entweder ich oder mein Arzt müssen in der Lage sein, für alle körperlichen Beschwerde Erklärungen zu finden.","explanation required for all physical complaints",NA,"stimmt voll und ganz","completely true",1
"opladen2025_fkg","opladen2025_fkg_1","FKG_3","Fragebogen zu Körper und Gesundheit (FKG)","German",NA,NA,"Entweder ich oder mein Arzt müssen in der Lage sein, für alle körperlichen Beschwerde Erklärungen zu finden.","explanation required for all physical complaints",NA,"stimmt größtenteils","mostly true",2
"opladen2025_fkg","opladen2025_fkg_1","FKG_3","Fragebogen zu Körper und Gesundheit (FKG)","German",NA,NA,"Entweder ich oder mein Arzt müssen in der Lage sein, für alle körperlichen Beschwerde Erklärungen zu finden.","explanation required for all physical complaints",NA,"stimmt eher nicht","rather not true",3
"opladen2025_fkg","opladen2025_fkg_1","FKG_3","Fragebogen zu Körper und Gesundheit (FKG)","German",NA,NA,"Entweder ich oder mein Arzt müssen in der Lage sein, für alle körperlichen Beschwerde Erklärungen zu finden.","explanation required for all physical complaints",NA,"stimmt nicht","not true",4
"opladen2025_fkg","opladen2025_fkg_1","FKG_4","Fragebogen zu Körper und Gesundheit (FKG)","German",NA,NA,"Bei Verstopfung sollte man umgehend einen Facharzt aufsuchen, um sicherzugehen, dass man keinen Darmkrebs hat.","in case of constipation, visit a doctor to rule out colorectal cancer",NA,"stimmt voll und ganz","completely true",1
"opladen2025_fkg","opladen2025_fkg_1","FKG_4","Fragebogen zu Körper und Gesundheit (FKG)","German",NA,NA,"Bei Verstopfung sollte man umgehend einen Facharzt aufsuchen, um sicherzugehen, dass man keinen Darmkrebs hat.","in case of constipation, visit a doctor to rule out colorectal cancer",NA,"stimmt größtenteils","mostly true",2
"opladen2025_fkg","opladen2025_fkg_1","FKG_4","Fragebogen zu Körper und Gesundheit (FKG)","German",NA,NA,"Bei Verstopfung sollte man umgehend einen Facharzt aufsuchen, um sicherzugehen, dass man keinen Darmkrebs hat.","in case of constipation, visit a doctor to rule out colorectal cancer",NA,"stimmt eher nicht","rather not true",3
