"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","resp","option_text"
"goldberg_2018_sdv_ipip_temperament","goldberg_2018_sdv_ipip_temperament_1","d1","Survey of Dispositions and Views (SDV), Eugene-Springfield Community Sample: Personality Tendencies (119 IPIP items)","On the following pages you will find a series of statements that individuals can use to describe themselves. There are no correct or incorrect responses. All people are unique and different, and it is these differences that we are trying to learn about. For each statement, please give your best estimate of how well it describes you. Bubble in the appropriate number on the response scale to indicate how well each statement describes you.",NA,"Become easily frightened.",NA,1,"Very Inaccurate"
"goldberg_2018_sdv_ipip_temperament","goldberg_2018_sdv_ipip_temperament_1","d1","Survey of Dispositions and Views (SDV), Eugene-Springfield Community Sample: Personality Tendencies (119 IPIP items)","On the following pages you will find a series of statements that individuals can use to describe themselves. There are no correct or incorrect responses. All people are unique and different, and it is these differences that we are trying to learn about. For each statement, please give your best estimate of how well it describes you. Bubble in the appropriate number on the response scale to indicate how well each statement describes you.",NA,"Become easily frightened.",NA,2,"Moderately Inaccurate"
"goldberg_2018_sdv_ipip_temperament","goldberg_2018_sdv_ipip_temperament_1","d1","Survey of Dispositions and Views (SDV), Eugene-Springfield Community Sample: Personality Tendencies (119 IPIP items)","On the following pages you will find a series of statements that individuals can use to describe themselves. There are no correct or incorrect responses. All people are unique and different, and it is these differences that we are trying to learn about. For each statement, please give your best estimate of how well it describes you. Bubble in the appropriate number on the response scale to indicate how well each statement describes you.",NA,"Become easily frightened.",NA,3,"Neither Inaccurate nor Accurate"
"goldberg_2018_sdv_ipip_temperament","goldberg_2018_sdv_ipip_temperament_1","d1","Survey of Dispositions and Views (SDV), Eugene-Springfield Community Sample: Personality Tendencies (119 IPIP items)","On the following pages you will find a series of statements that individuals can use to describe themselves. There are no correct or incorrect responses. All people are unique and different, and it is these differences that we are trying to learn about. For each statement, please give your best estimate of how well it describes you. Bubble in the appropriate number on the response scale to indicate how well each statement describes you.",NA,"Become easily frightened.",NA,4,"Moderately Accurate"
"goldberg_2018_sdv_ipip_temperament","goldberg_2018_sdv_ipip_temperament_1","d1","Survey of Dispositions and Views (SDV), Eugene-Springfield Community Sample: Personality Tendencies (119 IPIP items)","On the following pages you will find a series of statements that individuals can use to describe themselves. There are no correct or incorrect responses. All people are unique and different, and it is these differences that we are trying to learn about. For each statement, please give your best estimate of how well it describes you. Bubble in the appropriate number on the response scale to indicate how well each statement describes you.",NA,"Become easily frightened.",NA,5,"Very Accurate"
"goldberg_2018_sdv_ipip_temperament","goldberg_2018_sdv_ipip_temperament_1","d2","Survey of Dispositions and Views (SDV), Eugene-Springfield Community Sample: Personality Tendencies (119 IPIP items)","On the following pages you will find a series of statements that individuals can use to describe themselves. There are no correct or incorrect responses. All people are unique and different, and it is these differences that we are trying to learn about. For each statement, please give your best estimate of how well it describes you. Bubble in the appropriate number on the response scale to indicate how well each statement describes you.",NA,"Hardly ever finish things on time.",NA,1,"Very Inaccurate"
"goldberg_2018_sdv_ipip_temperament","goldberg_2018_sdv_ipip_temperament_1","d2","Survey of Dispositions and Views (SDV), Eugene-Springfield Community Sample: Personality Tendencies (119 IPIP items)","On the following pages you will find a series of statements that individuals can use to describe themselves. There are no correct or incorrect responses. All people are unique and different, and it is these differences that we are trying to learn about. For each statement, please give your best estimate of how well it describes you. Bubble in the appropriate number on the response scale to indicate how well each statement describes you.",NA,"Hardly ever finish things on time.",NA,2,"Moderately Inaccurate"
"goldberg_2018_sdv_ipip_temperament","goldberg_2018_sdv_ipip_temperament_1","d2","Survey of Dispositions and Views (SDV), Eugene-Springfield Community Sample: Personality Tendencies (119 IPIP items)","On the following pages you will find a series of statements that individuals can use to describe themselves. There are no correct or incorrect responses. All people are unique and different, and it is these differences that we are trying to learn about. For each statement, please give your best estimate of how well it describes you. Bubble in the appropriate number on the response scale to indicate how well each statement describes you.",NA,"Hardly ever finish things on time.",NA,3,"Neither Inaccurate nor Accurate"
"goldberg_2018_sdv_ipip_temperament","goldberg_2018_sdv_ipip_temperament_1","d2","Survey of Dispositions and Views (SDV), Eugene-Springfield Community Sample: Personality Tendencies (119 IPIP items)","On the following pages you will find a series of statements that individuals can use to describe themselves. There are no correct or incorrect responses. All people are unique and different, and it is these differences that we are trying to learn about. For each statement, please give your best estimate of how well it describes you. Bubble in the appropriate number on the response scale to indicate how well each statement describes you.",NA,"Hardly ever finish things on time.",NA,4,"Moderately Accurate"
"goldberg_2018_sdv_ipip_temperament","goldberg_2018_sdv_ipip_temperament_1","d2","Survey of Dispositions and Views (SDV), Eugene-Springfield Community Sample: Personality Tendencies (119 IPIP items)","On the following pages you will find a series of statements that individuals can use to describe themselves. There are no correct or incorrect responses. All people are unique and different, and it is these differences that we are trying to learn about. For each statement, please give your best estimate of how well it describes you. Bubble in the appropriate number on the response scale to indicate how well each statement describes you.",NA,"Hardly ever finish things on time.",NA,5,"Very Accurate"
