"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"szameitat_2015_occupation_multitask","szameitat_2015_occupation_multitask_1","ConstructionWorker","Szameitat et al. (2015) multitasking beliefs questionnaire, Question 12: multitasking required in occupations","English; Turkish; Dutch; German","What do you think, how much multitasking is required in the following occupations?",NA,"Construction worker",NA,"Not at all",0
"szameitat_2015_occupation_multitask","szameitat_2015_occupation_multitask_1","ConstructionWorker","Szameitat et al. (2015) multitasking beliefs questionnaire, Question 12: multitasking required in occupations","English; Turkish; Dutch; German","What do you think, how much multitasking is required in the following occupations?",NA,"Construction worker",NA,"Not much",1
"szameitat_2015_occupation_multitask","szameitat_2015_occupation_multitask_1","ConstructionWorker","Szameitat et al. (2015) multitasking beliefs questionnaire, Question 12: multitasking required in occupations","English; Turkish; Dutch; German","What do you think, how much multitasking is required in the following occupations?",NA,"Construction worker",NA,"little",2
"szameitat_2015_occupation_multitask","szameitat_2015_occupation_multitask_1","ConstructionWorker","Szameitat et al. (2015) multitasking beliefs questionnaire, Question 12: multitasking required in occupations","English; Turkish; Dutch; German","What do you think, how much multitasking is required in the following occupations?",NA,"Construction worker",NA,"somewhat",3
"szameitat_2015_occupation_multitask","szameitat_2015_occupation_multitask_1","ConstructionWorker","Szameitat et al. (2015) multitasking beliefs questionnaire, Question 12: multitasking required in occupations","English; Turkish; Dutch; German","What do you think, how much multitasking is required in the following occupations?",NA,"Construction worker",NA,"A lot",4
"szameitat_2015_occupation_multitask","szameitat_2015_occupation_multitask_1","ConstructionWorker","Szameitat et al. (2015) multitasking beliefs questionnaire, Question 12: multitasking required in occupations","English; Turkish; Dutch; German","What do you think, how much multitasking is required in the following occupations?",NA,"Construction worker",NA,"Very much",5
"szameitat_2015_occupation_multitask","szameitat_2015_occupation_multitask_1","ConstructionWorker","Szameitat et al. (2015) multitasking beliefs questionnaire, Question 12: multitasking required in occupations","English; Turkish; Dutch; German","What do you think, how much multitasking is required in the following occupations?",NA,"Construction worker",NA,"A great deal",6
"szameitat_2015_occupation_multitask","szameitat_2015_occupation_multitask_1","BankTeller","Szameitat et al. (2015) multitasking beliefs questionnaire, Question 12: multitasking required in occupations","English; Turkish; Dutch; German","What do you think, how much multitasking is required in the following occupations?",NA,"Bank teller",NA,"Not at all",0
"szameitat_2015_occupation_multitask","szameitat_2015_occupation_multitask_1","BankTeller","Szameitat et al. (2015) multitasking beliefs questionnaire, Question 12: multitasking required in occupations","English; Turkish; Dutch; German","What do you think, how much multitasking is required in the following occupations?",NA,"Bank teller",NA,"Not much",1
"szameitat_2015_occupation_multitask","szameitat_2015_occupation_multitask_1","BankTeller","Szameitat et al. (2015) multitasking beliefs questionnaire, Question 12: multitasking required in occupations","English; Turkish; Dutch; German","What do you think, how much multitasking is required in the following occupations?",NA,"Bank teller",NA,"little",2
