"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp"
"szameitat_2015_multitask_examples","szameitat_2015_multitask_examples_1","Childcare","Szameitat et al. (2015) multitasking questionnaire, Question 11: examples of multitasking","English; Turkish; Dutch; German","How far do you agree with the following being examples of multitasking?",NA,"Childcare",NA,"Strongly disagree",-3
"szameitat_2015_multitask_examples","szameitat_2015_multitask_examples_1","Childcare","Szameitat et al. (2015) multitasking questionnaire, Question 11: examples of multitasking","English; Turkish; Dutch; German","How far do you agree with the following being examples of multitasking?",NA,"Childcare",NA,"Disagree",-2
"szameitat_2015_multitask_examples","szameitat_2015_multitask_examples_1","Childcare","Szameitat et al. (2015) multitasking questionnaire, Question 11: examples of multitasking","English; Turkish; Dutch; German","How far do you agree with the following being examples of multitasking?",NA,"Childcare",NA,"Slightly disagree",-1
"szameitat_2015_multitask_examples","szameitat_2015_multitask_examples_1","Childcare","Szameitat et al. (2015) multitasking questionnaire, Question 11: examples of multitasking","English; Turkish; Dutch; German","How far do you agree with the following being examples of multitasking?",NA,"Childcare",NA,"Neutral",0
"szameitat_2015_multitask_examples","szameitat_2015_multitask_examples_1","Childcare","Szameitat et al. (2015) multitasking questionnaire, Question 11: examples of multitasking","English; Turkish; Dutch; German","How far do you agree with the following being examples of multitasking?",NA,"Childcare",NA,"Slightly agree",1
"szameitat_2015_multitask_examples","szameitat_2015_multitask_examples_1","Childcare","Szameitat et al. (2015) multitasking questionnaire, Question 11: examples of multitasking","English; Turkish; Dutch; German","How far do you agree with the following being examples of multitasking?",NA,"Childcare",NA,"Agree",2
"szameitat_2015_multitask_examples","szameitat_2015_multitask_examples_1","Childcare","Szameitat et al. (2015) multitasking questionnaire, Question 11: examples of multitasking","English; Turkish; Dutch; German","How far do you agree with the following being examples of multitasking?",NA,"Childcare",NA,"Strongly agree",3
"szameitat_2015_multitask_examples","szameitat_2015_multitask_examples_1","Walking_Gum","Szameitat et al. (2015) multitasking questionnaire, Question 11: examples of multitasking","English; Turkish; Dutch; German","How far do you agree with the following being examples of multitasking?",NA,"Walking and chewing gum",NA,"Strongly disagree",-3
"szameitat_2015_multitask_examples","szameitat_2015_multitask_examples_1","Walking_Gum","Szameitat et al. (2015) multitasking questionnaire, Question 11: examples of multitasking","English; Turkish; Dutch; German","How far do you agree with the following being examples of multitasking?",NA,"Walking and chewing gum",NA,"Disagree",-2
"szameitat_2015_multitask_examples","szameitat_2015_multitask_examples_1","Walking_Gum","Szameitat et al. (2015) multitasking questionnaire, Question 11: examples of multitasking","English; Turkish; Dutch; German","How far do you agree with the following being examples of multitasking?",NA,"Walking and chewing gum",NA,"Slightly disagree",-1
