"table","language","translation_source","note","public_note","built","uploaded"
"burkert_2019_whoqol_bref","German","official_instrument_english","The administered German is the official WHOQOL-BREF German version (ATHIS 2014 module) and is left exactly as published. The English shipped in the _translated columns is the WHO's own published English WHOQOL-BREF wording for the same numbered items, not a fresh rendering of the German -- e.g. LQ4 carries WHO's 'How much do you need any medical treatment to function in your daily life?'. That is a parallel official version rather than a translation of this text, which is better wording but a different provenance claim, so it is recorded as such. instrument, instructions and all four section prompts are translated rather than sourced, because WHO publishes no parallel for the ATHIS framing.","","2026-09-01","2026-09-02"
"torok_2025_ai_acceptance","Hungarian","machine_translation","Author-written survey items from a Hungarian media-use survey; no canonical instrument and no published English exists, so the _translated columns are translated here from the administered Hungarian. Source typos are left verbatim in the base field (e.g. manipulation_fear's '5 - Nagyon tart a tőle').","The item text here is the administered Hungarian, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors. These are author-written survey items with no canonical instrument behind them, so no published English exists to use instead. Typos in the source are left verbatim in the administered text.","2026-09-01","2026-09-02"
"torok_2025_data_disclosure","Hungarian","machine_translation","Author-written survey items from a Hungarian media-use survey; no canonical instrument and no published English exists, so the _translated columns are translated here from the administered Hungarian. Source typos are left verbatim in the base field (e.g. manipulation_fear's '5 - Nagyon tart a tőle').","The item text here is the administered Hungarian, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors. These are author-written survey items with no canonical instrument behind them, so no published English exists to use instead. Typos in the source are left verbatim in the administered text.","2026-09-01","2026-09-02"
"torok_2025_data_security","Hungarian","machine_translation","Author-written survey items from a Hungarian media-use survey; no canonical instrument and no published English exists, so the _translated columns are translated here from the administered Hungarian. Source typos are left verbatim in the base field (e.g. manipulation_fear's '5 - Nagyon tart a tőle').","The item text here is the administered Hungarian, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors. These are author-written survey items with no canonical instrument behind them, so no published English exists to use instead. Typos in the source are left verbatim in the administered text.","2026-09-01","2026-09-02"
"torok_2025_discourse_responsibility","Hungarian","machine_translation","Author-written survey items from a Hungarian media-use survey; no canonical instrument and no published English exists, so the _translated columns are translated here from the administered Hungarian. Source typos are left verbatim in the base field (e.g. manipulation_fear's '5 - Nagyon tart a tőle').","The item text here is the administered Hungarian, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors. These are author-written survey items with no canonical instrument behind them, so no published English exists to use instead. Typos in the source are left verbatim in the administered text.","2026-09-01","2026-09-02"
"torok_2025_facebook_uses","Hungarian","machine_translation","Author-written survey items from a Hungarian media-use survey; no canonical instrument and no published English exists, so the _translated columns are translated here from the administered Hungarian. Source typos are left verbatim in the base field (e.g. manipulation_fear's '5 - Nagyon tart a tőle').","The item text here is the administered Hungarian, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors. These are author-written survey items with no canonical instrument behind them, so no published English exists to use instead. Typos in the source are left verbatim in the administered text.","2026-09-01","2026-09-02"
"torok_2025_internet_use_frequency","Hungarian","machine_translation","Author-written survey items from a Hungarian media-use survey; no canonical instrument and no published English exists, so the _translated columns are translated here from the administered Hungarian. Source typos are left verbatim in the base field (e.g. manipulation_fear's '5 - Nagyon tart a tőle').","The item text here is the administered Hungarian, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors. These are author-written survey items with no canonical instrument behind them, so no published English exists to use instead. Typos in the source are left verbatim in the administered text.","2026-09-01","2026-09-02"
"torok_2025_legality_beliefs","Hungarian","machine_translation","Author-written survey items from a Hungarian media-use survey; no canonical instrument and no published English exists, so the _translated columns are translated here from the administered Hungarian. Source typos are left verbatim in the base field (e.g. manipulation_fear's '5 - Nagyon tart a tőle').","The item text here is the administered Hungarian, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors. These are author-written survey items with no canonical instrument behind them, so no published English exists to use instead. Typos in the source are left verbatim in the administered text.","2026-09-01","2026-09-02"
"torok_2025_manipulation_fear","Hungarian","machine_translation","Author-written survey items from a Hungarian media-use survey; no canonical instrument and no published English exists, so the _translated columns are translated here from the administered Hungarian. Source typos are left verbatim in the base field (e.g. manipulation_fear's '5 - Nagyon tart a tőle').","The item text here is the administered Hungarian, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors. These are author-written survey items with no canonical instrument behind them, so no published English exists to use instead. Typos in the source are left verbatim in the administered text.","2026-09-01","2026-09-02"
"torok_2025_news_consumption","Hungarian","machine_translation","Author-written survey items from a Hungarian media-use survey; no canonical instrument and no published English exists, so the _translated columns are translated here from the administered Hungarian. Source typos are left verbatim in the base field (e.g. manipulation_fear's '5 - Nagyon tart a tőle').","The item text here is the administered Hungarian, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors. These are author-written survey items with no canonical instrument behind them, so no published English exists to use instead. Typos in the source are left verbatim in the administered text.","2026-09-01","2026-09-02"
"torok_2025_news_source_frequency","Hungarian","machine_translation","Author-written survey items from a Hungarian media-use survey; no canonical instrument and no published English exists, so the _translated columns are translated here from the administered Hungarian. Source typos are left verbatim in the base field (e.g. manipulation_fear's '5 - Nagyon tart a tőle').","The item text here is the administered Hungarian, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors. These are author-written survey items with no canonical instrument behind them, so no published English exists to use instead. Typos in the source are left verbatim in the administered text.","2026-09-01","2026-09-02"
"torok_2025_news_source_trust","Hungarian","machine_translation","Author-written survey items from a Hungarian media-use survey; no canonical instrument and no published English exists, so the _translated columns are translated here from the administered Hungarian. Source typos are left verbatim in the base field (e.g. manipulation_fear's '5 - Nagyon tart a tőle').","The item text here is the administered Hungarian, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors. These are author-written survey items with no canonical instrument behind them, so no published English exists to use instead. Typos in the source are left verbatim in the administered text.","2026-09-01","2026-09-02"
"torok_2025_social_media_effects","Hungarian","machine_translation","Author-written survey items from a Hungarian media-use survey; no canonical instrument and no published English exists, so the _translated columns are translated here from the administered Hungarian. Source typos are left verbatim in the base field (e.g. manipulation_fear's '5 - Nagyon tart a tőle').","The item text here is the administered Hungarian, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors. These are author-written survey items with no canonical instrument behind them, so no published English exists to use instead. Typos in the source are left verbatim in the administered text.","2026-09-01","2026-09-02"
"sun_2025_morality_study2_colleagueclose","Chinese","machine_translation","Single-item colleague-closeness probe with a 3-point Chinese scale; author-written, no canonical instrument.","The item text here is the administered Chinese, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors.","2026-09-01","2026-09-02"
"sun_2025_morality_study2_colleagueknow","Chinese","machine_translation","As colleagueclose.","The item text here is the administered Chinese, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors.","2026-09-01","2026-09-02"
"sun_2025_morality_study2_colleaguelike","Chinese","machine_translation","As colleagueclose.","The item text here is the administered Chinese, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors.","2026-09-01","2026-09-02"
"sun_2025_morality_study2_informant-moral-character","Chinese","machine_translation","Ten moral-character adjectives rated about a colleague; adjectives and the 3-point scale translated here.","The item text here is the administered Chinese, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors.","2026-09-01","2026-09-02"
"sun_2025_morality_study2_self-moral-character","Chinese","machine_translation","Same adjective list rated about the self. section_prompt is already English in the published table (""To what extent are you...""), so its _translated column is left empty rather than filled with a copy of itself.","The item text here is the administered Chinese, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors. The section prompt is already English in the published table, so its translated column stays empty.","2026-09-01","2026-09-02"
"sun_2025_morality_study2_meaning","Chinese","official_instrument_english","The five items are the Presence subscale of the Meaning in Life Questionnaire (Steger et al. 2006), so the published English MLQ wording is shipped rather than a fresh rendering. The 3 named scale points are translated.","","2026-09-01","2026-09-02"
"sun_2025_morality_study2_nemotion","Chinese","machine_translation","Three frequency probes for anger, anxiety and sadness; only the two endpoint anchors are named in the source.","The item text here is the administered Chinese, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors.","2026-09-01","2026-09-02"
"sun_2025_morality_study2_pemotion","Chinese","machine_translation","As nemotion, for happiness, positive emotion and contentment.","The item text here is the administered Chinese, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors.","2026-09-01","2026-09-02"
"isi_insomnia_wang2025","Chinese","machine_translation","An adapted Chinese Insomnia Severity Index: the interference item names study efficiency rather than the ISI original's work and chores, so the administered Chinese is translated here rather than substituting the published ISI English, which would not correspond word-for-word. instructions and option_text are already English in the published table and their _translated columns stay empty.","The item text here is the administered Chinese, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors. This is an adapted Chinese Insomnia Severity Index: its interference item names study efficiency rather than the ISI original's work and chores, so the administered wording is translated rather than replaced with the published English.","2026-09-01","2026-09-02"
"shu_2025_translation_mcpis","Chinese","machine_translation","Macleod Clark Professional Identity Scale adapted to rehabilitation practice; option_text is already English so only item_text carries a translation.","The item text here is the administered Chinese, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors. `option_text` is already English, so only `item_text` carries a translation.","2026-09-01","2026-09-02"
"alsecypiamh_wu_2022_cps","Chinese","machine_translation","Claremont Purpose Scale, Chinese administration. Each item has its own labelled 5-point scale, so all 45 distinct anchors are translated individually rather than through one shared set.","The item text here is the administered Chinese, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors.","2026-09-01","2026-09-02"
"an_2020_efl_self_regulated","Chinese","machine_translation","49-item technology-assisted EFL self-regulation questionnaire, author-written; only the two endpoint anchors are named.","The item text here is the administered Chinese, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors.","2026-09-01","2026-09-02"
"fad_dataset1","Chinese","machine_translation","Chinese FAD-Plus (Paulhus & Carey 2011). Published English exists for the FAD-Plus, but the Chinese item set here does not map one-to-one onto it -- dataset2 carries ten items absent from dataset1, including soul/mind items -- so the administered Chinese is translated rather than a numbering correspondence being asserted that was not verified.","The item text here is the administered Chinese, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors. Published English exists for the FAD-Plus, but the Chinese item set here does not map one-to-one onto it, so the administered Chinese is translated instead.","2026-09-01","2026-09-02"
"fad_dataset2","Chinese","machine_translation","As fad_dataset1; the ten extra items are translated on the same basis.","The item text here is the administered Chinese, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors. As `fad_dataset1`: the published FAD-Plus English does not map one-to-one onto this item set. The ten items this table has beyond `fad_dataset1` are translated on the same basis.","2026-09-01","2026-09-02"
"aslec_insomnia_wang2025","Chinese","machine_translation","Adolescent Self-Rating Life Events Checklist, a Chinese-origin instrument. instructions and option_text are already English in the published table, so only item_text carries a translation.","The item text here is the administered Chinese, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors. `instructions` and `option_text` are already English in the published table, so only the Chinese item text carries a translation.","2026-09-01","2026-09-02"
"rd_ppcvdos_padconacns_jinbo_2019_dos","Chinese","machine_translation","Chinese Duesseldorf Orthorexia Scale. Item codes carry the source numbering inside the text (""4. ..."") and are left verbatim in the base field, numbering included.","The item text here is the administered Chinese, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors. Item codes carry the source numbering inside the text (`4. ...`) and are left verbatim.","2026-09-01","2026-09-02"
"aguirre_camacho_2021_champion","Spanish","machine_translation","Champion's Breast Cancer Fear Scale, Spanish administration. option_text is already English in the published table (the mismatch already flagged on the issues page), so only item_text carries a translation.","The item text here is the administered Spanish, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors. `option_text` is already English in the published table, so its translated column is empty.","2026-09-01","2026-09-02"
"lshs-e_quidaja_2022","Spanish","machine_translation","Launay-Slade Hallucination Scale - Extended, Spanish. Published English exists for the LSHS-E but this administration is a Spanish adaptation with its own 0-4 anchor wording, so the administered text is translated rather than the original substituted.","The item text here is the administered Spanish, which is what respondents read. The English in the `_translated` columns was produced by IRW rather than by the study's authors. Published English exists for the LSHS-E, but this administration is a Spanish adaptation with its own item set, so the administered Spanish is what is translated.","2026-09-01","2026-09-02"
